JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.6896 | VFE_final=-75.8390 (IL_path=0.1125) | VFE_per_dof=-0.0370 Delta_VFE_per_dof=-0.0003 | VFE_pred_term=0.2015 VFE_hidden_term=91.8497 logdet_Pi_y_sum=3.27 logdet_Pi_x_sum=332.51 | lambda_gate=0.321 (raw=0.321) | SG_objective=0.0146 | SG_relMSE=1.0046 SG_cosine=-0.358 mean_log_Pi_g=0.325 | PC_activity_obj=66.6590 (per_unit 6.5097e-02) | PI_max_steps=16 | PI_est_total=16.0 PI_est_valid=1 (cap_hit=1 delta_last=2.29e-04 tol=2.00e-04 r=1.000 slope=-6.176e-05) | TrainAcc=0.828 TrainLoss=0.6660 (total_proposals=16, oracle_model=0/0, oracle_lp=0/0, metrics=16/16) | TestAcc=0.878 TestLoss=0.6406
[Step    20] CE_loss=0.6896 | VFE_final=-75.8390 (IL_path=0.1125) | VFE_per_dof=-0.0370 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.2015 VFE_hidden_term=91.8497 logdet_Pi_y_sum=3.27 logdet_Pi_x_sum=332.51 | lambda_gate=0.321 | SG_objective=0.0146 | SG_relMSE=1.0046 SG_cosine=-0.358 mean_log_Pi_g=0.325 | PC_activity_obj=66.6590 (per_unit 6.5097e-02) | PI_max_steps=16 | PC_steps=16 (total_proposals=16, oracle_model=0/0, oracle_lp=0/0, metrics=16/16) (total_proposals=16) | test_loss=0.6406 test_acc=0.8780
[Step    40] CE_loss=0.4044 | VFE_final=-114.6318 (IL_path=0.0980) | VFE_per_dof=-0.0560 Delta_VFE_per_dof=-0.0033 | VFE_pred_term=0.1205 VFE_hidden_term=78.5764 logdet_Pi_y_sum=3.82 logdet_Pi_x_sum=382.84 | lambda_gate=0.212 (raw=0.212) | SG_objective=0.0105 | SG_relMSE=1.0058 SG_cosine=-0.577 mean_log_Pi_g=0.374 | PC_activity_obj=54.9225 (per_unit 5.3635e-02) | PI_max_steps=16 | PI_est_total=16.0 PI_est_valid=1 (cap_hit=1 delta_last=2.05e-04 tol=2.00e-04 r=1.000 slope=-6.794e-05) | TrainAcc=0.914 TrainLoss=0.3938 (total_proposals=16, oracle_model=16/16, oracle_lp=16/16, metrics=16/16) | TestAcc=0.912 TestLoss=0.4283
[Step    40] CE_loss=0.4044 | VFE_final=-114.6318 (IL_path=0.0980) | VFE_per_dof=-0.0560 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1205 VFE_hidden_term=78.5764 logdet_Pi_y_sum=3.82 logdet_Pi_x_sum=382.84 | lambda_gate=0.212 | SG_objective=0.0105 | SG_relMSE=1.0058 SG_cosine=-0.577 mean_log_Pi_g=0.374 | PC_activity_obj=54.9225 (per_unit 5.3635e-02) | PI_max_steps=16 | PC_steps=16 (total_proposals=16, oracle_model=16/16, oracle_lp=16/16, metrics=16/16) (total_proposals=16) | test_loss=0.4283 test_acc=0.9121
[Step    60] CE_loss=0.3229 | VFE_final=-124.5229 (IL_path=0.1201) | VFE_per_dof=-0.0608 Delta_VFE_per_dof=-0.0001 | VFE_pred_term=0.0965 VFE_hidden_term=94.3580 logdet_Pi_y_sum=4.35 logdet_Pi_x_sum=433.61 | lambda_gate=0.395 (raw=0.395) | SG_objective=0.0109 | SG_relMSE=1.0020 SG_cosine=-0.211 mean_log_Pi_g=0.423 | PC_activity_obj=63.0439 (per_unit 6.1566e-02) | PI_max_steps=16 | PI_est_total=16.0 PI_est_valid=1 (cap_hit=1 delta_last=2.05e-04 tol=2.00e-04 r=1.000 slope=-6.285e-05) | TrainAcc=0.922 TrainLoss=0.3012 (total_proposals=16, oracle_model=0/0, oracle_lp=0/0, metrics=16/16) | TestAcc=0.922 TestLoss=0.3116
[Step    60] CE_loss=0.3229 | VFE_final=-124.5229 (IL_path=0.1201) | VFE_per_dof=-0.0608 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0965 VFE_hidden_term=94.3580 logdet_Pi_y_sum=4.35 logdet_Pi_x_sum=433.61 | lambda_gate=0.395 | SG_objective=0.0109 | SG_relMSE=1.0020 SG_cosine=-0.211 mean_log_Pi_g=0.423 | PC_activity_obj=63.0439 (per_unit 6.1566e-02) | PI_max_steps=16 | PC_steps=16 (total_proposals=16, oracle_model=0/0, oracle_lp=0/0, metrics=16/16) (total_proposals=16) | test_loss=0.3116 test_acc=0.9220
[Step    80] CE_loss=0.2548 | VFE_final=-156.7321 (IL_path=0.0152) | VFE_per_dof=-0.0765 Delta_VFE_per_dof=-0.0012 | VFE_pred_term=0.0763 VFE_hidden_term=87.6103 logdet_Pi_y_sum=4.86 logdet_Pi_x_sum=483.98 | lambda_gate=0.316 (raw=0.316) | SG_objective=0.0103 | SG_relMSE=1.0030 SG_cosine=-0.368 mean_log_Pi_g=0.473 | PC_activity_obj=55.7192 (per_unit 5.4413e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.92e-04 tol=2.00e-04 r=1.000 slope=-5.849e-05) | TrainAcc=0.945 TrainLoss=0.2327 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.934 TestLoss=0.2594
[Step    80] CE_loss=0.2548 | VFE_final=-156.7321 (IL_path=0.0152) | VFE_per_dof=-0.0765 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0763 VFE_hidden_term=87.6103 logdet_Pi_y_sum=4.86 logdet_Pi_x_sum=483.98 | lambda_gate=0.316 | SG_objective=0.0103 | SG_relMSE=1.0030 SG_cosine=-0.368 mean_log_Pi_g=0.473 | PC_activity_obj=55.7192 (per_unit 5.4413e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2594 test_acc=0.9339
[Step   100] CE_loss=0.3058 | VFE_final=-204.3051 (IL_path=0.0860) | VFE_per_dof=-0.0998 Delta_VFE_per_dof=-0.0042 | VFE_pred_term=0.1007 VFE_hidden_term=64.9940 logdet_Pi_y_sum=5.35 logdet_Pi_x_sum=533.45 | lambda_gate=0.302 (raw=0.302) | SG_objective=0.0081 | SG_relMSE=1.0049 SG_cosine=-0.395 mean_log_Pi_g=0.521 | PC_activity_obj=39.4064 (per_unit 3.8483e-02) | PI_max_steps=16 | PI_est_total=16.0 PI_est_valid=1 (cap_hit=1 delta_last=2.35e-04 tol=2.00e-04 r=1.000 slope=-7.629e-05) | TrainAcc=0.953 TrainLoss=0.2814 (total_proposals=16, oracle_model=16/16, oracle_lp=16/16, metrics=16/16) | TestAcc=0.940 TestLoss=0.2721
[Step   100] CE_loss=0.3058 | VFE_final=-204.3051 (IL_path=0.0860) | VFE_per_dof=-0.0998 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1007 VFE_hidden_term=64.9940 logdet_Pi_y_sum=5.35 logdet_Pi_x_sum=533.45 | lambda_gate=0.302 | SG_objective=0.0081 | SG_relMSE=1.0049 SG_cosine=-0.395 mean_log_Pi_g=0.521 | PC_activity_obj=39.4064 (per_unit 3.8483e-02) | PI_max_steps=16 | PC_steps=16 (total_proposals=16, oracle_model=16/16, oracle_lp=16/16, metrics=16/16) (total_proposals=16) | test_loss=0.2721 test_acc=0.9400
[Step   120] CE_loss=0.2723 | VFE_final=-215.0033 (IL_path=0.1059) | VFE_per_dof=-0.1050 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0884 VFE_hidden_term=78.6104 logdet_Pi_y_sum=5.82 logdet_Pi_x_sum=581.59 | lambda_gate=0.349 (raw=0.349) | SG_objective=0.0103 | SG_relMSE=1.0026 SG_cosine=-0.301 mean_log_Pi_g=0.568 | PC_activity_obj=45.5457 (per_unit 4.4478e-02) | PI_max_steps=16 | PI_est_total=16.0 PI_est_valid=1 (cap_hit=1 delta_last=2.31e-04 tol=2.00e-04 r=1.000 slope=-7.193e-05) | TrainAcc=0.930 TrainLoss=0.2519 (total_proposals=16, oracle_model=0/0, oracle_lp=0/0, metrics=16/16) | TestAcc=0.942 TestLoss=0.2271
