JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.4999 | VFE_final=770.7820 (IL_path=0.1505) | VFE_per_dof=0.3764 Delta_VFE_per_dof=+0.0299 | VFE_pred_term=0.1442 VFE_hidden_term=930.6609 logdet_Pi_y_sum=3.26 logdet_Pi_x_sum=316.78 | lambda_gate=0.000 (raw=0.501) | SG_objective=0.2041 | SG_relMSE=1.0000 SG_cosine=0.002 mean_log_Pi_g=0.309 | PC_activity_obj=691.9907 (per_unit 6.7577e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.82e-04 tol=5.00e-04 r=1.000 slope=-7.502e-05) | TrainAcc=0.844 TrainLoss=0.4521 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.871 TestLoss=0.4212
[Step    20] CE_loss=0.4999 | VFE_final=770.7820 (IL_path=0.1505) | VFE_per_dof=0.3764 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1442 VFE_hidden_term=930.6609 logdet_Pi_y_sum=3.26 logdet_Pi_x_sum=316.78 | lambda_gate=0.000 | SG_objective=0.2041 | SG_relMSE=1.0000 SG_cosine=0.002 mean_log_Pi_g=0.309 | PC_activity_obj=691.9907 (per_unit 6.7577e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.4212 test_acc=0.8711
[Step    40] CE_loss=0.2746 | VFE_final=726.0510 (IL_path=0.1402) | VFE_per_dof=0.3545 Delta_VFE_per_dof=-0.0009 | VFE_pred_term=0.0852 VFE_hidden_term=882.1003 logdet_Pi_y_sum=3.68 logdet_Pi_x_sum=308.59 | lambda_gate=0.000 (raw=0.512) | SG_objective=0.2286 | SG_relMSE=0.9999 SG_cosine=0.023 mean_log_Pi_g=0.301 | PC_activity_obj=680.9807 (per_unit 6.6502e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.43e-04 tol=5.00e-04 r=1.000 slope=-4.450e-05) | TrainAcc=0.922 TrainLoss=0.2416 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.907 TestLoss=0.3212
[Step    40] CE_loss=0.2746 | VFE_final=726.0510 (IL_path=0.1402) | VFE_per_dof=0.3545 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0852 VFE_hidden_term=882.1003 logdet_Pi_y_sum=3.68 logdet_Pi_x_sum=308.59 | lambda_gate=0.000 | SG_objective=0.2286 | SG_relMSE=0.9999 SG_cosine=0.023 mean_log_Pi_g=0.301 | PC_activity_obj=680.9807 (per_unit 6.6502e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.3212 test_acc=0.9074
[Step    60] CE_loss=0.3282 | VFE_final=569.6520 (IL_path=0.1120) | VFE_per_dof=0.2782 Delta_VFE_per_dof=-0.0021 | VFE_pred_term=0.0943 VFE_hidden_term=718.9580 logdet_Pi_y_sum=4.09 logdet_Pi_x_sum=294.71 | lambda_gate=0.000 (raw=0.514) | SG_objective=0.1681 | SG_relMSE=0.9998 SG_cosine=0.027 mean_log_Pi_g=0.288 | PC_activity_obj=578.6738 (per_unit 5.6511e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.53e-04 tol=5.00e-04 r=1.000 slope=-6.104e-05) | TrainAcc=0.922 TrainLoss=0.2823 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.908 TestLoss=0.3034
[Step    60] CE_loss=0.3282 | VFE_final=569.6520 (IL_path=0.1120) | VFE_per_dof=0.2782 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0943 VFE_hidden_term=718.9580 logdet_Pi_y_sum=4.09 logdet_Pi_x_sum=294.71 | lambda_gate=0.000 | SG_objective=0.1681 | SG_relMSE=0.9998 SG_cosine=0.027 mean_log_Pi_g=0.288 | PC_activity_obj=578.6738 (per_unit 5.6511e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.3034 test_acc=0.9084
[Step    80] CE_loss=0.2300 | VFE_final=505.8672 (IL_path=0.1003) | VFE_per_dof=0.2470 Delta_VFE_per_dof=-0.0091 | VFE_pred_term=0.0678 VFE_hidden_term=651.4786 logdet_Pi_y_sum=4.55 logdet_Pi_x_sum=286.81 | lambda_gate=0.000 (raw=0.504) | SG_objective=0.1676 | SG_relMSE=1.0000 SG_cosine=0.008 mean_log_Pi_g=0.280 | PC_activity_obj=538.4091 (per_unit 5.2579e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.29e-04 tol=5.00e-04 r=1.000 slope=-6.739e-05) | TrainAcc=0.938 TrainLoss=0.2001 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.930 TestLoss=0.2422
[Step    80] CE_loss=0.2300 | VFE_final=505.8672 (IL_path=0.1003) | VFE_per_dof=0.2470 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0678 VFE_hidden_term=651.4786 logdet_Pi_y_sum=4.55 logdet_Pi_x_sum=286.81 | lambda_gate=0.000 | SG_objective=0.1676 | SG_relMSE=1.0000 SG_cosine=0.008 mean_log_Pi_g=0.280 | PC_activity_obj=538.4091 (per_unit 5.2579e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2422 test_acc=0.9298
[Step   100] CE_loss=0.2493 | VFE_final=377.2559 (IL_path=0.0795) | VFE_per_dof=0.1842 Delta_VFE_per_dof=-0.0317 | VFE_pred_term=0.0847 VFE_hidden_term=520.4097 logdet_Pi_y_sum=5.03 logdet_Pi_x_sum=281.44 | lambda_gate=0.000 (raw=0.488) | SG_objective=0.1115 | SG_relMSE=1.0001 SG_cosine=-0.025 mean_log_Pi_g=0.275 | PC_activity_obj=438.2114 (per_unit 4.2794e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.44e-04 tol=5.00e-04 r=1.000 slope=-5.722e-05) | TrainAcc=0.938 TrainLoss=0.2065 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.932 TestLoss=0.2384
[Step   100] CE_loss=0.2493 | VFE_final=377.2559 (IL_path=0.0795) | VFE_per_dof=0.1842 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0847 VFE_hidden_term=520.4097 logdet_Pi_y_sum=5.03 logdet_Pi_x_sum=281.44 | lambda_gate=0.000 | SG_objective=0.1115 | SG_relMSE=1.0001 SG_cosine=-0.025 mean_log_Pi_g=0.275 | PC_activity_obj=438.2114 (per_unit 4.2794e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2384 test_acc=0.9318
[Step   120] CE_loss=0.2607 | VFE_final=428.3979 (IL_path=0.0870) | VFE_per_dof=0.2092 Delta_VFE_per_dof=+0.0084 | VFE_pred_term=0.0811 VFE_hidden_term=572.4637 logdet_Pi_y_sum=5.60 logdet_Pi_x_sum=282.70 | lambda_gate=0.000 (raw=0.511) | SG_objective=0.0850 | SG_relMSE=0.9999 SG_cosine=0.023 mean_log_Pi_g=0.276 | PC_activity_obj=489.0460 (per_unit 4.7758e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.45e-04 tol=5.00e-04 r=1.000 slope=-7.375e-05) | TrainAcc=0.945 TrainLoss=0.2240 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.939 TestLoss=0.2080
[Step   120] CE_loss=0.2607 | VFE_final=428.3979 (IL_path=0.0870) | VFE_per_dof=0.2092 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0811 VFE_hidden_term=572.4637 logdet_Pi_y_sum=5.60 logdet_Pi_x_sum=282.70 | lambda_gate=0.000 | SG_objective=0.0850 | SG_relMSE=0.9999 SG_cosine=0.023 mean_log_Pi_g=0.276 | PC_activity_obj=489.0460 (per_unit 4.7758e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2080 test_acc=0.9385
[Step   140] CE_loss=0.1264 | VFE_final=452.0896 (IL_path=0.0905) | VFE_per_dof=0.2207 Delta_VFE_per_dof=+0.0012 | VFE_pred_term=0.0430 VFE_hidden_term=595.7847 logdet_Pi_y_sum=6.13 logdet_Pi_x_sum=281.35 | lambda_gate=0.000 (raw=0.511) | SG_objective=0.1120 | SG_relMSE=0.9999 SG_cosine=0.023 mean_log_Pi_g=0.275 | PC_activity_obj=512.4940 (per_unit 5.0048e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.07e-04 tol=5.00e-04 r=1.000 slope=-6.612e-05) | TrainAcc=0.969 TrainLoss=0.1041 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.947 TestLoss=0.1910
[Step   140] CE_loss=0.1264 | VFE_final=452.0896 (IL_path=0.0905) | VFE_per_dof=0.2207 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0430 VFE_hidden_term=595.7847 logdet_Pi_y_sum=6.13 logdet_Pi_x_sum=281.35 | lambda_gate=0.000 | SG_objective=0.1120 | SG_relMSE=0.9999 SG_cosine=0.023 mean_log_Pi_g=0.275 | PC_activity_obj=512.4940 (per_unit 5.0048e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.1910 test_acc=0.9465
[Step   160] CE_loss=0.2359 | VFE_final=407.6373 (IL_path=0.0825) | VFE_per_dof=0.1990 Delta_VFE_per_dof=-0.0069 | VFE_pred_term=0.0932 VFE_hidden_term=547.5064 logdet_Pi_y_sum=6.59 logdet_Pi_x_sum=273.34 | lambda_gate=0.000 (raw=0.494) | SG_objective=0.0907 | SG_relMSE=1.0001 SG_cosine=-0.011 mean_log_Pi_g=0.267 | PC_activity_obj=480.4236 (per_unit 4.6916e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.57e-04 tol=5.00e-04 r=1.000 slope=-6.358e-05) | TrainAcc=0.938 TrainLoss=0.2102 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.948 TestLoss=0.1757
[Step   160] CE_loss=0.2359 | VFE_final=407.6373 (IL_path=0.0825) | VFE_per_dof=0.1990 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0932 VFE_hidden_term=547.5064 logdet_Pi_y_sum=6.59 logdet_Pi_x_sum=273.34 | lambda_gate=0.000 | SG_objective=0.0907 | SG_relMSE=1.0001 SG_cosine=-0.011 mean_log_Pi_g=0.267 | PC_activity_obj=480.4236 (per_unit 4.6916e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.1757 test_acc=0.9476
[Step   180] CE_loss=0.1738 | VFE_final=392.7448 (IL_path=0.0787) | VFE_per_dof=0.1918 Delta_VFE_per_dof=-0.0040 | VFE_pred_term=0.0615 VFE_hidden_term=529.3357 logdet_Pi_y_sum=7.06 logdet_Pi_x_sum=266.25 | lambda_gate=0.000 (raw=0.499) | SG_objective=0.0766 | SG_relMSE=1.0000 SG_cosine=-0.002 mean_log_Pi_g=0.260 | PC_activity_obj=479.4307 (per_unit 4.6819e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.28e-04 tol=5.00e-04 r=1.000 slope=-5.722e-05) | TrainAcc=0.969 TrainLoss=0.1508 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.954 TestLoss=0.1581
[Step   180] CE_loss=0.1738 | VFE_final=392.7448 (IL_path=0.0787) | VFE_per_dof=0.1918 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0615 VFE_hidden_term=529.3357 logdet_Pi_y_sum=7.06 logdet_Pi_x_sum=266.25 | lambda_gate=0.000 | SG_objective=0.0766 | SG_relMSE=1.0000 SG_cosine=-0.002 mean_log_Pi_g=0.260 | PC_activity_obj=479.4307 (per_unit 4.6819e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.1581 test_acc=0.9543
[Step   200] CE_loss=0.1708 | VFE_final=418.5071 (IL_path=0.0820) | VFE_per_dof=0.2043 Delta_VFE_per_dof=+0.0107 | VFE_pred_term=0.0744 VFE_hidden_term=552.3161 logdet_Pi_y_sum=7.51 logdet_Pi_x_sum=260.26 | lambda_gate=0.000 (raw=0.511) | SG_objective=0.0802 | SG_relMSE=0.9999 SG_cosine=0.021 mean_log_Pi_g=0.254 | PC_activity_obj=504.0250 (per_unit 4.9221e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.42e-04 tol=5.00e-04 r=1.000 slope=-6.866e-05) | TrainAcc=0.961 TrainLoss=0.1436 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.960 TestLoss=0.1407
[Step   200] CE_loss=0.1708 | VFE_final=418.5071 (IL_path=0.0820) | VFE_per_dof=0.2043 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0744 VFE_hidden_term=552.3161 logdet_Pi_y_sum=7.51 logdet_Pi_x_sum=260.26 | lambda_gate=0.000 | SG_objective=0.0802 | SG_relMSE=0.9999 SG_cosine=0.021 mean_log_Pi_g=0.254 | PC_activity_obj=504.0250 (per_unit 4.9221e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.1407 test_acc=0.9598
[Step   220] CE_loss=0.1758 | VFE_final=375.9136 (IL_path=0.0742) | VFE_per_dof=0.1836 Delta_VFE_per_dof=-0.0099 | VFE_pred_term=0.0842 VFE_hidden_term=506.5919 logdet_Pi_y_sum=7.93 logdet_Pi_x_sum=253.59 | lambda_gate=0.000 (raw=0.501) | SG_objective=0.0744 | SG_relMSE=1.0000 SG_cosine=0.002 mean_log_Pi_g=0.248 | PC_activity_obj=478.1770 (per_unit 4.6697e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.55e-04 tol=5.00e-04 r=1.000 slope=-7.248e-05) | TrainAcc=0.945 TrainLoss=0.1462 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.956 TestLoss=0.1386
[Step   220] CE_loss=0.1758 | VFE_final=375.9136 (IL_path=0.0742) | VFE_per_dof=0.1836 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0842 VFE_hidden_term=506.5919 logdet_Pi_y_sum=7.93 logdet_Pi_x_sum=253.59 | lambda_gate=0.000 | SG_objective=0.0744 | SG_relMSE=1.0000 SG_cosine=0.002 mean_log_Pi_g=0.248 | PC_activity_obj=478.1770 (per_unit 4.6697e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.1386 test_acc=0.9559
