JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.3950 | VFE_final=802.6919 (IL_path=0.1540) | VFE_per_dof=0.3919 Delta_VFE_per_dof=+0.0145 | VFE_pred_term=0.1158 VFE_hidden_term=958.4615 logdet_Pi_y_sum=3.25 logdet_Pi_x_sum=308.52 | lambda_gate=0.000 (raw=0.510) | SG_objective=0.2609 | SG_relMSE=0.9999 SG_cosine=0.019 mean_log_Pi_g=0.301 | PC_activity_obj=723.1874 (per_unit 7.0624e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.65e-04 tol=5.00e-04 r=1.000 slope=-5.468e-05) | TrainAcc=0.875 TrainLoss=0.3462 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.849 TestLoss=0.4617
[Step    20] CE_loss=0.3950 | VFE_final=802.6919 (IL_path=0.1540) | VFE_per_dof=0.3919 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1158 VFE_hidden_term=958.4615 logdet_Pi_y_sum=3.25 logdet_Pi_x_sum=308.52 | lambda_gate=0.000 | SG_objective=0.2609 | SG_relMSE=0.9999 SG_cosine=0.019 mean_log_Pi_g=0.301 | PC_activity_obj=723.1874 (per_unit 7.0624e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.4617 test_acc=0.8486
[Step    40] CE_loss=0.3782 | VFE_final=682.3838 (IL_path=0.1309) | VFE_per_dof=0.3332 Delta_VFE_per_dof=-0.0168 | VFE_pred_term=0.1159 VFE_hidden_term=832.0786 logdet_Pi_y_sum=3.64 logdet_Pi_x_sum=295.98 | lambda_gate=0.000 (raw=0.520) | SG_objective=0.2112 | SG_relMSE=0.9997 SG_cosine=0.040 mean_log_Pi_g=0.289 | PC_activity_obj=655.6487 (per_unit 6.4028e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.66e-04 tol=5.00e-04 r=1.000 slope=-5.213e-05) | TrainAcc=0.891 TrainLoss=0.3202 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.894 TestLoss=0.3451
[Step    40] CE_loss=0.3782 | VFE_final=682.3838 (IL_path=0.1309) | VFE_per_dof=0.3332 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1159 VFE_hidden_term=832.0786 logdet_Pi_y_sum=3.64 logdet_Pi_x_sum=295.98 | lambda_gate=0.000 | SG_objective=0.2112 | SG_relMSE=0.9997 SG_cosine=0.040 mean_log_Pi_g=0.289 | PC_activity_obj=655.6487 (per_unit 6.4028e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.3451 test_acc=0.8944
[Step    60] CE_loss=0.3976 | VFE_final=568.3756 (IL_path=0.1099) | VFE_per_dof=0.2775 Delta_VFE_per_dof=-0.0133 | VFE_pred_term=0.1149 VFE_hidden_term=711.4198 logdet_Pi_y_sum=4.04 logdet_Pi_x_sum=282.28 | lambda_gate=0.000 (raw=0.520) | SG_objective=0.1864 | SG_relMSE=0.9997 SG_cosine=0.039 mean_log_Pi_g=0.276 | PC_activity_obj=582.5292 (per_unit 5.6888e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.69e-04 tol=5.00e-04 r=1.000 slope=-6.231e-05) | TrainAcc=0.898 TrainLoss=0.3581 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.910 TestLoss=0.3052
[Step    60] CE_loss=0.3976 | VFE_final=568.3756 (IL_path=0.1099) | VFE_per_dof=0.2775 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1149 VFE_hidden_term=711.4198 logdet_Pi_y_sum=4.04 logdet_Pi_x_sum=282.28 | lambda_gate=0.000 | SG_objective=0.1864 | SG_relMSE=0.9997 SG_cosine=0.039 mean_log_Pi_g=0.276 | PC_activity_obj=582.5292 (per_unit 5.6888e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.3052 test_acc=0.9097
[Step    80] CE_loss=0.2268 | VFE_final=467.2177 (IL_path=0.0924) | VFE_per_dof=0.2281 Delta_VFE_per_dof=+0.0091 | VFE_pred_term=0.0633 VFE_hidden_term=607.2037 logdet_Pi_y_sum=4.51 logdet_Pi_x_sum=275.59 | lambda_gate=0.000 (raw=0.500) | SG_objective=0.1168 | SG_relMSE=1.0000 SG_cosine=0.000 mean_log_Pi_g=0.269 | PC_activity_obj=512.9510 (per_unit 5.0093e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.27e-04 tol=5.00e-04 r=1.000 slope=-5.849e-05) | TrainAcc=0.953 TrainLoss=0.1950 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.930 TestLoss=0.2384
[Step    80] CE_loss=0.2268 | VFE_final=467.2177 (IL_path=0.0924) | VFE_per_dof=0.2281 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0633 VFE_hidden_term=607.2037 logdet_Pi_y_sum=4.51 logdet_Pi_x_sum=275.59 | lambda_gate=0.000 | SG_objective=0.1168 | SG_relMSE=1.0000 SG_cosine=0.000 mean_log_Pi_g=0.269 | PC_activity_obj=512.9510 (per_unit 5.0093e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2384 test_acc=0.9300
[Step   100] CE_loss=0.2140 | VFE_final=483.6331 (IL_path=0.0944) | VFE_per_dof=0.2361 Delta_VFE_per_dof=+0.0120 | VFE_pred_term=0.0714 VFE_hidden_term=622.8024 logdet_Pi_y_sum=5.03 logdet_Pi_x_sum=273.45 | lambda_gate=0.000 (raw=0.500) | SG_objective=0.1195 | SG_relMSE=1.0000 SG_cosine=0.000 mean_log_Pi_g=0.267 | PC_activity_obj=532.9196 (per_unit 5.2043e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.36e-04 tol=5.00e-04 r=1.000 slope=-4.578e-05) | TrainAcc=0.945 TrainLoss=0.1805 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.936 TestLoss=0.2115
[Step   100] CE_loss=0.2140 | VFE_final=483.6331 (IL_path=0.0944) | VFE_per_dof=0.2361 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0714 VFE_hidden_term=622.8024 logdet_Pi_y_sum=5.03 logdet_Pi_x_sum=273.45 | lambda_gate=0.000 | SG_objective=0.1195 | SG_relMSE=1.0000 SG_cosine=0.000 mean_log_Pi_g=0.267 | PC_activity_obj=532.9196 (per_unit 5.2043e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.2115 test_acc=0.9361
[Step   120] CE_loss=0.1660 | VFE_final=495.0181 (IL_path=0.0955) | VFE_per_dof=0.2417 Delta_VFE_per_dof=+0.0032 | VFE_pred_term=0.0510 VFE_hidden_term=630.9064 logdet_Pi_y_sum=5.54 logdet_Pi_x_sum=266.33 | lambda_gate=0.000 (raw=0.507) | SG_objective=0.1184 | SG_relMSE=0.9999 SG_cosine=0.013 mean_log_Pi_g=0.260 | PC_activity_obj=543.9329 (per_unit 5.3118e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.20e-04 tol=5.00e-04 r=1.000 slope=-4.959e-05) | TrainAcc=0.969 TrainLoss=0.1311 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.936 TestLoss=0.2146
