JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.7724 | VFE_final=-66.9123 (IL_path=0.0084) | VFE_per_dof=-0.0327 Delta_VFE_per_dof=+0.0021 | VFE_pred_term=0.2263 VFE_hidden_term=100.5312 logdet_Pi_y_sum=3.27 logdet_Pi_x_sum=332.07 | lambda_gate=0.321 (raw=0.321) | SG_objective=0.0229 | SG_relMSE=1.0038 SG_cosine=-0.359 mean_log_Pi_g=0.324 | PC_activity_obj=73.0781 (per_unit 7.1365e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.23e-04 tol=2.00e-04 r=1.000 slope=-2.797e-05) | TrainAcc=0.836 TrainLoss=0.7416 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.865 TestLoss=0.7147
[Step    20] CE_loss=0.7724 | VFE_final=-66.9123 (IL_path=0.0084) | VFE_per_dof=-0.0327 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.2263 VFE_hidden_term=100.5312 logdet_Pi_y_sum=3.27 logdet_Pi_x_sum=332.07 | lambda_gate=0.321 | SG_objective=0.0229 | SG_relMSE=1.0038 SG_cosine=-0.359 mean_log_Pi_g=0.324 | PC_activity_obj=73.0781 (per_unit 7.1365e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.7147 test_acc=0.8651
[Step    40] CE_loss=0.4244 | VFE_final=-104.9507 (IL_path=0.0074) | VFE_per_dof=-0.0512 Delta_VFE_per_dof=-0.0056 | VFE_pred_term=0.1276 VFE_hidden_term=86.7907 logdet_Pi_y_sum=3.81 logdet_Pi_x_sum=379.93 | lambda_gate=0.241 (raw=0.241) | SG_objective=0.0177 | SG_relMSE=1.0041 SG_cosine=-0.518 mean_log_Pi_g=0.371 | PC_activity_obj=61.4786 (per_unit 6.0038e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.05e-04 tol=2.00e-04 r=1.000 slope=-2.797e-05) | TrainAcc=0.922 TrainLoss=0.4184 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.906 TestLoss=0.4495
[Step    40] CE_loss=0.4244 | VFE_final=-104.9507 (IL_path=0.0074) | VFE_per_dof=-0.0512 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1276 VFE_hidden_term=86.7907 logdet_Pi_y_sum=3.81 logdet_Pi_x_sum=379.93 | lambda_gate=0.241 | SG_objective=0.0177 | SG_relMSE=1.0041 SG_cosine=-0.518 mean_log_Pi_g=0.371 | PC_activity_obj=61.4786 (per_unit 6.0038e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.4495 test_acc=0.9062
[Step    60] CE_loss=0.3613 | VFE_final=-121.5262 (IL_path=0.0082) | VFE_per_dof=-0.0593 Delta_VFE_per_dof=+0.0006 | VFE_pred_term=0.1103 VFE_hidden_term=94.4999 logdet_Pi_y_sum=4.34 logdet_Pi_x_sum=427.93 | lambda_gate=0.368 (raw=0.368) | SG_objective=0.0122 | SG_relMSE=1.0024 SG_cosine=-0.263 mean_log_Pi_g=0.418 | PC_activity_obj=64.8858 (per_unit 6.3365e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.08e-04 tol=2.00e-04 r=1.000 slope=-3.052e-05) | TrainAcc=0.914 TrainLoss=0.3424 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.915 TestLoss=0.3533
[Step    60] CE_loss=0.3613 | VFE_final=-121.5262 (IL_path=0.0082) | VFE_per_dof=-0.0593 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1103 VFE_hidden_term=94.4999 logdet_Pi_y_sum=4.34 logdet_Pi_x_sum=427.93 | lambda_gate=0.368 | SG_objective=0.0122 | SG_relMSE=1.0024 SG_cosine=-0.263 mean_log_Pi_g=0.418 | PC_activity_obj=64.8858 (per_unit 6.3365e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.3533 test_acc=0.9154
[Step    80] CE_loss=0.2941 | VFE_final=-152.6695 (IL_path=0.0077) | VFE_per_dof=-0.0745 Delta_VFE_per_dof=-0.0014 | VFE_pred_term=0.0863 VFE_hidden_term=87.6583 logdet_Pi_y_sum=4.85 logdet_Pi_x_sum=475.98 | lambda_gate=0.313 (raw=0.313) | SG_objective=0.0083 | SG_relMSE=1.0035 SG_cosine=-0.373 mean_log_Pi_g=0.465 | PC_activity_obj=57.9430 (per_unit 5.6585e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=9.96e-05 tol=2.00e-04 r=1.000 slope=-3.433e-05) | TrainAcc=0.938 TrainLoss=0.2711 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.927 TestLoss=0.2920
[Step    80] CE_loss=0.2941 | VFE_final=-152.6695 (IL_path=0.0077) | VFE_per_dof=-0.0745 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0863 VFE_hidden_term=87.6583 logdet_Pi_y_sum=4.85 logdet_Pi_x_sum=475.98 | lambda_gate=0.313 | SG_objective=0.0083 | SG_relMSE=1.0035 SG_cosine=-0.373 mean_log_Pi_g=0.465 | PC_activity_obj=57.9430 (per_unit 5.6585e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2920 test_acc=0.9267
[Step   100] CE_loss=0.3302 | VFE_final=-192.6655 (IL_path=0.0064) | VFE_per_dof=-0.0941 Delta_VFE_per_dof=-0.0048 | VFE_pred_term=0.1169 VFE_hidden_term=71.8970 logdet_Pi_y_sum=5.34 logdet_Pi_x_sum=524.02 | lambda_gate=0.323 (raw=0.323) | SG_objective=0.0099 | SG_relMSE=1.0040 SG_cosine=-0.353 mean_log_Pi_g=0.512 | PC_activity_obj=45.6103 (per_unit 4.4541e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.22e-04 tol=2.00e-04 r=1.000 slope=-5.086e-05) | TrainAcc=0.914 TrainLoss=0.3099 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.928 TestLoss=0.2909
[Step   100] CE_loss=0.3302 | VFE_final=-192.6655 (IL_path=0.0064) | VFE_per_dof=-0.0941 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1169 VFE_hidden_term=71.8970 logdet_Pi_y_sum=5.34 logdet_Pi_x_sum=524.02 | lambda_gate=0.323 | SG_objective=0.0099 | SG_relMSE=1.0040 SG_cosine=-0.353 mean_log_Pi_g=0.512 | PC_activity_obj=45.6103 (per_unit 4.4541e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2909 test_acc=0.9284
[Step   120] CE_loss=0.2713 | VFE_final=-207.7272 (IL_path=0.0073) | VFE_per_dof=-0.1014 Delta_VFE_per_dof=+0.0001 | VFE_pred_term=0.0887 VFE_hidden_term=80.5210 logdet_Pi_y_sum=5.82 logdet_Pi_x_sum=570.86 | lambda_gate=0.333 (raw=0.333) | SG_objective=0.0096 | SG_relMSE=1.0030 SG_cosine=-0.334 mean_log_Pi_g=0.557 | PC_activity_obj=49.0380 (per_unit 4.7889e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.10e-04 tol=2.00e-04 r=1.000 slope=-3.815e-05) | TrainAcc=0.945 TrainLoss=0.2543 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.939 TestLoss=0.2492
