JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.3923 | VFE_final=800.1687 (IL_path=0.0793) | VFE_per_dof=0.3907 Delta_VFE_per_dof=+0.0144 | VFE_pred_term=0.1155 VFE_hidden_term=957.6172 logdet_Pi_y_sum=3.25 logdet_Pi_x_sum=311.87 | lambda_gate=0.000 (raw=0.499) | SG_objective=0.2075 | SG_relMSE=1.0000 SG_cosine=-0.003 mean_log_Pi_g=0.305 | PC_activity_obj=718.3994 (per_unit 7.0156e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=8.50e-05 tol=1.00e-04 r=1.000 slope=-2.289e-05) | TrainAcc=0.883 TrainLoss=0.3459 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.849 TestLoss=0.4598
[Step    20] CE_loss=0.3923 | VFE_final=800.1687 (IL_path=0.0793) | VFE_per_dof=0.3907 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1155 VFE_hidden_term=957.6172 logdet_Pi_y_sum=3.25 logdet_Pi_x_sum=311.87 | lambda_gate=0.000 | SG_objective=0.2075 | SG_relMSE=1.0000 SG_cosine=-0.003 mean_log_Pi_g=0.305 | PC_activity_obj=718.3994 (per_unit 7.0156e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.4598 test_acc=0.8489
[Step    40] CE_loss=0.3792 | VFE_final=681.0750 (IL_path=0.0677) | VFE_per_dof=0.3326 Delta_VFE_per_dof=-0.0170 | VFE_pred_term=0.1166 VFE_hidden_term=833.3112 logdet_Pi_y_sum=3.64 logdet_Pi_x_sum=301.06 | lambda_gate=0.000 (raw=0.512) | SG_objective=0.2549 | SG_relMSE=0.9998 SG_cosine=0.024 mean_log_Pi_g=0.294 | PC_activity_obj=651.7161 (per_unit 6.3644e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=8.58e-05 tol=1.00e-04 r=1.000 slope=-3.052e-05) | TrainAcc=0.891 TrainLoss=0.3212 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.895 TestLoss=0.3466
[Step    40] CE_loss=0.3792 | VFE_final=681.0750 (IL_path=0.0677) | VFE_per_dof=0.3326 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1166 VFE_hidden_term=833.3112 logdet_Pi_y_sum=3.64 logdet_Pi_x_sum=301.06 | lambda_gate=0.000 | SG_objective=0.2549 | SG_relMSE=0.9998 SG_cosine=0.024 mean_log_Pi_g=0.294 | PC_activity_obj=651.7161 (per_unit 6.3644e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.3466 test_acc=0.8946
[Step    60] CE_loss=0.3908 | VFE_final=561.8918 (IL_path=0.0564) | VFE_per_dof=0.2744 Delta_VFE_per_dof=-0.0136 | VFE_pred_term=0.1138 VFE_hidden_term=707.4783 logdet_Pi_y_sum=4.04 logdet_Pi_x_sum=287.36 | lambda_gate=0.000 (raw=0.514) | SG_objective=0.1880 | SG_relMSE=0.9998 SG_cosine=0.028 mean_log_Pi_g=0.281 | PC_activity_obj=575.1356 (per_unit 5.6166e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=8.68e-05 tol=1.00e-04 r=1.000 slope=-2.670e-05) | TrainAcc=0.898 TrainLoss=0.3532 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.909 TestLoss=0.3050
[Step    60] CE_loss=0.3908 | VFE_final=561.8918 (IL_path=0.0564) | VFE_per_dof=0.2744 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1138 VFE_hidden_term=707.4783 logdet_Pi_y_sum=4.04 logdet_Pi_x_sum=287.36 | lambda_gate=0.000 | SG_objective=0.1880 | SG_relMSE=0.9998 SG_cosine=0.028 mean_log_Pi_g=0.281 | PC_activity_obj=575.1356 (per_unit 5.6166e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.3050 test_acc=0.9091
[Step    80] CE_loss=0.2247 | VFE_final=464.7726 (IL_path=0.0477) | VFE_per_dof=0.2269 Delta_VFE_per_dof=+0.0086 | VFE_pred_term=0.0631 VFE_hidden_term=606.9497 logdet_Pi_y_sum=4.50 logdet_Pi_x_sum=279.98 | lambda_gate=0.000 (raw=0.496) | SG_objective=0.1309 | SG_relMSE=1.0000 SG_cosine=-0.008 mean_log_Pi_g=0.273 | PC_activity_obj=509.4099 (per_unit 4.9747e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=6.51e-05 tol=1.00e-04 r=1.000 slope=-1.780e-05) | TrainAcc=0.953 TrainLoss=0.1932 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.929 TestLoss=0.2371
[Step    80] CE_loss=0.2247 | VFE_final=464.7726 (IL_path=0.0477) | VFE_per_dof=0.2269 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0631 VFE_hidden_term=606.9497 logdet_Pi_y_sum=4.50 logdet_Pi_x_sum=279.98 | lambda_gate=0.000 | SG_objective=0.1309 | SG_relMSE=1.0000 SG_cosine=-0.008 mean_log_Pi_g=0.273 | PC_activity_obj=509.4099 (per_unit 4.9747e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2371 test_acc=0.9292
[Step   100] CE_loss=0.2142 | VFE_final=488.6123 (IL_path=0.0492) | VFE_per_dof=0.2386 Delta_VFE_per_dof=+0.0124 | VFE_pred_term=0.0712 VFE_hidden_term=629.5421 logdet_Pi_y_sum=5.01 logdet_Pi_x_sum=276.99 | lambda_gate=0.000 (raw=0.499) | SG_objective=0.1228 | SG_relMSE=1.0000 SG_cosine=-0.002 mean_log_Pi_g=0.270 | PC_activity_obj=535.3573 (per_unit 5.2281e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=6.98e-05 tol=1.00e-04 r=1.000 slope=-3.052e-05) | TrainAcc=0.961 TrainLoss=0.1807 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.936 TestLoss=0.2115
[Step   100] CE_loss=0.2142 | VFE_final=488.6123 (IL_path=0.0492) | VFE_per_dof=0.2386 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0712 VFE_hidden_term=629.5421 logdet_Pi_y_sum=5.01 logdet_Pi_x_sum=276.99 | lambda_gate=0.000 | SG_objective=0.1228 | SG_relMSE=1.0000 SG_cosine=-0.002 mean_log_Pi_g=0.270 | PC_activity_obj=535.3573 (per_unit 5.2281e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2115 test_acc=0.9361
[Step   120] CE_loss=0.1640 | VFE_final=498.5085 (IL_path=0.0496) | VFE_per_dof=0.2434 Delta_VFE_per_dof=+0.0035 | VFE_pred_term=0.0506 VFE_hidden_term=636.1583 logdet_Pi_y_sum=5.52 logdet_Pi_x_sum=269.88 | lambda_gate=0.000 (raw=0.509) | SG_objective=0.1213 | SG_relMSE=0.9999 SG_cosine=0.017 mean_log_Pi_g=0.264 | PC_activity_obj=546.7212 (per_unit 5.3391e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=6.16e-05 tol=1.00e-04 r=1.000 slope=-3.179e-05) | TrainAcc=0.969 TrainLoss=0.1300 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.935 TestLoss=0.2136
