JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.5005 | VFE_final=769.9159 (IL_path=0.1064) | VFE_per_dof=0.3759 Delta_VFE_per_dof=+0.0299 | VFE_pred_term=0.1437 VFE_hidden_term=925.9822 logdet_Pi_y_sum=3.25 logdet_Pi_x_sum=309.17 | lambda_gate=0.000 (raw=0.506) | SG_objective=0.2283 | SG_relMSE=0.9999 SG_cosine=0.013 mean_log_Pi_g=0.302 | PC_activity_obj=696.4960 (per_unit 6.8017e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.30e-04 tol=2.00e-04 r=1.000 slope=-3.688e-05) | TrainAcc=0.836 TrainLoss=0.4515 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.871 TestLoss=0.4224
[Step    20] CE_loss=0.5005 | VFE_final=769.9159 (IL_path=0.1064) | VFE_per_dof=0.3759 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1437 VFE_hidden_term=925.9822 logdet_Pi_y_sum=3.25 logdet_Pi_x_sum=309.17 | lambda_gate=0.000 | SG_objective=0.2283 | SG_relMSE=0.9999 SG_cosine=0.013 mean_log_Pi_g=0.302 | PC_activity_obj=696.4960 (per_unit 6.8017e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.4224 test_acc=0.8707
[Step    40] CE_loss=0.2725 | VFE_final=721.5789 (IL_path=0.0982) | VFE_per_dof=0.3523 Delta_VFE_per_dof=-0.0009 | VFE_pred_term=0.0841 VFE_hidden_term=871.6013 logdet_Pi_y_sum=3.65 logdet_Pi_x_sum=296.56 | lambda_gate=0.000 (raw=0.525) | SG_objective=0.2415 | SG_relMSE=0.9998 SG_cosine=0.051 mean_log_Pi_g=0.290 | PC_activity_obj=682.9537 (per_unit 6.6695e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.02e-04 tol=2.00e-04 r=1.000 slope=-3.815e-05) | TrainAcc=0.906 TrainLoss=0.2387 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.908 TestLoss=0.3208
[Step    40] CE_loss=0.2725 | VFE_final=721.5789 (IL_path=0.0982) | VFE_per_dof=0.3523 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0841 VFE_hidden_term=871.6013 logdet_Pi_y_sum=3.65 logdet_Pi_x_sum=296.56 | lambda_gate=0.000 | SG_objective=0.2415 | SG_relMSE=0.9998 SG_cosine=0.051 mean_log_Pi_g=0.290 | PC_activity_obj=682.9537 (per_unit 6.6695e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.3208 test_acc=0.9081
[Step    60] CE_loss=0.3260 | VFE_final=562.4685 (IL_path=0.0780) | VFE_per_dof=0.2746 Delta_VFE_per_dof=-0.0030 | VFE_pred_term=0.0921 VFE_hidden_term=706.0383 logdet_Pi_y_sum=4.06 logdet_Pi_x_sum=283.26 | lambda_gate=0.000 (raw=0.523) | SG_objective=0.1693 | SG_relMSE=0.9997 SG_cosine=0.046 mean_log_Pi_g=0.277 | PC_activity_obj=576.3593 (per_unit 5.6285e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.08e-04 tol=2.00e-04 r=1.000 slope=-6.231e-05) | TrainAcc=0.922 TrainLoss=0.2786 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.909 TestLoss=0.3008
[Step    60] CE_loss=0.3260 | VFE_final=562.4685 (IL_path=0.0780) | VFE_per_dof=0.2746 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0921 VFE_hidden_term=706.0383 logdet_Pi_y_sum=4.06 logdet_Pi_x_sum=283.26 | lambda_gate=0.000 | SG_objective=0.1693 | SG_relMSE=0.9997 SG_cosine=0.046 mean_log_Pi_g=0.277 | PC_activity_obj=576.3593 (per_unit 5.6285e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.3008 test_acc=0.9093
[Step    80] CE_loss=0.2237 | VFE_final=501.3402 (IL_path=0.0701) | VFE_per_dof=0.2448 Delta_VFE_per_dof=-0.0084 | VFE_pred_term=0.0665 VFE_hidden_term=641.8403 logdet_Pi_y_sum=4.55 logdet_Pi_x_sum=276.59 | lambda_gate=0.000 (raw=0.504) | SG_objective=0.1318 | SG_relMSE=1.0000 SG_cosine=0.008 mean_log_Pi_g=0.270 | PC_activity_obj=537.0165 (per_unit 5.2443e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=9.11e-05 tol=2.00e-04 r=1.000 slope=-3.433e-05) | TrainAcc=0.945 TrainLoss=0.1969 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.929 TestLoss=0.2430
[Step    80] CE_loss=0.2237 | VFE_final=501.3402 (IL_path=0.0701) | VFE_per_dof=0.2448 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0665 VFE_hidden_term=641.8403 logdet_Pi_y_sum=4.55 logdet_Pi_x_sum=276.59 | lambda_gate=0.000 | SG_objective=0.1318 | SG_relMSE=1.0000 SG_cosine=0.008 mean_log_Pi_g=0.270 | PC_activity_obj=537.0165 (per_unit 5.2443e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2430 test_acc=0.9294
[Step   100] CE_loss=0.2473 | VFE_final=379.6372 (IL_path=0.0562) | VFE_per_dof=0.1854 Delta_VFE_per_dof=-0.0303 | VFE_pred_term=0.0848 VFE_hidden_term=517.9637 logdet_Pi_y_sum=5.06 logdet_Pi_x_sum=271.76 | lambda_gate=0.000 (raw=0.499) | SG_objective=0.0895 | SG_relMSE=1.0000 SG_cosine=-0.002 mean_log_Pi_g=0.265 | PC_activity_obj=441.4958 (per_unit 4.3115e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.03e-04 tol=2.00e-04 r=1.000 slope=-3.179e-05) | TrainAcc=0.938 TrainLoss=0.2043 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.932 TestLoss=0.2361
[Step   100] CE_loss=0.2473 | VFE_final=379.6372 (IL_path=0.0562) | VFE_per_dof=0.1854 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0848 VFE_hidden_term=517.9637 logdet_Pi_y_sum=5.06 logdet_Pi_x_sum=271.76 | lambda_gate=0.000 | SG_objective=0.0895 | SG_relMSE=1.0000 SG_cosine=-0.002 mean_log_Pi_g=0.265 | PC_activity_obj=441.4958 (per_unit 4.3115e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.2361 test_acc=0.9320
[Step   120] CE_loss=0.2660 | VFE_final=435.4711 (IL_path=0.0621) | VFE_per_dof=0.2126 Delta_VFE_per_dof=+0.0087 | VFE_pred_term=0.0849 VFE_hidden_term=574.6620 logdet_Pi_y_sum=5.62 logdet_Pi_x_sum=272.93 | lambda_gate=0.000 (raw=0.525) | SG_objective=0.1036 | SG_relMSE=0.9997 SG_cosine=0.050 mean_log_Pi_g=0.267 | PC_activity_obj=495.5834 (per_unit 4.8397e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.06e-04 tol=2.00e-04 r=1.000 slope=-4.578e-05) | TrainAcc=0.938 TrainLoss=0.2310 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.938 TestLoss=0.2107
