JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.5279 | VFE_final=-65.3178 (IL_path=0.0120) | VFE_per_dof=-0.0319 Delta_VFE_per_dof=-0.0017 | VFE_pred_term=0.1438 VFE_hidden_term=102.7765 logdet_Pi_y_sum=3.28 logdet_Pi_x_sum=333.20 | lambda_gate=0.289 (raw=0.289) | SG_objective=0.0146 | SG_relMSE=1.0045 SG_cosine=-0.422 mean_log_Pi_g=0.325 | PC_activity_obj=74.4215 (per_unit 7.2677e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.43e-04 tol=5.00e-04 r=1.000 slope=-4.069e-05) | TrainAcc=0.914 TrainLoss=0.4857 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.863 TestLoss=0.5444
[Step    20] CE_loss=0.5279 | VFE_final=-65.3178 (IL_path=0.0120) | VFE_per_dof=-0.0319 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1438 VFE_hidden_term=102.7765 logdet_Pi_y_sum=3.28 logdet_Pi_x_sum=333.20 | lambda_gate=0.289 | SG_objective=0.0146 | SG_relMSE=1.0045 SG_cosine=-0.422 mean_log_Pi_g=0.325 | PC_activity_obj=74.4215 (per_unit 7.2677e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.5444 test_acc=0.8626
[Step    40] CE_loss=0.3952 | VFE_final=-116.9936 (IL_path=0.0093) | VFE_per_dof=-0.0571 Delta_VFE_per_dof=-0.0092 | VFE_pred_term=0.1153 VFE_hidden_term=77.7253 logdet_Pi_y_sum=3.83 logdet_Pi_x_sum=385.84 | lambda_gate=0.300 (raw=0.300) | SG_objective=0.0097 | SG_relMSE=1.0050 SG_cosine=-0.400 mean_log_Pi_g=0.377 | PC_activity_obj=53.7035 (per_unit 5.2445e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.50e-04 tol=5.00e-04 r=1.000 slope=-3.815e-05) | TrainAcc=0.930 TrainLoss=0.3761 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.913 TestLoss=0.3602
[Step    40] CE_loss=0.3952 | VFE_final=-116.9936 (IL_path=0.0093) | VFE_per_dof=-0.0571 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1153 VFE_hidden_term=77.7253 logdet_Pi_y_sum=3.83 logdet_Pi_x_sum=385.84 | lambda_gate=0.300 | SG_objective=0.0097 | SG_relMSE=1.0050 SG_cosine=-0.400 mean_log_Pi_g=0.377 | PC_activity_obj=53.7035 (per_unit 5.2445e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.3602 test_acc=0.9133
[Step    60] CE_loss=0.3527 | VFE_final=-148.3721 (IL_path=0.0089) | VFE_per_dof=-0.0724 Delta_VFE_per_dof=-0.0041 | VFE_pred_term=0.1070 VFE_hidden_term=72.7871 logdet_Pi_y_sum=4.35 logdet_Pi_x_sum=438.18 | lambda_gate=0.311 (raw=0.311) | SG_objective=0.0082 | SG_relMSE=1.0041 SG_cosine=-0.378 mean_log_Pi_g=0.428 | PC_activity_obj=47.7235 (per_unit 4.6605e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.63e-04 tol=5.00e-04 r=1.000 slope=-4.069e-05) | TrainAcc=0.914 TrainLoss=0.3403 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.937 TestLoss=0.3034
[Step    60] CE_loss=0.3527 | VFE_final=-148.3721 (IL_path=0.0089) | VFE_per_dof=-0.0724 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1070 VFE_hidden_term=72.7871 logdet_Pi_y_sum=4.35 logdet_Pi_x_sum=438.18 | lambda_gate=0.311 | SG_objective=0.0082 | SG_relMSE=1.0041 SG_cosine=-0.378 mean_log_Pi_g=0.428 | PC_activity_obj=47.7235 (per_unit 4.6605e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.3034 test_acc=0.9366
[Step    80] CE_loss=0.2399 | VFE_final=-172.0958 (IL_path=0.0094) | VFE_per_dof=-0.0840 Delta_VFE_per_dof=-0.0007 | VFE_pred_term=0.0645 VFE_hidden_term=75.0709 logdet_Pi_y_sum=4.86 logdet_Pi_x_sum=489.61 | lambda_gate=0.311 (raw=0.311) | SG_objective=0.0089 | SG_relMSE=1.0038 SG_cosine=-0.378 mean_log_Pi_g=0.478 | PC_activity_obj=46.8031 (per_unit 4.5706e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.35e-04 tol=5.00e-04 r=1.000 slope=-4.323e-05) | TrainAcc=0.969 TrainLoss=0.2151 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.940 TestLoss=0.2563
[Step    80] CE_loss=0.2399 | VFE_final=-172.0958 (IL_path=0.0094) | VFE_per_dof=-0.0840 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0645 VFE_hidden_term=75.0709 logdet_Pi_y_sum=4.86 logdet_Pi_x_sum=489.61 | lambda_gate=0.311 | SG_objective=0.0089 | SG_relMSE=1.0038 SG_cosine=-0.378 mean_log_Pi_g=0.478 | PC_activity_obj=46.8031 (per_unit 4.5706e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.2563 test_acc=0.9403
[Step   100] CE_loss=0.2609 | VFE_final=-192.3103 (IL_path=0.0102) | VFE_per_dof=-0.0939 Delta_VFE_per_dof=+0.0011 | VFE_pred_term=0.0821 VFE_hidden_term=80.0940 logdet_Pi_y_sum=5.34 logdet_Pi_x_sum=539.63 | lambda_gate=0.315 (raw=0.315) | SG_objective=0.0094 | SG_relMSE=1.0037 SG_cosine=-0.369 mean_log_Pi_g=0.527 | PC_activity_obj=47.5094 (per_unit 4.6396e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.60e-04 tol=5.00e-04 r=1.000 slope=-4.578e-05) | TrainAcc=0.938 TrainLoss=0.2312 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.945 TestLoss=0.2233
[Step   100] CE_loss=0.2609 | VFE_final=-192.3103 (IL_path=0.0102) | VFE_per_dof=-0.0939 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0821 VFE_hidden_term=80.0940 logdet_Pi_y_sum=5.34 logdet_Pi_x_sum=539.63 | lambda_gate=0.315 | SG_objective=0.0094 | SG_relMSE=1.0037 SG_cosine=-0.369 mean_log_Pi_g=0.527 | PC_activity_obj=47.5094 (per_unit 4.6396e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.2233 test_acc=0.9445
[Step   120] CE_loss=0.1849 | VFE_final=-228.4129 (IL_path=0.0089) | VFE_per_dof=-0.1115 Delta_VFE_per_dof=+0.0007 | VFE_pred_term=0.0554 VFE_hidden_term=68.4950 logdet_Pi_y_sum=5.81 logdet_Pi_x_sum=588.12 | lambda_gate=0.317 (raw=0.317) | SG_objective=0.0075 | SG_relMSE=1.0040 SG_cosine=-0.367 mean_log_Pi_g=0.574 | PC_activity_obj=38.7158 (per_unit 3.7808e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.40e-04 tol=5.00e-04 r=1.000 slope=-5.849e-05) | TrainAcc=0.977 TrainLoss=0.1615 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.951 TestLoss=0.2296
[Step   120] CE_loss=0.1849 | VFE_final=-228.4129 (IL_path=0.0089) | VFE_per_dof=-0.1115 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0554 VFE_hidden_term=68.4950 logdet_Pi_y_sum=5.81 logdet_Pi_x_sum=588.12 | lambda_gate=0.317 | SG_objective=0.0075 | SG_relMSE=1.0040 SG_cosine=-0.367 mean_log_Pi_g=0.574 | PC_activity_obj=38.7158 (per_unit 3.7808e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.2296 test_acc=0.9512
[Step   140] CE_loss=0.1997 | VFE_final=-250.7315 (IL_path=0.0092) | VFE_per_dof=-0.1224 Delta_VFE_per_dof=+0.0015 | VFE_pred_term=0.0684 VFE_hidden_term=69.9381 logdet_Pi_y_sum=6.26 logdet_Pi_x_sum=635.21 | lambda_gate=0.350 (raw=0.350) | SG_objective=0.0086 | SG_relMSE=1.0028 SG_cosine=-0.299 mean_log_Pi_g=0.620 | PC_activity_obj=37.8234 (per_unit 3.6937e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.61e-04 tol=5.00e-04 r=1.000 slope=-5.341e-05) | TrainAcc=0.969 TrainLoss=0.1786 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.950 TestLoss=0.2098
[Step   140] CE_loss=0.1997 | VFE_final=-250.7315 (IL_path=0.0092) | VFE_per_dof=-0.1224 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0684 VFE_hidden_term=69.9381 logdet_Pi_y_sum=6.26 logdet_Pi_x_sum=635.21 | lambda_gate=0.350 | SG_objective=0.0086 | SG_relMSE=1.0028 SG_cosine=-0.299 mean_log_Pi_g=0.620 | PC_activity_obj=37.8234 (per_unit 3.6937e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.2098 test_acc=0.9498
[Step   160] CE_loss=0.2746 | VFE_final=-282.7073 (IL_path=0.0082) | VFE_per_dof=-0.1380 Delta_VFE_per_dof=-0.0036 | VFE_pred_term=0.0990 VFE_hidden_term=61.0341 logdet_Pi_y_sum=6.70 logdet_Pi_x_sum=680.98 | lambda_gate=0.371 (raw=0.371) | SG_objective=0.0081 | SG_relMSE=1.0030 SG_cosine=-0.258 mean_log_Pi_g=0.665 | PC_activity_obj=31.5572 (per_unit 3.0818e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=2.06e-04 tol=5.00e-04 r=1.000 slope=-6.485e-05) | TrainAcc=0.938 TrainLoss=0.2477 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.950 TestLoss=0.2222
[Step   160] CE_loss=0.2746 | VFE_final=-282.7073 (IL_path=0.0082) | VFE_per_dof=-0.1380 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0990 VFE_hidden_term=61.0341 logdet_Pi_y_sum=6.70 logdet_Pi_x_sum=680.98 | lambda_gate=0.371 | SG_objective=0.0081 | SG_relMSE=1.0030 SG_cosine=-0.258 mean_log_Pi_g=0.665 | PC_activity_obj=31.5572 (per_unit 3.0818e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.2222 test_acc=0.9501
[Step   180] CE_loss=0.2481 | VFE_final=-312.3450 (IL_path=0.0073) | VFE_per_dof=-0.1525 Delta_VFE_per_dof=-0.0036 | VFE_pred_term=0.0950 VFE_hidden_term=53.7531 logdet_Pi_y_sum=7.13 logdet_Pi_x_sum=725.26 | lambda_gate=0.298 (raw=0.298) | SG_objective=0.0061 | SG_relMSE=1.0057 SG_cosine=-0.404 mean_log_Pi_g=0.708 | PC_activity_obj=26.6261 (per_unit 2.6002e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=2.01e-04 tol=5.00e-04 r=1.000 slope=-5.976e-05) | TrainAcc=0.969 TrainLoss=0.2269 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.957 TestLoss=0.2096
[Step   180] CE_loss=0.2481 | VFE_final=-312.3450 (IL_path=0.0073) | VFE_per_dof=-0.1525 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0950 VFE_hidden_term=53.7531 logdet_Pi_y_sum=7.13 logdet_Pi_x_sum=725.26 | lambda_gate=0.298 | SG_objective=0.0061 | SG_relMSE=1.0057 SG_cosine=-0.404 mean_log_Pi_g=0.708 | PC_activity_obj=26.6261 (per_unit 2.6002e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.2096 test_acc=0.9572
[Step   200] CE_loss=0.2018 | VFE_final=-323.1523 (IL_path=0.0089) | VFE_per_dof=-0.1578 Delta_VFE_per_dof=-0.0026 | VFE_pred_term=0.0757 VFE_hidden_term=64.6400 logdet_Pi_y_sum=7.54 logdet_Pi_x_sum=768.20 | lambda_gate=0.360 (raw=0.360) | SG_objective=0.0087 | SG_relMSE=1.0028 SG_cosine=-0.279 mean_log_Pi_g=0.750 | PC_activity_obj=30.7049 (per_unit 2.9985e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.84e-04 tol=5.00e-04 r=1.000 slope=-5.086e-05) | TrainAcc=0.953 TrainLoss=0.1820 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.960 TestLoss=0.1727
[Step   200] CE_loss=0.2018 | VFE_final=-323.1523 (IL_path=0.0089) | VFE_per_dof=-0.1578 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0757 VFE_hidden_term=64.6400 logdet_Pi_y_sum=7.54 logdet_Pi_x_sum=768.20 | lambda_gate=0.360 | SG_objective=0.0087 | SG_relMSE=1.0028 SG_cosine=-0.279 mean_log_Pi_g=0.750 | PC_activity_obj=30.7049 (per_unit 2.9985e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.1727 test_acc=0.9604
[Step   220] CE_loss=0.1886 | VFE_final=-344.7743 (IL_path=0.0089) | VFE_per_dof=-0.1683 Delta_VFE_per_dof=+0.0007 | VFE_pred_term=0.0733 VFE_hidden_term=64.0630 logdet_Pi_y_sum=7.94 logdet_Pi_x_sum=809.88 | lambda_gate=0.352 (raw=0.352) | SG_objective=0.0083 | SG_relMSE=1.0028 SG_cosine=-0.296 mean_log_Pi_g=0.791 | PC_activity_obj=29.2436 (per_unit 2.8558e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.89e-04 tol=5.00e-04 r=1.000 slope=-6.612e-05) | TrainAcc=0.953 TrainLoss=0.1664 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.961 TestLoss=0.1811
[Step   220] CE_loss=0.1886 | VFE_final=-344.7743 (IL_path=0.0089) | VFE_per_dof=-0.1683 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0733 VFE_hidden_term=64.0630 logdet_Pi_y_sum=7.94 logdet_Pi_x_sum=809.88 | lambda_gate=0.352 | SG_objective=0.0083 | SG_relMSE=1.0028 SG_cosine=-0.296 mean_log_Pi_g=0.791 | PC_activity_obj=29.2436 (per_unit 2.8558e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.1811 test_acc=0.9609
[Step   240] CE_loss=0.1426 | VFE_final=-364.6390 (IL_path=0.0091) | VFE_per_dof=-0.1780 Delta_VFE_per_dof=+0.0028 | VFE_pred_term=0.0413 VFE_hidden_term=64.6799 logdet_Pi_y_sum=8.33 logdet_Pi_x_sum=850.39 | lambda_gate=0.288 (raw=0.288) | SG_objective=0.0075 | SG_relMSE=1.0040 SG_cosine=-0.425 mean_log_Pi_g=0.830 | PC_activity_obj=28.4149 (per_unit 2.7749e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.44e-04 tol=5.00e-04 r=1.000 slope=-5.722e-05) | TrainAcc=0.984 TrainLoss=0.1126 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.963 TestLoss=0.1678
[Step   240] CE_loss=0.1426 | VFE_final=-364.6390 (IL_path=0.0091) | VFE_per_dof=-0.1780 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0413 VFE_hidden_term=64.6799 logdet_Pi_y_sum=8.33 logdet_Pi_x_sum=850.39 | lambda_gate=0.288 | SG_objective=0.0075 | SG_relMSE=1.0040 SG_cosine=-0.425 mean_log_Pi_g=0.830 | PC_activity_obj=28.4149 (per_unit 2.7749e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.1678 test_acc=0.9632
