JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.3938 | VFE_final=805.7355 (IL_path=0.5460) | VFE_per_dof=0.3934 Delta_VFE_per_dof=+0.0146 | VFE_pred_term=0.1154 VFE_hidden_term=965.2994 logdet_Pi_y_sum=3.26 logdet_Pi_x_sum=316.10 | lambda_gate=0.000 (raw=0.504) | SG_objective=0.2708 | SG_relMSE=1.0000 SG_cosine=0.008 mean_log_Pi_g=0.309 | PC_activity_obj=719.2760 (per_unit 7.0242e-01) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.65e-04 tol=1.00e-04 r=1.000 slope=-6.249e-05) | TrainAcc=0.875 TrainLoss=0.3453 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.849 TestLoss=0.4594
[Step    20] CE_loss=0.3938 | VFE_final=805.7355 (IL_path=0.5460) | VFE_per_dof=0.3934 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1154 VFE_hidden_term=965.2994 logdet_Pi_y_sum=3.26 logdet_Pi_x_sum=316.10 | lambda_gate=0.000 | SG_objective=0.2708 | SG_relMSE=1.0000 SG_cosine=0.008 mean_log_Pi_g=0.309 | PC_activity_obj=719.2760 (per_unit 7.0242e-01) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.4594 test_acc=0.8491
[Step    40] CE_loss=0.3791 | VFE_final=690.6367 (IL_path=0.4697) | VFE_per_dof=0.3372 Delta_VFE_per_dof=-0.0167 | VFE_pred_term=0.1164 VFE_hidden_term=845.9758 logdet_Pi_y_sum=3.67 logdet_Pi_x_sum=307.24 | lambda_gate=0.000 (raw=0.507) | SG_objective=0.2652 | SG_relMSE=0.9999 SG_cosine=0.014 mean_log_Pi_g=0.300 | PC_activity_obj=655.3565 (per_unit 6.4000e-01) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.66e-04 tol=1.00e-04 r=1.000 slope=-5.777e-05) | TrainAcc=0.906 TrainLoss=0.3202 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.895 TestLoss=0.3454
[Step    40] CE_loss=0.3791 | VFE_final=690.6367 (IL_path=0.4697) | VFE_per_dof=0.3372 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1164 VFE_hidden_term=845.9758 logdet_Pi_y_sum=3.67 logdet_Pi_x_sum=307.24 | lambda_gate=0.000 | SG_objective=0.2652 | SG_relMSE=0.9999 SG_cosine=0.014 mean_log_Pi_g=0.300 | PC_activity_obj=655.3565 (per_unit 6.4000e-01) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.3454 test_acc=0.8950
[Step    60] CE_loss=0.3939 | VFE_final=571.0769 (IL_path=0.3921) | VFE_per_dof=0.2788 Delta_VFE_per_dof=-0.0138 | VFE_pred_term=0.1140 VFE_hidden_term=719.5236 logdet_Pi_y_sum=4.06 logdet_Pi_x_sum=293.06 | lambda_gate=0.000 (raw=0.512) | SG_objective=0.1643 | SG_relMSE=0.9998 SG_cosine=0.024 mean_log_Pi_g=0.286 | PC_activity_obj=579.4886 (per_unit 5.6591e-01) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.68e-04 tol=1.00e-04 r=1.000 slope=-6.612e-05) | TrainAcc=0.906 TrainLoss=0.3540 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.910 TestLoss=0.3041
[Step    60] CE_loss=0.3939 | VFE_final=571.0769 (IL_path=0.3921) | VFE_per_dof=0.2788 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1140 VFE_hidden_term=719.5236 logdet_Pi_y_sum=4.06 logdet_Pi_x_sum=293.06 | lambda_gate=0.000 | SG_objective=0.1643 | SG_relMSE=0.9998 SG_cosine=0.024 mean_log_Pi_g=0.286 | PC_activity_obj=579.4886 (per_unit 5.6591e-01) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.3041 test_acc=0.9099
[Step    80] CE_loss=0.2291 | VFE_final=469.2612 (IL_path=0.3299) | VFE_per_dof=0.2291 Delta_VFE_per_dof=+0.0087 | VFE_pred_term=0.0643 VFE_hidden_term=614.3807 logdet_Pi_y_sum=4.53 logdet_Pi_x_sum=285.84 | lambda_gate=0.000 (raw=0.500) | SG_objective=0.1354 | SG_relMSE=1.0000 SG_cosine=-0.001 mean_log_Pi_g=0.279 | PC_activity_obj=510.7489 (per_unit 4.9878e-01) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.27e-04 tol=1.00e-04 r=1.000 slope=-5.413e-05) | TrainAcc=0.953 TrainLoss=0.1961 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.931 TestLoss=0.2369
[Step    80] CE_loss=0.2291 | VFE_final=469.2612 (IL_path=0.3299) | VFE_per_dof=0.2291 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0643 VFE_hidden_term=614.3807 logdet_Pi_y_sum=4.53 logdet_Pi_x_sum=285.84 | lambda_gate=0.000 | SG_objective=0.1354 | SG_relMSE=1.0000 SG_cosine=-0.001 mean_log_Pi_g=0.279 | PC_activity_obj=510.7489 (per_unit 4.9878e-01) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.2369 test_acc=0.9306
[Step   100] CE_loss=0.2111 | VFE_final=489.0909 (IL_path=0.3380) | VFE_per_dof=0.2388 Delta_VFE_per_dof=+0.0107 | VFE_pred_term=0.0706 VFE_hidden_term=632.8192 logdet_Pi_y_sum=5.05 logdet_Pi_x_sum=282.55 | lambda_gate=0.000 (raw=0.495) | SG_objective=0.1163 | SG_relMSE=1.0000 SG_cosine=-0.011 mean_log_Pi_g=0.276 | PC_activity_obj=533.9072 (per_unit 5.2139e-01) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.35e-04 tol=1.00e-04 r=1.000 slope=-6.830e-05) | TrainAcc=0.961 TrainLoss=0.1788 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.936 TestLoss=0.2118
[Step   100] CE_loss=0.2111 | VFE_final=489.0909 (IL_path=0.3380) | VFE_per_dof=0.2388 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0706 VFE_hidden_term=632.8192 logdet_Pi_y_sum=5.05 logdet_Pi_x_sum=282.55 | lambda_gate=0.000 | SG_objective=0.1163 | SG_relMSE=1.0000 SG_cosine=-0.011 mean_log_Pi_g=0.276 | PC_activity_obj=533.9072 (per_unit 5.2139e-01) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.2118 test_acc=0.9361
[Step   120] CE_loss=0.1644 | VFE_final=501.6935 (IL_path=0.3426) | VFE_per_dof=0.2450 Delta_VFE_per_dof=+0.0028 | VFE_pred_term=0.0504 VFE_hidden_term=642.6058 logdet_Pi_y_sum=5.55 logdet_Pi_x_sum=276.38 | lambda_gate=0.000 (raw=0.500) | SG_objective=0.1077 | SG_relMSE=1.0000 SG_cosine=-0.001 mean_log_Pi_g=0.270 | PC_activity_obj=546.3628 (per_unit 5.3356e-01) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.19e-04 tol=1.00e-04 r=1.000 slope=-4.941e-05) | TrainAcc=0.969 TrainLoss=0.1299 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.936 TestLoss=0.2146
