JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.7265 | VFE_final=-54.1168 (IL_path=0.0331) | VFE_per_dof=-0.0264 Delta_VFE_per_dof=-0.0029 | VFE_pred_term=0.2120 VFE_hidden_term=112.8201 logdet_Pi_y_sum=3.27 logdet_Pi_x_sum=331.03 | lambda_gate=0.317 (raw=0.317) | SG_objective=0.0244 | SG_relMSE=1.0037 SG_cosine=-0.367 mean_log_Pi_g=0.323 | PC_activity_obj=82.1534 (per_unit 8.0228e-02) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.19e-04 tol=1.00e-04 r=1.000 slope=-2.797e-05) | TrainAcc=0.875 TrainLoss=0.6907 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.833 TestLoss=0.7347
[Step    20] CE_loss=0.7265 | VFE_final=-54.1168 (IL_path=0.0331) | VFE_per_dof=-0.0264 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.2120 VFE_hidden_term=112.8201 logdet_Pi_y_sum=3.27 logdet_Pi_x_sum=331.03 | lambda_gate=0.317 | SG_objective=0.0244 | SG_relMSE=1.0037 SG_cosine=-0.367 mean_log_Pi_g=0.323 | PC_activity_obj=82.1534 (per_unit 8.0228e-02) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.7347 test_acc=0.8332
[Step    40] CE_loss=0.4958 | VFE_final=-93.6699 (IL_path=0.0285) | VFE_per_dof=-0.0457 Delta_VFE_per_dof=-0.0092 | VFE_pred_term=0.1497 VFE_hidden_term=96.3768 logdet_Pi_y_sum=3.80 logdet_Pi_x_sum=376.59 | lambda_gate=0.316 (raw=0.316) | SG_objective=0.0194 | SG_relMSE=1.0037 SG_cosine=-0.368 mean_log_Pi_g=0.368 | PC_activity_obj=69.2931 (per_unit 6.7669e-02) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.12e-04 tol=1.00e-04 r=1.000 slope=-3.887e-05) | TrainAcc=0.914 TrainLoss=0.4706 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.895 TestLoss=0.4502
[Step    40] CE_loss=0.4958 | VFE_final=-93.6699 (IL_path=0.0285) | VFE_per_dof=-0.0457 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1497 VFE_hidden_term=96.3768 logdet_Pi_y_sum=3.80 logdet_Pi_x_sum=376.59 | lambda_gate=0.316 | SG_objective=0.0194 | SG_relMSE=1.0037 SG_cosine=-0.368 mean_log_Pi_g=0.368 | PC_activity_obj=69.2931 (per_unit 6.7669e-02) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.4502 test_acc=0.8952
[Step    60] CE_loss=0.4595 | VFE_final=-124.7733 (IL_path=0.0261) | VFE_per_dof=-0.0609 Delta_VFE_per_dof=-0.0080 | VFE_pred_term=0.1416 VFE_hidden_term=87.7309 logdet_Pi_y_sum=4.32 logdet_Pi_x_sum=420.97 | lambda_gate=0.403 (raw=0.403) | SG_objective=0.0136 | SG_relMSE=1.0020 SG_cosine=-0.193 mean_log_Pi_g=0.411 | PC_activity_obj=62.3099 (per_unit 6.0849e-02) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.20e-04 tol=1.00e-04 r=1.000 slope=-3.778e-05) | TrainAcc=0.898 TrainLoss=0.4479 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.911 TestLoss=0.3739
[Step    60] CE_loss=0.4595 | VFE_final=-124.7733 (IL_path=0.0261) | VFE_per_dof=-0.0609 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1416 VFE_hidden_term=87.7309 logdet_Pi_y_sum=4.32 logdet_Pi_x_sum=420.97 | lambda_gate=0.403 | SG_objective=0.0136 | SG_relMSE=1.0020 SG_cosine=-0.193 mean_log_Pi_g=0.411 | PC_activity_obj=62.3099 (per_unit 6.0849e-02) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.3739 test_acc=0.9115
[Step    80] CE_loss=0.2845 | VFE_final=-147.0314 (IL_path=0.0076) | VFE_per_dof=-0.0718 Delta_VFE_per_dof=+0.0009 | VFE_pred_term=0.0877 VFE_hidden_term=88.6347 logdet_Pi_y_sum=4.84 logdet_Pi_x_sum=466.67 | lambda_gate=0.272 (raw=0.272) | SG_objective=0.0104 | SG_relMSE=1.0039 SG_cosine=-0.456 mean_log_Pi_g=0.456 | PC_activity_obj=61.7337 (per_unit 6.0287e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=9.73e-05 tol=1.00e-04 r=1.000 slope=-2.797e-05) | TrainAcc=0.938 TrainLoss=0.2720 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.925 TestLoss=0.3140
[Step    80] CE_loss=0.2845 | VFE_final=-147.0314 (IL_path=0.0076) | VFE_per_dof=-0.0718 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0877 VFE_hidden_term=88.6347 logdet_Pi_y_sum=4.84 logdet_Pi_x_sum=466.67 | lambda_gate=0.272 | SG_objective=0.0104 | SG_relMSE=1.0039 SG_cosine=-0.456 mean_log_Pi_g=0.456 | PC_activity_obj=61.7337 (per_unit 6.0287e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.3140 test_acc=0.9251
[Step   100] CE_loss=0.3293 | VFE_final=-168.4172 (IL_path=0.0273) | VFE_per_dof=-0.0822 Delta_VFE_per_dof=+0.0025 | VFE_pred_term=0.1095 VFE_hidden_term=90.0052 logdet_Pi_y_sum=5.33 logdet_Pi_x_sum=511.73 | lambda_gate=0.310 (raw=0.310) | SG_objective=0.0094 | SG_relMSE=1.0042 SG_cosine=-0.381 mean_log_Pi_g=0.500 | PC_activity_obj=61.0145 (per_unit 5.9585e-02) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.14e-04 tol=1.00e-04 r=1.000 slope=-3.742e-05) | TrainAcc=0.930 TrainLoss=0.3047 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.927 TestLoss=0.2892
[Step   100] CE_loss=0.3293 | VFE_final=-168.4172 (IL_path=0.0273) | VFE_per_dof=-0.0822 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1095 VFE_hidden_term=90.0052 logdet_Pi_y_sum=5.33 logdet_Pi_x_sum=511.73 | lambda_gate=0.310 | SG_objective=0.0094 | SG_relMSE=1.0042 SG_cosine=-0.381 mean_log_Pi_g=0.500 | PC_activity_obj=61.0145 (per_unit 5.9585e-02) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.2892 test_acc=0.9275
[Step   120] CE_loss=0.2823 | VFE_final=-203.0657 (IL_path=0.0240) | VFE_per_dof=-0.0992 Delta_VFE_per_dof=+0.0015 | VFE_pred_term=0.0882 VFE_hidden_term=77.9852 logdet_Pi_y_sum=5.80 logdet_Pi_x_sum=556.47 | lambda_gate=0.358 (raw=0.358) | SG_objective=0.0071 | SG_relMSE=1.0042 SG_cosine=-0.283 mean_log_Pi_g=0.543 | PC_activity_obj=51.2152 (per_unit 5.0015e-02) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.08e-04 tol=1.00e-04 r=1.000 slope=-3.597e-05) | TrainAcc=0.945 TrainLoss=0.2489 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.929 TestLoss=0.2859
