JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.7760 | VFE_final=-69.1134 (IL_path=0.1204) | VFE_per_dof=-0.0337 Delta_VFE_per_dof=+0.0019 | VFE_pred_term=0.2265 VFE_hidden_term=98.3314 logdet_Pi_y_sum=3.27 logdet_Pi_x_sum=332.07 | lambda_gate=0.317 (raw=0.317) | SG_objective=0.0226 | SG_relMSE=1.0039 SG_cosine=-0.367 mean_log_Pi_g=0.324 | PC_activity_obj=71.4816 (per_unit 6.9806e-02) | PI_max_steps=16 | PI_est_total=16.0 PI_est_valid=1 (cap_hit=1 delta_last=2.40e-04 tol=1.00e-04 r=1.000 slope=-5.958e-05) | TrainAcc=0.836 TrainLoss=0.7458 (total_proposals=16, oracle_model=0/0, oracle_lp=0/0, metrics=16/16) | TestAcc=0.867 TestLoss=0.7182
[Step    20] CE_loss=0.7760 | VFE_final=-69.1134 (IL_path=0.1204) | VFE_per_dof=-0.0337 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.2265 VFE_hidden_term=98.3314 logdet_Pi_y_sum=3.27 logdet_Pi_x_sum=332.07 | lambda_gate=0.317 | SG_objective=0.0226 | SG_relMSE=1.0039 SG_cosine=-0.367 mean_log_Pi_g=0.324 | PC_activity_obj=71.4816 (per_unit 6.9806e-02) | PI_max_steps=16 | PC_steps=16 (total_proposals=16, oracle_model=0/0, oracle_lp=0/0, metrics=16/16) (total_proposals=16) | test_loss=0.7182 test_acc=0.8667
[Step    40] CE_loss=0.4325 | VFE_final=-107.4321 (IL_path=0.1046) | VFE_per_dof=-0.0525 Delta_VFE_per_dof=-0.0055 | VFE_pred_term=0.1296 VFE_hidden_term=84.3902 logdet_Pi_y_sum=3.81 logdet_Pi_x_sum=380.09 | lambda_gate=0.233 (raw=0.233) | SG_objective=0.0172 | SG_relMSE=1.0044 SG_cosine=-0.533 mean_log_Pi_g=0.371 | PC_activity_obj=59.7596 (per_unit 5.8359e-02) | PI_max_steps=16 | PI_est_total=16.0 PI_est_valid=1 (cap_hit=1 delta_last=2.05e-04 tol=1.00e-04 r=1.000 slope=-5.740e-05) | TrainAcc=0.922 TrainLoss=0.4259 (total_proposals=16, oracle_model=0/0, oracle_lp=0/0, metrics=16/16) | TestAcc=0.905 TestLoss=0.4554
[Step    40] CE_loss=0.4325 | VFE_final=-107.4321 (IL_path=0.1046) | VFE_per_dof=-0.0525 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1296 VFE_hidden_term=84.3902 logdet_Pi_y_sum=3.81 logdet_Pi_x_sum=380.09 | lambda_gate=0.233 | SG_objective=0.0172 | SG_relMSE=1.0044 SG_cosine=-0.533 mean_log_Pi_g=0.371 | PC_activity_obj=59.7596 (per_unit 5.8359e-02) | PI_max_steps=16 | PC_steps=16 (total_proposals=16, oracle_model=0/0, oracle_lp=0/0, metrics=16/16) (total_proposals=16) | test_loss=0.4554 test_acc=0.9053
[Step    60] CE_loss=0.3581 | VFE_final=-121.6354 (IL_path=0.1190) | VFE_per_dof=-0.0594 Delta_VFE_per_dof=+0.0003 | VFE_pred_term=0.1096 VFE_hidden_term=94.5483 logdet_Pi_y_sum=4.34 logdet_Pi_x_sum=428.25 | lambda_gate=0.366 (raw=0.366) | SG_objective=0.0124 | SG_relMSE=1.0024 SG_cosine=-0.269 mean_log_Pi_g=0.418 | PC_activity_obj=64.8520 (per_unit 6.3332e-02) | PI_max_steps=16 | PI_est_total=16.0 PI_est_valid=1 (cap_hit=1 delta_last=2.09e-04 tol=1.00e-04 r=1.000 slope=-6.213e-05) | TrainAcc=0.914 TrainLoss=0.3394 (total_proposals=16, oracle_model=0/0, oracle_lp=0/0, metrics=16/16) | TestAcc=0.916 TestLoss=0.3513
[Step    60] CE_loss=0.3581 | VFE_final=-121.6354 (IL_path=0.1190) | VFE_per_dof=-0.0594 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1096 VFE_hidden_term=94.5483 logdet_Pi_y_sum=4.34 logdet_Pi_x_sum=428.25 | lambda_gate=0.366 | SG_objective=0.0124 | SG_relMSE=1.0024 SG_cosine=-0.269 mean_log_Pi_g=0.418 | PC_activity_obj=64.8520 (per_unit 6.3332e-02) | PI_max_steps=16 | PC_steps=16 (total_proposals=16, oracle_model=0/0, oracle_lp=0/0, metrics=16/16) (total_proposals=16) | test_loss=0.3513 test_acc=0.9160
[Step    80] CE_loss=0.2896 | VFE_final=-152.5128 (IL_path=0.1125) | VFE_per_dof=-0.0745 Delta_VFE_per_dof=-0.0012 | VFE_pred_term=0.0849 VFE_hidden_term=87.9771 logdet_Pi_y_sum=4.85 logdet_Pi_x_sum=476.30 | lambda_gate=0.312 (raw=0.312) | SG_objective=0.0083 | SG_relMSE=1.0035 SG_cosine=-0.376 mean_log_Pi_g=0.465 | PC_activity_obj=58.1558 (per_unit 5.6793e-02) | PI_max_steps=16 | PI_est_total=16.0 PI_est_valid=1 (cap_hit=1 delta_last=1.92e-04 tol=1.00e-04 r=1.000 slope=-6.176e-05) | TrainAcc=0.938 TrainLoss=0.2670 (total_proposals=16, oracle_model=0/0, oracle_lp=0/0, metrics=16/16) | TestAcc=0.927 TestLoss=0.2908
[Step    80] CE_loss=0.2896 | VFE_final=-152.5128 (IL_path=0.1125) | VFE_per_dof=-0.0745 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0849 VFE_hidden_term=87.9771 logdet_Pi_y_sum=4.85 logdet_Pi_x_sum=476.30 | lambda_gate=0.312 | SG_objective=0.0083 | SG_relMSE=1.0035 SG_cosine=-0.376 mean_log_Pi_g=0.465 | PC_activity_obj=58.1558 (per_unit 5.6793e-02) | PI_max_steps=16 | PC_steps=16 (total_proposals=16, oracle_model=0/0, oracle_lp=0/0, metrics=16/16) (total_proposals=16) | test_loss=0.2908 test_acc=0.9266
[Step   100] CE_loss=0.3244 | VFE_final=-191.9884 (IL_path=0.0947) | VFE_per_dof=-0.0937 Delta_VFE_per_dof=-0.0049 | VFE_pred_term=0.1141 VFE_hidden_term=72.7542 logdet_Pi_y_sum=5.34 logdet_Pi_x_sum=524.37 | lambda_gate=0.317 (raw=0.317) | SG_objective=0.0101 | SG_relMSE=1.0041 SG_cosine=-0.366 mean_log_Pi_g=0.512 | PC_activity_obj=46.0480 (per_unit 4.4969e-02) | PI_max_steps=16 | PI_est_total=16.0 PI_est_valid=1 (cap_hit=1 delta_last=2.35e-04 tol=1.00e-04 r=1.000 slope=-7.339e-05) | TrainAcc=0.930 TrainLoss=0.3045 (total_proposals=16, oracle_model=0/0, oracle_lp=0/0, metrics=16/16) | TestAcc=0.930 TestLoss=0.2901
[Step   100] CE_loss=0.3244 | VFE_final=-191.9884 (IL_path=0.0947) | VFE_per_dof=-0.0937 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1141 VFE_hidden_term=72.7542 logdet_Pi_y_sum=5.34 logdet_Pi_x_sum=524.37 | lambda_gate=0.317 | SG_objective=0.0101 | SG_relMSE=1.0041 SG_cosine=-0.366 mean_log_Pi_g=0.512 | PC_activity_obj=46.0480 (per_unit 4.4969e-02) | PI_max_steps=16 | PC_steps=16 (total_proposals=16, oracle_model=0/0, oracle_lp=0/0, metrics=16/16) (total_proposals=16) | test_loss=0.2901 test_acc=0.9303
[Step   120] CE_loss=0.2759 | VFE_final=-207.6576 (IL_path=0.1068) | VFE_per_dof=-0.1014 Delta_VFE_per_dof=-0.0001 | VFE_pred_term=0.0914 VFE_hidden_term=80.7432 logdet_Pi_y_sum=5.81 logdet_Pi_x_sum=571.17 | lambda_gate=0.340 (raw=0.340) | SG_objective=0.0090 | SG_relMSE=1.0029 SG_cosine=-0.321 mean_log_Pi_g=0.558 | PC_activity_obj=49.1855 (per_unit 4.8033e-02) | PI_max_steps=16 | PI_est_total=16.0 PI_est_valid=1 (cap_hit=1 delta_last=2.18e-04 tol=1.00e-04 r=1.000 slope=-7.157e-05) | TrainAcc=0.938 TrainLoss=0.2588 (total_proposals=16, oracle_model=0/0, oracle_lp=0/0, metrics=16/16) | TestAcc=0.939 TestLoss=0.2489
