JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.5036 | VFE_final=763.8235 (IL_path=0.7891) | VFE_per_dof=0.3730 Delta_VFE_per_dof=+0.0294 | VFE_pred_term=0.1446 VFE_hidden_term=918.0477 logdet_Pi_y_sum=3.25 logdet_Pi_x_sum=305.49 | lambda_gate=0.000 (raw=0.506) | SG_objective=0.2611 | SG_relMSE=0.9999 SG_cosine=0.013 mean_log_Pi_g=0.298 | PC_activity_obj=694.4194 (per_unit 6.7814e-01) | PI_max_steps=16 | PI_est_total=16.0 PI_est_valid=1 (cap_hit=1 delta_last=1.30e-04 tol=1.00e-04 r=1.000 slope=-4.360e-05) | TrainAcc=0.844 TrainLoss=0.4549 (total_proposals=16, oracle_model=16/16, oracle_lp=16/16, metrics=16/16) | TestAcc=0.871 TestLoss=0.4224
[Step    20] CE_loss=0.5036 | VFE_final=763.8235 (IL_path=0.7891) | VFE_per_dof=0.3730 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1446 VFE_hidden_term=918.0477 logdet_Pi_y_sum=3.25 logdet_Pi_x_sum=305.49 | lambda_gate=0.000 | SG_objective=0.2611 | SG_relMSE=0.9999 SG_cosine=0.013 mean_log_Pi_g=0.298 | PC_activity_obj=694.4194 (per_unit 6.7814e-01) | PI_max_steps=16 | PC_steps=16 (total_proposals=16, oracle_model=16/16, oracle_lp=16/16, metrics=16/16) (total_proposals=16) | test_loss=0.4224 test_acc=0.8712
[Step    40] CE_loss=0.2741 | VFE_final=715.7186 (IL_path=0.7272) | VFE_per_dof=0.3495 Delta_VFE_per_dof=-0.0010 | VFE_pred_term=0.0841 VFE_hidden_term=863.4124 logdet_Pi_y_sum=3.65 logdet_Pi_x_sum=291.91 | lambda_gate=0.000 (raw=0.526) | SG_objective=0.2370 | SG_relMSE=0.9998 SG_cosine=0.052 mean_log_Pi_g=0.285 | PC_activity_obj=681.3317 (per_unit 6.6536e-01) | PI_max_steps=16 | PI_est_total=16.0 PI_est_valid=1 (cap_hit=1 delta_last=1.02e-04 tol=1.00e-04 r=1.000 slope=-3.924e-05) | TrainAcc=0.914 TrainLoss=0.2411 (total_proposals=16, oracle_model=16/16, oracle_lp=16/16, metrics=16/16) | TestAcc=0.909 TestLoss=0.3204
[Step    40] CE_loss=0.2741 | VFE_final=715.7186 (IL_path=0.7272) | VFE_per_dof=0.3495 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0841 VFE_hidden_term=863.4124 logdet_Pi_y_sum=3.65 logdet_Pi_x_sum=291.91 | lambda_gate=0.000 | SG_objective=0.2370 | SG_relMSE=0.9998 SG_cosine=0.052 mean_log_Pi_g=0.285 | PC_activity_obj=681.3317 (per_unit 6.6536e-01) | PI_max_steps=16 | PC_steps=16 (total_proposals=16, oracle_model=16/16, oracle_lp=16/16, metrics=16/16) (total_proposals=16) | test_loss=0.3204 test_acc=0.9090
[Step    60] CE_loss=0.3286 | VFE_final=555.8073 (IL_path=0.5755) | VFE_per_dof=0.2714 Delta_VFE_per_dof=-0.0029 | VFE_pred_term=0.0935 VFE_hidden_term=697.3713 logdet_Pi_y_sum=4.07 logdet_Pi_x_sum=279.24 | lambda_gate=0.000 (raw=0.521) | SG_objective=0.1681 | SG_relMSE=0.9997 SG_cosine=0.042 mean_log_Pi_g=0.273 | PC_activity_obj=573.8655 (per_unit 5.6042e-01) | PI_max_steps=16 | PI_est_total=16.0 PI_est_valid=1 (cap_hit=1 delta_last=1.09e-04 tol=1.00e-04 r=1.000 slope=-4.105e-05) | TrainAcc=0.922 TrainLoss=0.2829 (total_proposals=16, oracle_model=16/16, oracle_lp=16/16, metrics=16/16) | TestAcc=0.908 TestLoss=0.3032
[Step    60] CE_loss=0.3286 | VFE_final=555.8073 (IL_path=0.5755) | VFE_per_dof=0.2714 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0935 VFE_hidden_term=697.3713 logdet_Pi_y_sum=4.07 logdet_Pi_x_sum=279.24 | lambda_gate=0.000 | SG_objective=0.1681 | SG_relMSE=0.9997 SG_cosine=0.042 mean_log_Pi_g=0.273 | PC_activity_obj=573.8655 (per_unit 5.6042e-01) | PI_max_steps=16 | PC_steps=16 (total_proposals=16, oracle_model=16/16, oracle_lp=16/16, metrics=16/16) (total_proposals=16) | test_loss=0.3032 test_acc=0.9082
[Step    80] CE_loss=0.2243 | VFE_final=497.0755 (IL_path=0.0693) | VFE_per_dof=0.2427 Delta_VFE_per_dof=-0.0083 | VFE_pred_term=0.0668 VFE_hidden_term=635.8445 logdet_Pi_y_sum=4.56 logdet_Pi_x_sum=273.11 | lambda_gate=0.000 (raw=0.505) | SG_objective=0.1317 | SG_relMSE=1.0000 SG_cosine=0.011 mean_log_Pi_g=0.267 | PC_activity_obj=535.3617 (per_unit 5.2281e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=9.13e-05 tol=1.00e-04 r=1.000 slope=-5.086e-05) | TrainAcc=0.938 TrainLoss=0.1966 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.931 TestLoss=0.2414
[Step    80] CE_loss=0.2243 | VFE_final=497.0755 (IL_path=0.0693) | VFE_per_dof=0.2427 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0668 VFE_hidden_term=635.8445 logdet_Pi_y_sum=4.56 logdet_Pi_x_sum=273.11 | lambda_gate=0.000 | SG_objective=0.1317 | SG_relMSE=1.0000 SG_cosine=0.011 mean_log_Pi_g=0.267 | PC_activity_obj=535.3617 (per_unit 5.2281e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.2414 test_acc=0.9306
[Step   100] CE_loss=0.2449 | VFE_final=373.6810 (IL_path=0.4150) | VFE_per_dof=0.1825 Delta_VFE_per_dof=-0.0310 | VFE_pred_term=0.0838 VFE_hidden_term=511.2914 logdet_Pi_y_sum=5.08 logdet_Pi_x_sum=270.31 | lambda_gate=0.000 (raw=0.499) | SG_objective=0.0870 | SG_relMSE=1.0000 SG_cosine=-0.003 mean_log_Pi_g=0.264 | PC_activity_obj=437.5885 (per_unit 4.2733e-01) | PI_max_steps=16 | PI_est_total=16.0 PI_est_valid=1 (cap_hit=1 delta_last=1.03e-04 tol=1.00e-04 r=1.000 slope=-4.360e-05) | TrainAcc=0.938 TrainLoss=0.2028 (total_proposals=16, oracle_model=16/16, oracle_lp=16/16, metrics=16/16) | TestAcc=0.931 TestLoss=0.2373
[Step   100] CE_loss=0.2449 | VFE_final=373.6810 (IL_path=0.4150) | VFE_per_dof=0.1825 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0838 VFE_hidden_term=511.2914 logdet_Pi_y_sum=5.08 logdet_Pi_x_sum=270.31 | lambda_gate=0.000 | SG_objective=0.0870 | SG_relMSE=1.0000 SG_cosine=-0.003 mean_log_Pi_g=0.264 | PC_activity_obj=437.5885 (per_unit 4.2733e-01) | PI_max_steps=16 | PC_steps=16 (total_proposals=16, oracle_model=16/16, oracle_lp=16/16, metrics=16/16) (total_proposals=16) | test_loss=0.2373 test_acc=0.9310
[Step   120] CE_loss=0.2676 | VFE_final=427.3971 (IL_path=0.4586) | VFE_per_dof=0.2087 Delta_VFE_per_dof=+0.0086 | VFE_pred_term=0.0847 VFE_hidden_term=566.3493 logdet_Pi_y_sum=5.65 logdet_Pi_x_sum=272.42 | lambda_gate=0.000 (raw=0.524) | SG_objective=0.0903 | SG_relMSE=0.9997 SG_cosine=0.047 mean_log_Pi_g=0.266 | PC_activity_obj=489.7206 (per_unit 4.7824e-01) | PI_max_steps=16 | PI_est_total=16.0 PI_est_valid=1 (cap_hit=1 delta_last=1.05e-04 tol=1.00e-04 r=1.000 slope=-5.377e-05) | TrainAcc=0.945 TrainLoss=0.2314 (total_proposals=16, oracle_model=16/16, oracle_lp=16/16, metrics=16/16) | TestAcc=0.940 TestLoss=0.2068
