JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.6664 | VFE_final=-54.3730 (IL_path=0.0462) | VFE_per_dof=-0.0265 Delta_VFE_per_dof=-0.0023 | VFE_pred_term=0.1923 VFE_hidden_term=113.2223 logdet_Pi_y_sum=3.27 logdet_Pi_x_sum=332.30 | lambda_gate=0.312 (raw=0.312) | SG_objective=0.0189 | SG_relMSE=1.0042 SG_cosine=-0.376 mean_log_Pi_g=0.325 | PC_activity_obj=82.2500 (per_unit 8.0322e-02) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.59e-04 tol=1.00e-04 r=1.000 slope=-4.214e-05) | TrainAcc=0.883 TrainLoss=0.6267 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.839 TestLoss=0.6735
[Step    20] CE_loss=0.6664 | VFE_final=-54.3730 (IL_path=0.0462) | VFE_per_dof=-0.0265 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1923 VFE_hidden_term=113.2223 logdet_Pi_y_sum=3.27 logdet_Pi_x_sum=332.30 | lambda_gate=0.312 | SG_objective=0.0189 | SG_relMSE=1.0042 SG_cosine=-0.376 mean_log_Pi_g=0.325 | PC_activity_obj=82.2500 (per_unit 8.0322e-02) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.6735 test_acc=0.8385
[Step    40] CE_loss=0.4628 | VFE_final=-105.2647 (IL_path=0.0357) | VFE_per_dof=-0.0514 Delta_VFE_per_dof=-0.0094 | VFE_pred_term=0.1406 VFE_hidden_term=86.5577 logdet_Pi_y_sum=3.81 logdet_Pi_x_sum=380.11 | lambda_gate=0.313 (raw=0.313) | SG_objective=0.0185 | SG_relMSE=1.0036 SG_cosine=-0.375 mean_log_Pi_g=0.371 | PC_activity_obj=61.3175 (per_unit 5.9880e-02) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.54e-04 tol=1.00e-04 r=1.000 slope=-5.086e-05) | TrainAcc=0.906 TrainLoss=0.4447 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.903 TestLoss=0.4232
[Step    40] CE_loss=0.4628 | VFE_final=-105.2647 (IL_path=0.0357) | VFE_per_dof=-0.0514 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1406 VFE_hidden_term=86.5577 logdet_Pi_y_sum=3.81 logdet_Pi_x_sum=380.11 | lambda_gate=0.313 | SG_objective=0.0185 | SG_relMSE=1.0036 SG_cosine=-0.375 mean_log_Pi_g=0.371 | PC_activity_obj=61.3175 (per_unit 5.9880e-02) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.4232 test_acc=0.9029
[Step    60] CE_loss=0.4270 | VFE_final=-132.0700 (IL_path=0.0352) | VFE_per_dof=-0.0645 Delta_VFE_per_dof=-0.0053 | VFE_pred_term=0.1330 VFE_hidden_term=83.7970 logdet_Pi_y_sum=4.34 logdet_Pi_x_sum=427.66 | lambda_gate=0.375 (raw=0.375) | SG_objective=0.0159 | SG_relMSE=1.0022 SG_cosine=-0.250 mean_log_Pi_g=0.418 | PC_activity_obj=57.3279 (per_unit 5.5984e-02) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.66e-04 tol=1.00e-04 r=1.000 slope=-4.323e-05) | TrainAcc=0.906 TrainLoss=0.4209 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.923 TestLoss=0.3442
[Step    60] CE_loss=0.4270 | VFE_final=-132.0700 (IL_path=0.0352) | VFE_per_dof=-0.0645 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1330 VFE_hidden_term=83.7970 logdet_Pi_y_sum=4.34 logdet_Pi_x_sum=427.66 | lambda_gate=0.375 | SG_objective=0.0159 | SG_relMSE=1.0022 SG_cosine=-0.250 mean_log_Pi_g=0.418 | PC_activity_obj=57.3279 (per_unit 5.5984e-02) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.3442 test_acc=0.9235
[Step    80] CE_loss=0.2795 | VFE_final=-159.8465 (IL_path=0.0342) | VFE_per_dof=-0.0781 Delta_VFE_per_dof=-0.0009 | VFE_pred_term=0.0844 VFE_hidden_term=80.3893 logdet_Pi_y_sum=4.85 logdet_Pi_x_sum=475.79 | lambda_gate=0.265 (raw=0.265) | SG_objective=0.0099 | SG_relMSE=1.0045 SG_cosine=-0.470 mean_log_Pi_g=0.465 | PC_activity_obj=53.2372 (per_unit 5.1989e-02) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.38e-04 tol=1.00e-04 r=1.000 slope=-4.614e-05) | TrainAcc=0.953 TrainLoss=0.2614 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.930 TestLoss=0.2999
[Step    80] CE_loss=0.2795 | VFE_final=-159.8465 (IL_path=0.0342) | VFE_per_dof=-0.0781 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0844 VFE_hidden_term=80.3893 logdet_Pi_y_sum=4.85 logdet_Pi_x_sum=475.79 | lambda_gate=0.265 | SG_objective=0.0099 | SG_relMSE=1.0045 SG_cosine=-0.470 mean_log_Pi_g=0.465 | PC_activity_obj=53.2372 (per_unit 5.1989e-02) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.2999 test_acc=0.9304
[Step   100] CE_loss=0.2911 | VFE_final=-173.9616 (IL_path=0.0393) | VFE_per_dof=-0.0849 Delta_VFE_per_dof=+0.0024 | VFE_pred_term=0.0988 VFE_hidden_term=90.4973 logdet_Pi_y_sum=5.34 logdet_Pi_x_sum=523.78 | lambda_gate=0.328 (raw=0.328) | SG_objective=0.0094 | SG_relMSE=1.0036 SG_cosine=-0.344 mean_log_Pi_g=0.511 | PC_activity_obj=57.3413 (per_unit 5.5997e-02) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.55e-04 tol=1.00e-04 r=1.000 slope=-4.868e-05) | TrainAcc=0.930 TrainLoss=0.2689 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.932 TestLoss=0.2602
[Step   100] CE_loss=0.2911 | VFE_final=-173.9616 (IL_path=0.0393) | VFE_per_dof=-0.0849 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0988 VFE_hidden_term=90.4973 logdet_Pi_y_sum=5.34 logdet_Pi_x_sum=523.78 | lambda_gate=0.328 | SG_objective=0.0094 | SG_relMSE=1.0036 SG_cosine=-0.344 mean_log_Pi_g=0.511 | PC_activity_obj=57.3413 (per_unit 5.5997e-02) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.2602 test_acc=0.9325
[Step   120] CE_loss=0.2295 | VFE_final=-210.5896 (IL_path=0.0343) | VFE_per_dof=-0.1028 Delta_VFE_per_dof=+0.0007 | VFE_pred_term=0.0724 VFE_hidden_term=77.5055 logdet_Pi_y_sum=5.82 logdet_Pi_x_sum=570.52 | lambda_gate=0.366 (raw=0.366) | SG_objective=0.0097 | SG_relMSE=1.0029 SG_cosine=-0.268 mean_log_Pi_g=0.557 | PC_activity_obj=46.7271 (per_unit 4.5632e-02) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.41e-04 tol=1.00e-04 r=1.000 slope=-6.067e-05) | TrainAcc=0.961 TrainLoss=0.2026 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.940 TestLoss=0.2564
