JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.3961 | VFE_final=800.4221 (IL_path=0.1102) | VFE_per_dof=0.3908 Delta_VFE_per_dof=+0.0144 | VFE_pred_term=0.1172 VFE_hidden_term=957.8570 logdet_Pi_y_sum=3.25 logdet_Pi_x_sum=311.85 | lambda_gate=0.000 (raw=0.499) | SG_objective=0.2082 | SG_relMSE=1.0000 SG_cosine=-0.002 mean_log_Pi_g=0.305 | PC_activity_obj=718.7262 (per_unit 7.0188e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.19e-04 tol=5.00e-04 r=1.000 slope=-4.323e-05) | TrainAcc=0.883 TrainLoss=0.3494 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.847 TestLoss=0.4623
[Step    20] CE_loss=0.3961 | VFE_final=800.4221 (IL_path=0.1102) | VFE_per_dof=0.3908 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1172 VFE_hidden_term=957.8570 logdet_Pi_y_sum=3.25 logdet_Pi_x_sum=311.85 | lambda_gate=0.000 | SG_objective=0.2082 | SG_relMSE=1.0000 SG_cosine=-0.002 mean_log_Pi_g=0.305 | PC_activity_obj=718.7262 (per_unit 7.0188e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.4623 test_acc=0.8470
[Step    40] CE_loss=0.3794 | VFE_final=684.3240 (IL_path=0.0944) | VFE_per_dof=0.3341 Delta_VFE_per_dof=-0.0167 | VFE_pred_term=0.1161 VFE_hidden_term=836.6072 logdet_Pi_y_sum=3.64 logdet_Pi_x_sum=301.15 | lambda_gate=0.000 (raw=0.512) | SG_objective=0.2552 | SG_relMSE=0.9998 SG_cosine=0.023 mean_log_Pi_g=0.294 | PC_activity_obj=654.3979 (per_unit 6.3906e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.19e-04 tol=5.00e-04 r=1.000 slope=-3.306e-05) | TrainAcc=0.891 TrainLoss=0.3207 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.895 TestLoss=0.3461
[Step    40] CE_loss=0.3794 | VFE_final=684.3240 (IL_path=0.0944) | VFE_per_dof=0.3341 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1161 VFE_hidden_term=836.6072 logdet_Pi_y_sum=3.64 logdet_Pi_x_sum=301.15 | lambda_gate=0.000 | SG_objective=0.2552 | SG_relMSE=0.9998 SG_cosine=0.023 mean_log_Pi_g=0.294 | PC_activity_obj=654.3979 (per_unit 6.3906e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.3461 test_acc=0.8948
[Step    60] CE_loss=0.3928 | VFE_final=566.9294 (IL_path=0.0789) | VFE_per_dof=0.2768 Delta_VFE_per_dof=-0.0137 | VFE_pred_term=0.1142 VFE_hidden_term=712.5212 logdet_Pi_y_sum=4.04 logdet_Pi_x_sum=287.38 | lambda_gate=0.000 (raw=0.514) | SG_objective=0.1903 | SG_relMSE=0.9998 SG_cosine=0.028 mean_log_Pi_g=0.281 | PC_activity_obj=579.1146 (per_unit 5.6554e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.21e-04 tol=5.00e-04 r=1.000 slope=-8.011e-05) | TrainAcc=0.898 TrainLoss=0.3530 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.909 TestLoss=0.3051
[Step    60] CE_loss=0.3928 | VFE_final=566.9294 (IL_path=0.0789) | VFE_per_dof=0.2768 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1142 VFE_hidden_term=712.5212 logdet_Pi_y_sum=4.04 logdet_Pi_x_sum=287.38 | lambda_gate=0.000 | SG_objective=0.1903 | SG_relMSE=0.9998 SG_cosine=0.028 mean_log_Pi_g=0.281 | PC_activity_obj=579.1146 (per_unit 5.6554e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.3051 test_acc=0.9092
[Step    80] CE_loss=0.2255 | VFE_final=467.7495 (IL_path=0.0666) | VFE_per_dof=0.2284 Delta_VFE_per_dof=+0.0088 | VFE_pred_term=0.0633 VFE_hidden_term=609.9503 logdet_Pi_y_sum=4.50 logdet_Pi_x_sum=280.03 | lambda_gate=0.000 (raw=0.496) | SG_objective=0.1312 | SG_relMSE=1.0000 SG_cosine=-0.008 mean_log_Pi_g=0.273 | PC_activity_obj=511.2871 (per_unit 4.9930e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=9.05e-05 tol=5.00e-04 r=1.000 slope=-3.942e-05) | TrainAcc=0.953 TrainLoss=0.1932 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.930 TestLoss=0.2364
[Step    80] CE_loss=0.2255 | VFE_final=467.7495 (IL_path=0.0666) | VFE_per_dof=0.2284 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0633 VFE_hidden_term=609.9503 logdet_Pi_y_sum=4.50 logdet_Pi_x_sum=280.03 | lambda_gate=0.000 | SG_objective=0.1312 | SG_relMSE=1.0000 SG_cosine=-0.008 mean_log_Pi_g=0.273 | PC_activity_obj=511.2871 (per_unit 4.9930e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2364 test_acc=0.9300
[Step   100] CE_loss=0.2155 | VFE_final=489.2015 (IL_path=0.0685) | VFE_per_dof=0.2389 Delta_VFE_per_dof=+0.0112 | VFE_pred_term=0.0715 VFE_hidden_term=630.0909 logdet_Pi_y_sum=5.01 logdet_Pi_x_sum=276.91 | lambda_gate=0.000 (raw=0.498) | SG_objective=0.1236 | SG_relMSE=1.0000 SG_cosine=-0.003 mean_log_Pi_g=0.270 | PC_activity_obj=535.0594 (per_unit 5.2252e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=9.72e-05 tol=5.00e-04 r=1.000 slope=-4.069e-05) | TrainAcc=0.961 TrainLoss=0.1819 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.936 TestLoss=0.2116
[Step   100] CE_loss=0.2155 | VFE_final=489.2015 (IL_path=0.0685) | VFE_per_dof=0.2389 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0715 VFE_hidden_term=630.0909 logdet_Pi_y_sum=5.01 logdet_Pi_x_sum=276.91 | lambda_gate=0.000 | SG_objective=0.1236 | SG_relMSE=1.0000 SG_cosine=-0.003 mean_log_Pi_g=0.270 | PC_activity_obj=535.0594 (per_unit 5.2252e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2116 test_acc=0.9362
[Step   120] CE_loss=0.1675 | VFE_final=500.1926 (IL_path=0.0691) | VFE_per_dof=0.2442 Delta_VFE_per_dof=+0.0029 | VFE_pred_term=0.0513 VFE_hidden_term=637.7114 logdet_Pi_y_sum=5.52 logdet_Pi_x_sum=269.62 | lambda_gate=0.000 (raw=0.508) | SG_objective=0.1210 | SG_relMSE=0.9999 SG_cosine=0.016 mean_log_Pi_g=0.263 | PC_activity_obj=546.6996 (per_unit 5.3389e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=8.61e-05 tol=5.00e-04 r=1.000 slope=-3.306e-05) | TrainAcc=0.969 TrainLoss=0.1323 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.936 TestLoss=0.2155
