JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.3944 | VFE_final=801.4398 (IL_path=0.0791) | VFE_per_dof=0.3913 Delta_VFE_per_dof=+0.0145 | VFE_pred_term=0.1156 VFE_hidden_term=957.2390 logdet_Pi_y_sum=3.25 logdet_Pi_x_sum=308.58 | lambda_gate=0.000 (raw=0.510) | SG_objective=0.2602 | SG_relMSE=0.9999 SG_cosine=0.020 mean_log_Pi_g=0.301 | PC_activity_obj=722.1919 (per_unit 7.0527e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=8.50e-05 tol=2.00e-04 r=1.000 slope=-2.543e-05) | TrainAcc=0.875 TrainLoss=0.3468 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.848 TestLoss=0.4604
[Step    20] CE_loss=0.3944 | VFE_final=801.4398 (IL_path=0.0791) | VFE_per_dof=0.3913 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1156 VFE_hidden_term=957.2390 logdet_Pi_y_sum=3.25 logdet_Pi_x_sum=308.58 | lambda_gate=0.000 | SG_objective=0.2602 | SG_relMSE=0.9999 SG_cosine=0.020 mean_log_Pi_g=0.301 | PC_activity_obj=722.1919 (per_unit 7.0527e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.4604 test_acc=0.8477
[Step    40] CE_loss=0.3779 | VFE_final=685.7859 (IL_path=0.0676) | VFE_per_dof=0.3349 Delta_VFE_per_dof=-0.0163 | VFE_pred_term=0.1161 VFE_hidden_term=835.5053 logdet_Pi_y_sum=3.64 logdet_Pi_x_sum=296.03 | lambda_gate=0.000 (raw=0.520) | SG_objective=0.2124 | SG_relMSE=0.9996 SG_cosine=0.040 mean_log_Pi_g=0.289 | PC_activity_obj=658.0670 (per_unit 6.4264e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=8.56e-05 tol=2.00e-04 r=1.000 slope=-2.797e-05) | TrainAcc=0.891 TrainLoss=0.3210 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.894 TestLoss=0.3461
[Step    40] CE_loss=0.3779 | VFE_final=685.7859 (IL_path=0.0676) | VFE_per_dof=0.3349 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1161 VFE_hidden_term=835.5053 logdet_Pi_y_sum=3.64 logdet_Pi_x_sum=296.03 | lambda_gate=0.000 | SG_objective=0.2124 | SG_relMSE=0.9996 SG_cosine=0.040 mean_log_Pi_g=0.289 | PC_activity_obj=658.0670 (per_unit 6.4264e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.3461 test_acc=0.8944
[Step    60] CE_loss=0.3896 | VFE_final=568.4175 (IL_path=0.0565) | VFE_per_dof=0.2775 Delta_VFE_per_dof=-0.0132 | VFE_pred_term=0.1129 VFE_hidden_term=711.4177 logdet_Pi_y_sum=4.04 logdet_Pi_x_sum=282.19 | lambda_gate=0.000 (raw=0.519) | SG_objective=0.1864 | SG_relMSE=0.9998 SG_cosine=0.037 mean_log_Pi_g=0.276 | PC_activity_obj=582.5795 (per_unit 5.6893e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=8.64e-05 tol=2.00e-04 r=1.000 slope=-2.543e-05) | TrainAcc=0.906 TrainLoss=0.3514 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.910 TestLoss=0.3027
[Step    60] CE_loss=0.3896 | VFE_final=568.4175 (IL_path=0.0565) | VFE_per_dof=0.2775 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1129 VFE_hidden_term=711.4177 logdet_Pi_y_sum=4.04 logdet_Pi_x_sum=282.19 | lambda_gate=0.000 | SG_objective=0.1864 | SG_relMSE=0.9998 SG_cosine=0.037 mean_log_Pi_g=0.276 | PC_activity_obj=582.5795 (per_unit 5.6893e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.3027 test_acc=0.9103
[Step    80] CE_loss=0.2288 | VFE_final=474.3261 (IL_path=0.0481) | VFE_per_dof=0.2316 Delta_VFE_per_dof=+0.0091 | VFE_pred_term=0.0654 VFE_hidden_term=614.0554 logdet_Pi_y_sum=4.51 logdet_Pi_x_sum=275.08 | lambda_gate=0.000 (raw=0.500) | SG_objective=0.1187 | SG_relMSE=1.0000 SG_cosine=-0.001 mean_log_Pi_g=0.269 | PC_activity_obj=518.1079 (per_unit 5.0596e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=6.62e-05 tol=2.00e-04 r=1.000 slope=-2.162e-05) | TrainAcc=0.953 TrainLoss=0.1968 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.930 TestLoss=0.2385
[Step    80] CE_loss=0.2288 | VFE_final=474.3261 (IL_path=0.0481) | VFE_per_dof=0.2316 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0654 VFE_hidden_term=614.0554 logdet_Pi_y_sum=4.51 logdet_Pi_x_sum=275.08 | lambda_gate=0.000 | SG_objective=0.1187 | SG_relMSE=1.0000 SG_cosine=-0.001 mean_log_Pi_g=0.269 | PC_activity_obj=518.1079 (per_unit 5.0596e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2385 test_acc=0.9298
[Step   100] CE_loss=0.2110 | VFE_final=490.0416 (IL_path=0.0490) | VFE_per_dof=0.2393 Delta_VFE_per_dof=+0.0117 | VFE_pred_term=0.0708 VFE_hidden_term=628.5004 logdet_Pi_y_sum=5.03 logdet_Pi_x_sum=272.03 | lambda_gate=0.000 (raw=0.501) | SG_objective=0.1213 | SG_relMSE=1.0000 SG_cosine=0.002 mean_log_Pi_g=0.266 | PC_activity_obj=536.9543 (per_unit 5.2437e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=6.95e-05 tol=2.00e-04 r=1.000 slope=-1.907e-05) | TrainAcc=0.953 TrainLoss=0.1794 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.935 TestLoss=0.2118
[Step   100] CE_loss=0.2110 | VFE_final=490.0416 (IL_path=0.0490) | VFE_per_dof=0.2393 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0708 VFE_hidden_term=628.5004 logdet_Pi_y_sum=5.03 logdet_Pi_x_sum=272.03 | lambda_gate=0.000 | SG_objective=0.1213 | SG_relMSE=1.0000 SG_cosine=0.002 mean_log_Pi_g=0.266 | PC_activity_obj=536.9543 (per_unit 5.2437e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.2118 test_acc=0.9354
[Step   120] CE_loss=0.1627 | VFE_final=498.7802 (IL_path=0.0493) | VFE_per_dof=0.2435 Delta_VFE_per_dof=+0.0027 | VFE_pred_term=0.0501 VFE_hidden_term=633.6949 logdet_Pi_y_sum=5.54 logdet_Pi_x_sum=264.39 | lambda_gate=0.000 (raw=0.506) | SG_objective=0.1193 | SG_relMSE=0.9999 SG_cosine=0.013 mean_log_Pi_g=0.258 | PC_activity_obj=546.0228 (per_unit 5.3323e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=6.11e-05 tol=2.00e-04 r=1.000 slope=-3.815e-05) | TrainAcc=0.969 TrainLoss=0.1285 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.936 TestLoss=0.2146
