JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.5728 | VFE_final=-55.9287 (IL_path=0.0131) | VFE_per_dof=-0.0273 Delta_VFE_per_dof=-0.0034 | VFE_pred_term=0.1628 VFE_hidden_term=112.0124 logdet_Pi_y_sum=3.27 logdet_Pi_x_sum=332.93 | lambda_gate=0.319 (raw=0.319) | SG_objective=0.0191 | SG_relMSE=1.0035 SG_cosine=-0.362 mean_log_Pi_g=0.325 | PC_activity_obj=81.2108 (per_unit 7.9307e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.49e-04 tol=5.00e-04 r=1.000 slope=-4.832e-05) | TrainAcc=0.906 TrainLoss=0.5358 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.853 TestLoss=0.5860
[Step    20] CE_loss=0.5728 | VFE_final=-55.9287 (IL_path=0.0131) | VFE_per_dof=-0.0273 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1628 VFE_hidden_term=112.0124 logdet_Pi_y_sum=3.27 logdet_Pi_x_sum=332.93 | lambda_gate=0.319 | SG_objective=0.0191 | SG_relMSE=1.0035 SG_cosine=-0.362 mean_log_Pi_g=0.325 | PC_activity_obj=81.2108 (per_unit 7.9307e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.5860 test_acc=0.8525
[Step    40] CE_loss=0.4357 | VFE_final=-112.3583 (IL_path=0.0096) | VFE_per_dof=-0.0549 Delta_VFE_per_dof=-0.0095 | VFE_pred_term=0.1307 VFE_hidden_term=81.1141 logdet_Pi_y_sum=3.82 logdet_Pi_x_sum=383.38 | lambda_gate=0.318 (raw=0.318) | SG_objective=0.0109 | SG_relMSE=1.0045 SG_cosine=-0.363 mean_log_Pi_g=0.374 | PC_activity_obj=56.5486 (per_unit 5.5223e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.55e-04 tol=5.00e-04 r=1.000 slope=-4.832e-05) | TrainAcc=0.930 TrainLoss=0.4212 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.908 TestLoss=0.3903
[Step    40] CE_loss=0.4357 | VFE_final=-112.3583 (IL_path=0.0096) | VFE_per_dof=-0.0549 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1307 VFE_hidden_term=81.1141 logdet_Pi_y_sum=3.82 logdet_Pi_x_sum=383.38 | lambda_gate=0.318 | SG_objective=0.0109 | SG_relMSE=1.0045 SG_cosine=-0.363 mean_log_Pi_g=0.374 | PC_activity_obj=56.5486 (per_unit 5.5223e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.3903 test_acc=0.9078
[Step    60] CE_loss=0.3995 | VFE_final=-146.1399 (IL_path=0.0089) | VFE_per_dof=-0.0714 Delta_VFE_per_dof=-0.0043 | VFE_pred_term=0.1198 VFE_hidden_term=73.0706 logdet_Pi_y_sum=4.35 logdet_Pi_x_sum=434.31 | lambda_gate=0.350 (raw=0.350) | SG_objective=0.0121 | SG_relMSE=1.0028 SG_cosine=-0.299 mean_log_Pi_g=0.424 | PC_activity_obj=48.5233 (per_unit 4.7386e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.66e-04 tol=5.00e-04 r=1.000 slope=-3.942e-05) | TrainAcc=0.914 TrainLoss=0.3891 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.931 TestLoss=0.3340
[Step    60] CE_loss=0.3995 | VFE_final=-146.1399 (IL_path=0.0089) | VFE_per_dof=-0.0714 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1198 VFE_hidden_term=73.0706 logdet_Pi_y_sum=4.35 logdet_Pi_x_sum=434.31 | lambda_gate=0.350 | SG_objective=0.0121 | SG_relMSE=1.0028 SG_cosine=-0.299 mean_log_Pi_g=0.424 | PC_activity_obj=48.5233 (per_unit 4.7386e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.3340 test_acc=0.9308
[Step    80] CE_loss=0.2593 | VFE_final=-167.1243 (IL_path=0.0096) | VFE_per_dof=-0.0816 Delta_VFE_per_dof=-0.0010 | VFE_pred_term=0.0718 VFE_hidden_term=77.7061 logdet_Pi_y_sum=4.85 logdet_Pi_x_sum=484.95 | lambda_gate=0.272 (raw=0.272) | SG_objective=0.0092 | SG_relMSE=1.0046 SG_cosine=-0.457 mean_log_Pi_g=0.474 | PC_activity_obj=49.2509 (per_unit 4.8097e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.35e-04 tol=5.00e-04 r=1.000 slope=-4.832e-05) | TrainAcc=0.977 TrainLoss=0.2343 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.938 TestLoss=0.2737
[Step    80] CE_loss=0.2593 | VFE_final=-167.1243 (IL_path=0.0096) | VFE_per_dof=-0.0816 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0718 VFE_hidden_term=77.7061 logdet_Pi_y_sum=4.85 logdet_Pi_x_sum=484.95 | lambda_gate=0.272 | SG_objective=0.0092 | SG_relMSE=1.0046 SG_cosine=-0.457 mean_log_Pi_g=0.474 | PC_activity_obj=49.2509 (per_unit 4.8097e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2737 test_acc=0.9377
[Step   100] CE_loss=0.2789 | VFE_final=-187.4496 (IL_path=0.0104) | VFE_per_dof=-0.0915 Delta_VFE_per_dof=+0.0009 | VFE_pred_term=0.0913 VFE_hidden_term=82.3210 logdet_Pi_y_sum=5.34 logdet_Pi_x_sum=534.38 | lambda_gate=0.315 (raw=0.315) | SG_objective=0.0102 | SG_relMSE=1.0035 SG_cosine=-0.369 mean_log_Pi_g=0.522 | PC_activity_obj=49.6955 (per_unit 4.8531e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.60e-04 tol=5.00e-04 r=1.000 slope=-4.705e-05) | TrainAcc=0.930 TrainLoss=0.2542 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.940 TestLoss=0.2392
[Step   100] CE_loss=0.2789 | VFE_final=-187.4496 (IL_path=0.0104) | VFE_per_dof=-0.0915 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0913 VFE_hidden_term=82.3210 logdet_Pi_y_sum=5.34 logdet_Pi_x_sum=534.38 | lambda_gate=0.315 | SG_objective=0.0102 | SG_relMSE=1.0035 SG_cosine=-0.369 mean_log_Pi_g=0.522 | PC_activity_obj=49.6955 (per_unit 4.8531e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.2392 test_acc=0.9396
[Step   120] CE_loss=0.2063 | VFE_final=-220.9904 (IL_path=0.0094) | VFE_per_dof=-0.1079 Delta_VFE_per_dof=+0.0015 | VFE_pred_term=0.0633 VFE_hidden_term=73.0944 logdet_Pi_y_sum=5.81 logdet_Pi_x_sum=582.48 | lambda_gate=0.337 (raw=0.337) | SG_objective=0.0090 | SG_relMSE=1.0034 SG_cosine=-0.326 mean_log_Pi_g=0.569 | PC_activity_obj=41.9584 (per_unit 4.0975e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.42e-04 tol=5.00e-04 r=1.000 slope=-4.578e-05) | TrainAcc=0.969 TrainLoss=0.1801 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.945 TestLoss=0.2471
