JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.5684 | VFE_final=-54.0526 (IL_path=0.2887) | VFE_per_dof=-0.0264 Delta_VFE_per_dof=-0.0030 | VFE_pred_term=0.1619 VFE_hidden_term=113.9099 logdet_Pi_y_sum=3.27 logdet_Pi_x_sum=332.97 | lambda_gate=0.318 (raw=0.318) | SG_objective=0.0191 | SG_relMSE=1.0035 SG_cosine=-0.364 mean_log_Pi_g=0.325 | PC_activity_obj=82.5733 (per_unit 8.0638e-02) | PI_max_steps=32 | PI_est_total=32.0 PI_est_valid=1 (cap_hit=1 delta_last=2.07e-04 tol=1.00e-04 r=1.000 slope=-6.467e-05) | TrainAcc=0.906 TrainLoss=0.5314 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) | TestAcc=0.852 TestLoss=0.5820
[Step    20] CE_loss=0.5684 | VFE_final=-54.0526 (IL_path=0.2887) | VFE_per_dof=-0.0264 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1619 VFE_hidden_term=113.9099 logdet_Pi_y_sum=3.27 logdet_Pi_x_sum=332.97 | lambda_gate=0.318 | SG_objective=0.0191 | SG_relMSE=1.0035 SG_cosine=-0.364 mean_log_Pi_g=0.325 | PC_activity_obj=82.5733 (per_unit 8.0638e-02) | PI_max_steps=32 | PC_steps=32 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) (total_proposals=32) | test_loss=0.5820 test_acc=0.8520
[Step    40] CE_loss=0.4394 | VFE_final=-112.2656 (IL_path=0.2096) | VFE_per_dof=-0.0548 Delta_VFE_per_dof=-0.0093 | VFE_pred_term=0.1323 VFE_hidden_term=81.2430 logdet_Pi_y_sum=3.82 logdet_Pi_x_sum=383.46 | lambda_gate=0.322 (raw=0.322) | SG_objective=0.0109 | SG_relMSE=1.0044 SG_cosine=-0.355 mean_log_Pi_g=0.374 | PC_activity_obj=56.6240 (per_unit 5.5297e-02) | PI_max_steps=32 | PI_est_total=32.0 PI_est_valid=1 (cap_hit=1 delta_last=2.18e-04 tol=1.00e-04 r=1.000 slope=-6.648e-05) | TrainAcc=0.914 TrainLoss=0.4248 (total_proposals=32, oracle_model=32/32, oracle_lp=32/32, metrics=32/32) | TestAcc=0.907 TestLoss=0.3903
[Step    40] CE_loss=0.4394 | VFE_final=-112.2656 (IL_path=0.2096) | VFE_per_dof=-0.0548 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1323 VFE_hidden_term=81.2430 logdet_Pi_y_sum=3.82 logdet_Pi_x_sum=383.46 | lambda_gate=0.322 | SG_objective=0.0109 | SG_relMSE=1.0044 SG_cosine=-0.355 mean_log_Pi_g=0.374 | PC_activity_obj=56.6240 (per_unit 5.5297e-02) | PI_max_steps=32 | PC_steps=32 (total_proposals=32, oracle_model=32/32, oracle_lp=32/32, metrics=32/32) (total_proposals=32) | test_loss=0.3903 test_acc=0.9073
[Step    60] CE_loss=0.3936 | VFE_final=-145.7313 (IL_path=0.1938) | VFE_per_dof=-0.0712 Delta_VFE_per_dof=-0.0039 | VFE_pred_term=0.1178 VFE_hidden_term=73.5334 logdet_Pi_y_sum=4.35 logdet_Pi_x_sum=434.41 | lambda_gate=0.345 (raw=0.345) | SG_objective=0.0119 | SG_relMSE=1.0029 SG_cosine=-0.310 mean_log_Pi_g=0.424 | PC_activity_obj=48.8266 (per_unit 4.7682e-02) | PI_max_steps=32 | PI_est_total=32.0 PI_est_valid=1 (cap_hit=1 delta_last=2.29e-04 tol=1.00e-04 r=1.000 slope=-6.685e-05) | TrainAcc=0.914 TrainLoss=0.3820 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) | TestAcc=0.932 TestLoss=0.3327
[Step    60] CE_loss=0.3936 | VFE_final=-145.7313 (IL_path=0.1938) | VFE_per_dof=-0.0712 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1178 VFE_hidden_term=73.5334 logdet_Pi_y_sum=4.35 logdet_Pi_x_sum=434.41 | lambda_gate=0.345 | SG_objective=0.0119 | SG_relMSE=1.0029 SG_cosine=-0.310 mean_log_Pi_g=0.424 | PC_activity_obj=48.8266 (per_unit 4.7682e-02) | PI_max_steps=32 | PC_steps=32 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) (total_proposals=32) | test_loss=0.3327 test_acc=0.9319
[Step    80] CE_loss=0.2630 | VFE_final=-167.1251 (IL_path=0.2090) | VFE_per_dof=-0.0816 Delta_VFE_per_dof=-0.0011 | VFE_pred_term=0.0737 VFE_hidden_term=77.7491 logdet_Pi_y_sum=4.85 logdet_Pi_x_sum=485.04 | lambda_gate=0.281 (raw=0.281) | SG_objective=0.0091 | SG_relMSE=1.0045 SG_cosine=-0.437 mean_log_Pi_g=0.474 | PC_activity_obj=49.2654 (per_unit 4.8111e-02) | PI_max_steps=32 | PI_est_total=32.0 PI_est_valid=1 (cap_hit=1 delta_last=1.91e-04 tol=1.00e-04 r=1.000 slope=-7.448e-05) | TrainAcc=0.969 TrainLoss=0.2385 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) | TestAcc=0.939 TestLoss=0.2728
[Step    80] CE_loss=0.2630 | VFE_final=-167.1251 (IL_path=0.2090) | VFE_per_dof=-0.0816 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0737 VFE_hidden_term=77.7491 logdet_Pi_y_sum=4.85 logdet_Pi_x_sum=485.04 | lambda_gate=0.281 | SG_objective=0.0091 | SG_relMSE=1.0045 SG_cosine=-0.437 mean_log_Pi_g=0.474 | PC_activity_obj=49.2654 (per_unit 4.8111e-02) | PI_max_steps=32 | PC_steps=32 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) (total_proposals=32) | test_loss=0.2728 test_acc=0.9385
[Step   100] CE_loss=0.2792 | VFE_final=-188.9245 (IL_path=0.2219) | VFE_per_dof=-0.0922 Delta_VFE_per_dof=+0.0009 | VFE_pred_term=0.0893 VFE_hidden_term=80.8900 logdet_Pi_y_sum=5.34 logdet_Pi_x_sum=534.47 | lambda_gate=0.303 (raw=0.303) | SG_objective=0.0099 | SG_relMSE=1.0038 SG_cosine=-0.393 mean_log_Pi_g=0.522 | PC_activity_obj=48.7990 (per_unit 4.7655e-02) | PI_max_steps=32 | PI_est_total=32.0 PI_est_valid=1 (cap_hit=1 delta_last=2.22e-04 tol=1.00e-04 r=1.000 slope=-6.830e-05) | TrainAcc=0.930 TrainLoss=0.2520 (total_proposals=32, oracle_model=32/32, oracle_lp=32/32, metrics=32/32) | TestAcc=0.940 TestLoss=0.2419
[Step   100] CE_loss=0.2792 | VFE_final=-188.9245 (IL_path=0.2219) | VFE_per_dof=-0.0922 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0893 VFE_hidden_term=80.8900 logdet_Pi_y_sum=5.34 logdet_Pi_x_sum=534.47 | lambda_gate=0.303 | SG_objective=0.0099 | SG_relMSE=1.0038 SG_cosine=-0.393 mean_log_Pi_g=0.522 | PC_activity_obj=48.7990 (per_unit 4.7655e-02) | PI_max_steps=32 | PC_steps=32 (total_proposals=32, oracle_model=32/32, oracle_lp=32/32, metrics=32/32) (total_proposals=32) | test_loss=0.2419 test_acc=0.9398
[Step   120] CE_loss=0.2071 | VFE_final=-220.7610 (IL_path=0.2051) | VFE_per_dof=-0.1078 Delta_VFE_per_dof=+0.0017 | VFE_pred_term=0.0620 VFE_hidden_term=73.3857 logdet_Pi_y_sum=5.81 logdet_Pi_x_sum=582.60 | lambda_gate=0.333 (raw=0.333) | SG_objective=0.0087 | SG_relMSE=1.0035 SG_cosine=-0.335 mean_log_Pi_g=0.569 | PC_activity_obj=42.1389 (per_unit 4.1151e-02) | PI_max_steps=32 | PI_est_total=32.0 PI_est_valid=1 (cap_hit=1 delta_last=1.97e-04 tol=1.00e-04 r=1.000 slope=-6.866e-05) | TrainAcc=0.977 TrainLoss=0.1791 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) | TestAcc=0.945 TestLoss=0.2457
