JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.4995 | VFE_final=768.0329 (IL_path=0.1487) | VFE_per_dof=0.3750 Delta_VFE_per_dof=+0.0300 | VFE_pred_term=0.1433 VFE_hidden_term=924.0931 logdet_Pi_y_sum=3.25 logdet_Pi_x_sum=309.16 | lambda_gate=0.000 (raw=0.506) | SG_objective=0.2275 | SG_relMSE=0.9999 SG_cosine=0.012 mean_log_Pi_g=0.302 | PC_activity_obj=695.0811 (per_unit 6.7879e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.82e-04 tol=2.00e-04 r=1.000 slope=-6.612e-05) | TrainAcc=0.844 TrainLoss=0.4510 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.871 TestLoss=0.4217
[Step    20] CE_loss=0.4995 | VFE_final=768.0329 (IL_path=0.1487) | VFE_per_dof=0.3750 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1433 VFE_hidden_term=924.0931 logdet_Pi_y_sum=3.25 logdet_Pi_x_sum=309.16 | lambda_gate=0.000 | SG_objective=0.2275 | SG_relMSE=0.9999 SG_cosine=0.012 mean_log_Pi_g=0.302 | PC_activity_obj=695.0811 (per_unit 6.7879e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.4217 test_acc=0.8714
[Step    40] CE_loss=0.2724 | VFE_final=720.6832 (IL_path=0.1374) | VFE_per_dof=0.3519 Delta_VFE_per_dof=-0.0011 | VFE_pred_term=0.0839 VFE_hidden_term=870.7486 logdet_Pi_y_sum=3.65 logdet_Pi_x_sum=296.65 | lambda_gate=0.000 (raw=0.526) | SG_objective=0.2412 | SG_relMSE=0.9998 SG_cosine=0.052 mean_log_Pi_g=0.290 | PC_activity_obj=682.3828 (per_unit 6.6639e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.42e-04 tol=2.00e-04 r=1.000 slope=-6.104e-05) | TrainAcc=0.906 TrainLoss=0.2387 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.908 TestLoss=0.3206
[Step    40] CE_loss=0.2724 | VFE_final=720.6832 (IL_path=0.1374) | VFE_per_dof=0.3519 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0839 VFE_hidden_term=870.7486 logdet_Pi_y_sum=3.65 logdet_Pi_x_sum=296.65 | lambda_gate=0.000 | SG_objective=0.2412 | SG_relMSE=0.9998 SG_cosine=0.052 mean_log_Pi_g=0.290 | PC_activity_obj=682.3828 (per_unit 6.6639e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.3206 test_acc=0.9081
[Step    60] CE_loss=0.3283 | VFE_final=565.4502 (IL_path=0.1097) | VFE_per_dof=0.2761 Delta_VFE_per_dof=-0.0029 | VFE_pred_term=0.0930 VFE_hidden_term=709.1221 logdet_Pi_y_sum=4.06 logdet_Pi_x_sum=283.47 | lambda_gate=0.000 (raw=0.524) | SG_objective=0.1707 | SG_relMSE=0.9997 SG_cosine=0.048 mean_log_Pi_g=0.277 | PC_activity_obj=578.9490 (per_unit 5.6538e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.52e-04 tol=2.00e-04 r=1.000 slope=-6.612e-05) | TrainAcc=0.922 TrainLoss=0.2798 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.910 TestLoss=0.3006
[Step    60] CE_loss=0.3283 | VFE_final=565.4502 (IL_path=0.1097) | VFE_per_dof=0.2761 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0930 VFE_hidden_term=709.1221 logdet_Pi_y_sum=4.06 logdet_Pi_x_sum=283.47 | lambda_gate=0.000 | SG_objective=0.1707 | SG_relMSE=0.9997 SG_cosine=0.048 mean_log_Pi_g=0.277 | PC_activity_obj=578.9490 (per_unit 5.6538e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.3006 test_acc=0.9096
[Step    80] CE_loss=0.2279 | VFE_final=500.9032 (IL_path=0.0981) | VFE_per_dof=0.2446 Delta_VFE_per_dof=-0.0085 | VFE_pred_term=0.0666 VFE_hidden_term=641.4988 logdet_Pi_y_sum=4.54 logdet_Pi_x_sum=276.78 | lambda_gate=0.000 (raw=0.507) | SG_objective=0.1319 | SG_relMSE=1.0000 SG_cosine=0.013 mean_log_Pi_g=0.270 | PC_activity_obj=537.3824 (per_unit 5.2479e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.28e-04 tol=2.00e-04 r=1.000 slope=-3.560e-05) | TrainAcc=0.945 TrainLoss=0.2006 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.930 TestLoss=0.2420
[Step    80] CE_loss=0.2279 | VFE_final=500.9032 (IL_path=0.0981) | VFE_per_dof=0.2446 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0666 VFE_hidden_term=641.4988 logdet_Pi_y_sum=4.54 logdet_Pi_x_sum=276.78 | lambda_gate=0.000 | SG_objective=0.1319 | SG_relMSE=1.0000 SG_cosine=0.013 mean_log_Pi_g=0.270 | PC_activity_obj=537.3824 (per_unit 5.2479e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2420 test_acc=0.9297
[Step   100] CE_loss=0.2483 | VFE_final=378.8445 (IL_path=0.0786) | VFE_per_dof=0.1850 Delta_VFE_per_dof=-0.0311 | VFE_pred_term=0.0847 VFE_hidden_term=517.5000 logdet_Pi_y_sum=5.06 logdet_Pi_x_sum=272.42 | lambda_gate=0.000 (raw=0.500) | SG_objective=0.0893 | SG_relMSE=1.0000 SG_cosine=-0.000 mean_log_Pi_g=0.266 | PC_activity_obj=441.0634 (per_unit 4.3073e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.44e-04 tol=2.00e-04 r=1.000 slope=-5.976e-05) | TrainAcc=0.938 TrainLoss=0.2056 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.931 TestLoss=0.2387
[Step   100] CE_loss=0.2483 | VFE_final=378.8445 (IL_path=0.0786) | VFE_per_dof=0.1850 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0847 VFE_hidden_term=517.5000 logdet_Pi_y_sum=5.06 logdet_Pi_x_sum=272.42 | lambda_gate=0.000 | SG_objective=0.0893 | SG_relMSE=1.0000 SG_cosine=-0.000 mean_log_Pi_g=0.266 | PC_activity_obj=441.0634 (per_unit 4.3073e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.2387 test_acc=0.9307
[Step   120] CE_loss=0.2624 | VFE_final=427.2649 (IL_path=0.0857) | VFE_per_dof=0.2086 Delta_VFE_per_dof=+0.0076 | VFE_pred_term=0.0828 VFE_hidden_term=567.1316 logdet_Pi_y_sum=5.62 logdet_Pi_x_sum=274.28 | lambda_gate=0.000 (raw=0.525) | SG_objective=0.1016 | SG_relMSE=0.9997 SG_cosine=0.050 mean_log_Pi_g=0.268 | PC_activity_obj=490.7440 (per_unit 4.7924e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.46e-04 tol=2.00e-04 r=1.000 slope=-5.086e-05) | TrainAcc=0.945 TrainLoss=0.2275 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.939 TestLoss=0.2087
