JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.3955 | VFE_final=797.6010 (IL_path=0.1094) | VFE_per_dof=0.3895 Delta_VFE_per_dof=+0.0145 | VFE_pred_term=0.1168 VFE_hidden_term=953.4069 logdet_Pi_y_sum=3.25 logdet_Pi_x_sum=308.60 | lambda_gate=0.000 (raw=0.509) | SG_objective=0.2590 | SG_relMSE=0.9999 SG_cosine=0.019 mean_log_Pi_g=0.301 | PC_activity_obj=719.3541 (per_unit 7.0249e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.19e-04 tol=5.00e-04 r=1.000 slope=-4.323e-05) | TrainAcc=0.875 TrainLoss=0.3488 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.847 TestLoss=0.4621
[Step    20] CE_loss=0.3955 | VFE_final=797.6010 (IL_path=0.1094) | VFE_per_dof=0.3895 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1168 VFE_hidden_term=953.4069 logdet_Pi_y_sum=3.25 logdet_Pi_x_sum=308.60 | lambda_gate=0.000 | SG_objective=0.2590 | SG_relMSE=0.9999 SG_cosine=0.019 mean_log_Pi_g=0.301 | PC_activity_obj=719.3541 (per_unit 7.0249e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.4621 test_acc=0.8468
[Step    40] CE_loss=0.3784 | VFE_final=679.8501 (IL_path=0.0932) | VFE_per_dof=0.3320 Delta_VFE_per_dof=-0.0168 | VFE_pred_term=0.1165 VFE_hidden_term=829.7029 logdet_Pi_y_sum=3.64 logdet_Pi_x_sum=296.30 | lambda_gate=0.000 (raw=0.520) | SG_objective=0.2110 | SG_relMSE=0.9997 SG_cosine=0.040 mean_log_Pi_g=0.289 | PC_activity_obj=653.6926 (per_unit 6.3837e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.19e-04 tol=5.00e-04 r=1.000 slope=-3.942e-05) | TrainAcc=0.891 TrainLoss=0.3213 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.894 TestLoss=0.3474
[Step    40] CE_loss=0.3784 | VFE_final=679.8501 (IL_path=0.0932) | VFE_per_dof=0.3320 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1165 VFE_hidden_term=829.7029 logdet_Pi_y_sum=3.64 logdet_Pi_x_sum=296.30 | lambda_gate=0.000 | SG_objective=0.2110 | SG_relMSE=0.9997 SG_cosine=0.040 mean_log_Pi_g=0.289 | PC_activity_obj=653.6926 (per_unit 6.3837e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.3474 test_acc=0.8945
[Step    60] CE_loss=0.3894 | VFE_final=565.2045 (IL_path=0.0782) | VFE_per_dof=0.2760 Delta_VFE_per_dof=-0.0137 | VFE_pred_term=0.1128 VFE_hidden_term=708.5647 logdet_Pi_y_sum=4.04 logdet_Pi_x_sum=282.91 | lambda_gate=0.000 (raw=0.519) | SG_objective=0.1859 | SG_relMSE=0.9997 SG_cosine=0.039 mean_log_Pi_g=0.276 | PC_activity_obj=580.3376 (per_unit 5.6674e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.20e-04 tol=5.00e-04 r=1.000 slope=-3.815e-05) | TrainAcc=0.898 TrainLoss=0.3502 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.910 TestLoss=0.3034
[Step    60] CE_loss=0.3894 | VFE_final=565.2045 (IL_path=0.0782) | VFE_per_dof=0.2760 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1128 VFE_hidden_term=708.5647 logdet_Pi_y_sum=4.04 logdet_Pi_x_sum=282.91 | lambda_gate=0.000 | SG_objective=0.1859 | SG_relMSE=0.9997 SG_cosine=0.039 mean_log_Pi_g=0.276 | PC_activity_obj=580.3376 (per_unit 5.6674e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.3034 test_acc=0.9096
[Step    80] CE_loss=0.2245 | VFE_final=471.7834 (IL_path=0.0666) | VFE_per_dof=0.2304 Delta_VFE_per_dof=+0.0095 | VFE_pred_term=0.0625 VFE_hidden_term=612.1127 logdet_Pi_y_sum=4.51 logdet_Pi_x_sum=276.28 | lambda_gate=0.000 (raw=0.501) | SG_objective=0.1180 | SG_relMSE=1.0000 SG_cosine=0.001 mean_log_Pi_g=0.270 | PC_activity_obj=516.7173 (per_unit 5.0461e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=9.00e-05 tol=5.00e-04 r=1.000 slope=-4.832e-05) | TrainAcc=0.953 TrainLoss=0.1921 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.931 TestLoss=0.2376
[Step    80] CE_loss=0.2245 | VFE_final=471.7834 (IL_path=0.0666) | VFE_per_dof=0.2304 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0625 VFE_hidden_term=612.1127 logdet_Pi_y_sum=4.51 logdet_Pi_x_sum=276.28 | lambda_gate=0.000 | SG_objective=0.1180 | SG_relMSE=1.0000 SG_cosine=0.001 mean_log_Pi_g=0.270 | PC_activity_obj=516.7173 (per_unit 5.0461e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2376 test_acc=0.9308
[Step   100] CE_loss=0.2137 | VFE_final=486.4182 (IL_path=0.0677) | VFE_per_dof=0.2375 Delta_VFE_per_dof=+0.0115 | VFE_pred_term=0.0707 VFE_hidden_term=625.7164 logdet_Pi_y_sum=5.03 logdet_Pi_x_sum=273.71 | lambda_gate=0.000 (raw=0.502) | SG_objective=0.1204 | SG_relMSE=1.0000 SG_cosine=0.004 mean_log_Pi_g=0.267 | PC_activity_obj=535.3324 (per_unit 5.2279e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=9.66e-05 tol=5.00e-04 r=1.000 slope=-3.306e-05) | TrainAcc=0.961 TrainLoss=0.1795 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.935 TestLoss=0.2127
[Step   100] CE_loss=0.2137 | VFE_final=486.4182 (IL_path=0.0677) | VFE_per_dof=0.2375 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0707 VFE_hidden_term=625.7164 logdet_Pi_y_sum=5.03 logdet_Pi_x_sum=273.71 | lambda_gate=0.000 | SG_objective=0.1204 | SG_relMSE=1.0000 SG_cosine=0.004 mean_log_Pi_g=0.267 | PC_activity_obj=535.3324 (per_unit 5.2279e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.2127 test_acc=0.9355
[Step   120] CE_loss=0.1689 | VFE_final=492.2234 (IL_path=0.0679) | VFE_per_dof=0.2403 Delta_VFE_per_dof=+0.0023 | VFE_pred_term=0.0528 VFE_hidden_term=628.2199 logdet_Pi_y_sum=5.54 logdet_Pi_x_sum=266.56 | lambda_gate=0.000 (raw=0.508) | SG_objective=0.1177 | SG_relMSE=0.9999 SG_cosine=0.016 mean_log_Pi_g=0.260 | PC_activity_obj=541.7531 (per_unit 5.2906e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=8.70e-05 tol=5.00e-04 r=1.000 slope=-3.179e-05) | TrainAcc=0.969 TrainLoss=0.1346 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.935 TestLoss=0.2161
