JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.3931 | VFE_final=795.4147 (IL_path=2.3686) | VFE_per_dof=0.3884 Delta_VFE_per_dof=+0.0141 | VFE_pred_term=0.1161 VFE_hidden_term=951.2650 logdet_Pi_y_sum=3.25 logdet_Pi_x_sum=308.68 | lambda_gate=0.000 (raw=0.510) | SG_objective=0.2575 | SG_relMSE=0.9999 SG_cosine=0.019 mean_log_Pi_g=0.301 | PC_activity_obj=717.6949 (per_unit 7.0087e-01) | PI_max_steps=32 | PI_est_total=32.0 PI_est_valid=1 (cap_hit=1 delta_last=1.65e-04 tol=1.00e-04 r=1.000 slope=-6.394e-05) | TrainAcc=0.867 TrainLoss=0.3463 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) | TestAcc=0.848 TestLoss=0.4616
[Step    20] CE_loss=0.3931 | VFE_final=795.4147 (IL_path=2.3686) | VFE_per_dof=0.3884 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1161 VFE_hidden_term=951.2650 logdet_Pi_y_sum=3.25 logdet_Pi_x_sum=308.68 | lambda_gate=0.000 | SG_objective=0.2575 | SG_relMSE=0.9999 SG_cosine=0.019 mean_log_Pi_g=0.301 | PC_activity_obj=717.6949 (per_unit 7.0087e-01) | PI_max_steps=32 | PC_steps=32 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) (total_proposals=32) | test_loss=0.4616 test_acc=0.8483
[Step    40] CE_loss=0.3782 | VFE_final=676.3044 (IL_path=2.0153) | VFE_per_dof=0.3302 Delta_VFE_per_dof=-0.0169 | VFE_pred_term=0.1163 VFE_hidden_term=826.2403 logdet_Pi_y_sum=3.64 logdet_Pi_x_sum=296.46 | lambda_gate=0.000 (raw=0.520) | SG_objective=0.2087 | SG_relMSE=0.9996 SG_cosine=0.041 mean_log_Pi_g=0.290 | PC_activity_obj=650.7474 (per_unit 6.3550e-01) | PI_max_steps=32 | PI_est_total=32.0 PI_est_valid=1 (cap_hit=1 delta_last=1.66e-04 tol=1.00e-04 r=1.000 slope=-6.104e-05) | TrainAcc=0.891 TrainLoss=0.3215 (total_proposals=32, oracle_model=32/32, oracle_lp=32/32, metrics=32/32) | TestAcc=0.893 TestLoss=0.3477
[Step    40] CE_loss=0.3782 | VFE_final=676.3044 (IL_path=2.0153) | VFE_per_dof=0.3302 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1163 VFE_hidden_term=826.2403 logdet_Pi_y_sum=3.64 logdet_Pi_x_sum=296.46 | lambda_gate=0.000 | SG_objective=0.2087 | SG_relMSE=0.9996 SG_cosine=0.041 mean_log_Pi_g=0.290 | PC_activity_obj=650.7474 (per_unit 6.3550e-01) | PI_max_steps=32 | PC_steps=32 (total_proposals=32, oracle_model=32/32, oracle_lp=32/32, metrics=32/32) (total_proposals=32) | test_loss=0.3477 test_acc=0.8931
[Step    60] CE_loss=0.3928 | VFE_final=562.8005 (IL_path=1.6916) | VFE_per_dof=0.2748 Delta_VFE_per_dof=-0.0131 | VFE_pred_term=0.1141 VFE_hidden_term=706.2908 logdet_Pi_y_sum=4.04 logdet_Pi_x_sum=283.17 | lambda_gate=0.000 (raw=0.520) | SG_objective=0.1830 | SG_relMSE=0.9997 SG_cosine=0.039 mean_log_Pi_g=0.277 | PC_activity_obj=577.8020 (per_unit 5.6426e-01) | PI_max_steps=32 | PI_est_total=32.0 PI_est_valid=1 (cap_hit=1 delta_last=1.68e-04 tol=1.00e-04 r=1.000 slope=-6.394e-05) | TrainAcc=0.898 TrainLoss=0.3536 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) | TestAcc=0.910 TestLoss=0.3035
[Step    60] CE_loss=0.3928 | VFE_final=562.8005 (IL_path=1.6916) | VFE_per_dof=0.2748 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1141 VFE_hidden_term=706.2908 logdet_Pi_y_sum=4.04 logdet_Pi_x_sum=283.17 | lambda_gate=0.000 | SG_objective=0.1830 | SG_relMSE=0.9997 SG_cosine=0.039 mean_log_Pi_g=0.277 | PC_activity_obj=577.8020 (per_unit 5.6426e-01) | PI_max_steps=32 | PC_steps=32 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) (total_proposals=32) | test_loss=0.3035 test_acc=0.9096
[Step    80] CE_loss=0.2265 | VFE_final=467.2821 (IL_path=1.4347) | VFE_per_dof=0.2282 Delta_VFE_per_dof=+0.0086 | VFE_pred_term=0.0634 VFE_hidden_term=607.8312 logdet_Pi_y_sum=4.51 logdet_Pi_x_sum=276.71 | lambda_gate=0.000 (raw=0.501) | SG_objective=0.1169 | SG_relMSE=1.0000 SG_cosine=0.003 mean_log_Pi_g=0.270 | PC_activity_obj=513.0675 (per_unit 5.0104e-01) | PI_max_steps=32 | PI_est_total=32.0 PI_est_valid=1 (cap_hit=1 delta_last=1.27e-04 tol=1.00e-04 r=1.000 slope=-6.721e-05) | TrainAcc=0.953 TrainLoss=0.1946 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) | TestAcc=0.930 TestLoss=0.2365
[Step    80] CE_loss=0.2265 | VFE_final=467.2821 (IL_path=1.4347) | VFE_per_dof=0.2282 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0634 VFE_hidden_term=607.8312 logdet_Pi_y_sum=4.51 logdet_Pi_x_sum=276.71 | lambda_gate=0.000 | SG_objective=0.1169 | SG_relMSE=1.0000 SG_cosine=0.003 mean_log_Pi_g=0.270 | PC_activity_obj=513.0675 (per_unit 5.0104e-01) | PI_max_steps=32 | PC_steps=32 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) (total_proposals=32) | test_loss=0.2365 test_acc=0.9303
[Step   100] CE_loss=0.2140 | VFE_final=485.1486 (IL_path=1.4694) | VFE_per_dof=0.2369 Delta_VFE_per_dof=+0.0113 | VFE_pred_term=0.0710 VFE_hidden_term=624.8730 logdet_Pi_y_sum=5.04 logdet_Pi_x_sum=274.56 | lambda_gate=0.000 (raw=0.502) | SG_objective=0.1194 | SG_relMSE=1.0000 SG_cosine=0.003 mean_log_Pi_g=0.268 | PC_activity_obj=533.7119 (per_unit 5.2120e-01) | PI_max_steps=32 | PI_est_total=32.0 PI_est_valid=1 (cap_hit=1 delta_last=1.35e-04 tol=1.00e-04 r=1.000 slope=-5.922e-05) | TrainAcc=0.953 TrainLoss=0.1804 (total_proposals=32, oracle_model=32/32, oracle_lp=32/32, metrics=32/32) | TestAcc=0.936 TestLoss=0.2115
[Step   100] CE_loss=0.2140 | VFE_final=485.1486 (IL_path=1.4694) | VFE_per_dof=0.2369 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0710 VFE_hidden_term=624.8730 logdet_Pi_y_sum=5.04 logdet_Pi_x_sum=274.56 | lambda_gate=0.000 | SG_objective=0.1194 | SG_relMSE=1.0000 SG_cosine=0.003 mean_log_Pi_g=0.268 | PC_activity_obj=533.7119 (per_unit 5.2120e-01) | PI_max_steps=32 | PC_steps=32 (total_proposals=32, oracle_model=32/32, oracle_lp=32/32, metrics=32/32) (total_proposals=32) | test_loss=0.2115 test_acc=0.9362
[Step   120] CE_loss=0.1690 | VFE_final=502.2155 (IL_path=1.5015) | VFE_per_dof=0.2452 Delta_VFE_per_dof=+0.0028 | VFE_pred_term=0.0518 VFE_hidden_term=638.6924 logdet_Pi_y_sum=5.54 logdet_Pi_x_sum=267.51 | lambda_gate=0.000 (raw=0.508) | SG_objective=0.1193 | SG_relMSE=0.9999 SG_cosine=0.016 mean_log_Pi_g=0.261 | PC_activity_obj=548.5397 (per_unit 5.3568e-01) | PI_max_steps=32 | PI_est_total=32.0 PI_est_valid=1 (cap_hit=1 delta_last=1.21e-04 tol=1.00e-04 r=1.000 slope=-6.648e-05) | TrainAcc=0.969 TrainLoss=0.1330 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) | TestAcc=0.935 TestLoss=0.2156
[Step   120] CE_loss=0.1690 | VFE_final=502.2155 (IL_path=1.5015) | VFE_per_dof=0.2452 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0518 VFE_hidden_term=638.6924 logdet_Pi_y_sum=5.54 logdet_Pi_x_sum=267.51 | lambda_gate=0.000 | SG_objective=0.1193 | SG_relMSE=0.9999 SG_cosine=0.016 mean_log_Pi_g=0.261 | PC_activity_obj=548.5397 (per_unit 5.3568e-01) | PI_max_steps=32 | PC_steps=32 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) (total_proposals=32) | test_loss=0.2156 test_acc=0.9355
[Step   140] CE_loss=0.1900 | VFE_final=468.1430 (IL_path=1.3832) | VFE_per_dof=0.2286 Delta_VFE_per_dof=+0.0077 | VFE_pred_term=0.0607 VFE_hidden_term=599.7063 logdet_Pi_y_sum=6.03 logdet_Pi_x_sum=257.22 | lambda_gate=0.000 (raw=0.521) | SG_objective=0.0980 | SG_relMSE=0.9998 SG_cosine=0.041 mean_log_Pi_g=0.251 | PC_activity_obj=536.4763 (per_unit 5.2390e-01) | PI_max_steps=32 | PI_est_total=32.0 PI_est_valid=1 (cap_hit=1 delta_last=1.31e-04 tol=1.00e-04 r=1.000 slope=-6.176e-05) | TrainAcc=0.969 TrainLoss=0.1572 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) | TestAcc=0.941 TestLoss=0.1916
[Step   140] CE_loss=0.1900 | VFE_final=468.1430 (IL_path=1.3832) | VFE_per_dof=0.2286 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0607 VFE_hidden_term=599.7063 logdet_Pi_y_sum=6.03 logdet_Pi_x_sum=257.22 | lambda_gate=0.000 | SG_objective=0.0980 | SG_relMSE=0.9998 SG_cosine=0.041 mean_log_Pi_g=0.251 | PC_activity_obj=536.4763 (per_unit 5.2390e-01) | PI_max_steps=32 | PC_steps=32 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) (total_proposals=32) | test_loss=0.1916 test_acc=0.9409
