JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.3937 | VFE_final=801.7787 (IL_path=1.1588) | VFE_per_dof=0.3915 Delta_VFE_per_dof=+0.0143 | VFE_pred_term=0.1157 VFE_hidden_term=959.2238 logdet_Pi_y_sum=3.25 logdet_Pi_x_sum=311.87 | lambda_gate=0.000 (raw=0.499) | SG_objective=0.2081 | SG_relMSE=1.0000 SG_cosine=-0.003 mean_log_Pi_g=0.305 | PC_activity_obj=719.6297 (per_unit 7.0276e-01) | PI_max_steps=16 | PI_est_total=16.0 PI_est_valid=1 (cap_hit=1 delta_last=1.65e-04 tol=1.00e-04 r=1.000 slope=-6.031e-05) | TrainAcc=0.875 TrainLoss=0.3456 (total_proposals=16, oracle_model=0/0, oracle_lp=0/0, metrics=16/16) | TestAcc=0.849 TestLoss=0.4598
[Step    20] CE_loss=0.3937 | VFE_final=801.7787 (IL_path=1.1588) | VFE_per_dof=0.3915 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1157 VFE_hidden_term=959.2238 logdet_Pi_y_sum=3.25 logdet_Pi_x_sum=311.87 | lambda_gate=0.000 | SG_objective=0.2081 | SG_relMSE=1.0000 SG_cosine=-0.003 mean_log_Pi_g=0.305 | PC_activity_obj=719.6297 (per_unit 7.0276e-01) | PI_max_steps=16 | PC_steps=16 (total_proposals=16, oracle_model=0/0, oracle_lp=0/0, metrics=16/16) (total_proposals=16) | test_loss=0.4598 test_acc=0.8490
[Step    40] CE_loss=0.3811 | VFE_final=684.7904 (IL_path=0.9913) | VFE_per_dof=0.3344 Delta_VFE_per_dof=-0.0169 | VFE_pred_term=0.1173 VFE_hidden_term=837.0352 logdet_Pi_y_sum=3.64 logdet_Pi_x_sum=301.08 | lambda_gate=0.000 (raw=0.512) | SG_objective=0.2550 | SG_relMSE=0.9998 SG_cosine=0.024 mean_log_Pi_g=0.294 | PC_activity_obj=654.6268 (per_unit 6.3928e-01) | PI_max_steps=16 | PI_est_total=16.0 PI_est_valid=1 (cap_hit=1 delta_last=1.67e-04 tol=1.00e-04 r=1.000 slope=-5.522e-05) | TrainAcc=0.891 TrainLoss=0.3232 (total_proposals=16, oracle_model=0/0, oracle_lp=0/0, metrics=16/16) | TestAcc=0.895 TestLoss=0.3469
[Step    40] CE_loss=0.3811 | VFE_final=684.7904 (IL_path=0.9913) | VFE_per_dof=0.3344 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1173 VFE_hidden_term=837.0352 logdet_Pi_y_sum=3.64 logdet_Pi_x_sum=301.08 | lambda_gate=0.000 | SG_objective=0.2550 | SG_relMSE=0.9998 SG_cosine=0.024 mean_log_Pi_g=0.294 | PC_activity_obj=654.6268 (per_unit 6.3928e-01) | PI_max_steps=16 | PC_steps=16 (total_proposals=16, oracle_model=0/0, oracle_lp=0/0, metrics=16/16) (total_proposals=16) | test_loss=0.3469 test_acc=0.8946
[Step    60] CE_loss=0.3930 | VFE_final=567.3118 (IL_path=0.8289) | VFE_per_dof=0.2770 Delta_VFE_per_dof=-0.0137 | VFE_pred_term=0.1136 VFE_hidden_term=712.8893 logdet_Pi_y_sum=4.04 logdet_Pi_x_sum=287.35 | lambda_gate=0.000 (raw=0.515) | SG_objective=0.1895 | SG_relMSE=0.9998 SG_cosine=0.029 mean_log_Pi_g=0.281 | PC_activity_obj=579.2798 (per_unit 5.6570e-01) | PI_max_steps=16 | PI_est_total=16.0 PI_est_valid=1 (cap_hit=1 delta_last=1.68e-04 tol=1.00e-04 r=1.000 slope=-6.213e-05) | TrainAcc=0.906 TrainLoss=0.3535 (total_proposals=16, oracle_model=0/0, oracle_lp=0/0, metrics=16/16) | TestAcc=0.910 TestLoss=0.3027
[Step    60] CE_loss=0.3930 | VFE_final=567.3118 (IL_path=0.8289) | VFE_per_dof=0.2770 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1136 VFE_hidden_term=712.8893 logdet_Pi_y_sum=4.04 logdet_Pi_x_sum=287.35 | lambda_gate=0.000 | SG_objective=0.1895 | SG_relMSE=0.9998 SG_cosine=0.029 mean_log_Pi_g=0.281 | PC_activity_obj=579.2798 (per_unit 5.6570e-01) | PI_max_steps=16 | PC_steps=16 (total_proposals=16, oracle_model=0/0, oracle_lp=0/0, metrics=16/16) (total_proposals=16) | test_loss=0.3027 test_acc=0.9104
[Step    80] CE_loss=0.2258 | VFE_final=473.1019 (IL_path=0.7052) | VFE_per_dof=0.2310 Delta_VFE_per_dof=+0.0090 | VFE_pred_term=0.0634 VFE_hidden_term=615.1682 logdet_Pi_y_sum=4.50 logdet_Pi_x_sum=279.76 | lambda_gate=0.000 (raw=0.496) | SG_objective=0.1325 | SG_relMSE=1.0000 SG_cosine=-0.007 mean_log_Pi_g=0.273 | PC_activity_obj=515.3922 (per_unit 5.0331e-01) | PI_max_steps=16 | PI_est_total=16.0 PI_est_valid=1 (cap_hit=1 delta_last=1.27e-04 tol=1.00e-04 r=1.000 slope=-6.430e-05) | TrainAcc=0.953 TrainLoss=0.1935 (total_proposals=16, oracle_model=0/0, oracle_lp=0/0, metrics=16/16) | TestAcc=0.930 TestLoss=0.2364
[Step    80] CE_loss=0.2258 | VFE_final=473.1019 (IL_path=0.7052) | VFE_per_dof=0.2310 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0634 VFE_hidden_term=615.1682 logdet_Pi_y_sum=4.50 logdet_Pi_x_sum=279.76 | lambda_gate=0.000 | SG_objective=0.1325 | SG_relMSE=1.0000 SG_cosine=-0.007 mean_log_Pi_g=0.273 | PC_activity_obj=515.3922 (per_unit 5.0331e-01) | PI_max_steps=16 | PC_steps=16 (total_proposals=16, oracle_model=0/0, oracle_lp=0/0, metrics=16/16) (total_proposals=16) | test_loss=0.2364 test_acc=0.9300
[Step   100] CE_loss=0.2178 | VFE_final=490.4789 (IL_path=0.7197) | VFE_per_dof=0.2395 Delta_VFE_per_dof=+0.0113 | VFE_pred_term=0.0723 VFE_hidden_term=631.0110 logdet_Pi_y_sum=5.01 logdet_Pi_x_sum=276.20 | lambda_gate=0.000 (raw=0.500) | SG_objective=0.1232 | SG_relMSE=1.0000 SG_cosine=-0.001 mean_log_Pi_g=0.270 | PC_activity_obj=536.1989 (per_unit 5.2363e-01) | PI_max_steps=16 | PI_est_total=16.0 PI_est_valid=1 (cap_hit=1 delta_last=1.37e-04 tol=1.00e-04 r=1.000 slope=-5.486e-05) | TrainAcc=0.961 TrainLoss=0.1828 (total_proposals=16, oracle_model=0/0, oracle_lp=0/0, metrics=16/16) | TestAcc=0.934 TestLoss=0.2131
[Step   100] CE_loss=0.2178 | VFE_final=490.4789 (IL_path=0.7197) | VFE_per_dof=0.2395 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0723 VFE_hidden_term=631.0110 logdet_Pi_y_sum=5.01 logdet_Pi_x_sum=276.20 | lambda_gate=0.000 | SG_objective=0.1232 | SG_relMSE=1.0000 SG_cosine=-0.001 mean_log_Pi_g=0.270 | PC_activity_obj=536.1989 (per_unit 5.2363e-01) | PI_max_steps=16 | PC_steps=16 (total_proposals=16, oracle_model=0/0, oracle_lp=0/0, metrics=16/16) (total_proposals=16) | test_loss=0.2131 test_acc=0.9344
[Step   120] CE_loss=0.1602 | VFE_final=499.8628 (IL_path=0.7240) | VFE_per_dof=0.2441 Delta_VFE_per_dof=+0.0030 | VFE_pred_term=0.0487 VFE_hidden_term=636.9420 logdet_Pi_y_sum=5.52 logdet_Pi_x_sum=268.74 | lambda_gate=0.000 (raw=0.509) | SG_objective=0.1208 | SG_relMSE=0.9999 SG_cosine=0.017 mean_log_Pi_g=0.262 | PC_activity_obj=547.2444 (per_unit 5.3442e-01) | PI_max_steps=16 | PI_est_total=16.0 PI_est_valid=1 (cap_hit=1 delta_last=1.17e-04 tol=1.00e-04 r=1.000 slope=-6.140e-05) | TrainAcc=0.969 TrainLoss=0.1256 (total_proposals=16, oracle_model=0/0, oracle_lp=0/0, metrics=16/16) | TestAcc=0.937 TestLoss=0.2124
