JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.5002 | VFE_final=769.9093 (IL_path=0.0770) | VFE_per_dof=0.3759 Delta_VFE_per_dof=+0.0298 | VFE_pred_term=0.1440 VFE_hidden_term=927.8533 logdet_Pi_y_sum=3.26 logdet_Pi_x_sum=312.92 | lambda_gate=0.000 (raw=0.500) | SG_objective=0.2413 | SG_relMSE=1.0000 SG_cosine=-0.001 mean_log_Pi_g=0.306 | PC_activity_obj=693.8539 (per_unit 6.7759e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=9.37e-05 tol=5.00e-04 r=1.000 slope=-3.433e-05) | TrainAcc=0.836 TrainLoss=0.4526 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.871 TestLoss=0.4218
[Step    20] CE_loss=0.5002 | VFE_final=769.9093 (IL_path=0.0770) | VFE_per_dof=0.3759 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1440 VFE_hidden_term=927.8533 logdet_Pi_y_sum=3.26 logdet_Pi_x_sum=312.92 | lambda_gate=0.000 | SG_objective=0.2413 | SG_relMSE=1.0000 SG_cosine=-0.001 mean_log_Pi_g=0.306 | PC_activity_obj=693.8539 (per_unit 6.7759e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.4218 test_acc=0.8705
[Step    40] CE_loss=0.2744 | VFE_final=728.7111 (IL_path=0.0717) | VFE_per_dof=0.3558 Delta_VFE_per_dof=-0.0012 | VFE_pred_term=0.0847 VFE_hidden_term=881.0376 logdet_Pi_y_sum=3.65 logdet_Pi_x_sum=301.17 | lambda_gate=0.000 (raw=0.518) | SG_objective=0.2415 | SG_relMSE=0.9999 SG_cosine=0.035 mean_log_Pi_g=0.294 | PC_activity_obj=685.8297 (per_unit 6.6976e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=7.36e-05 tol=5.00e-04 r=1.000 slope=-3.433e-05) | TrainAcc=0.914 TrainLoss=0.2419 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.908 TestLoss=0.3224
[Step    40] CE_loss=0.2744 | VFE_final=728.7111 (IL_path=0.0717) | VFE_per_dof=0.3558 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0847 VFE_hidden_term=881.0376 logdet_Pi_y_sum=3.65 logdet_Pi_x_sum=301.17 | lambda_gate=0.000 | SG_objective=0.2415 | SG_relMSE=0.9999 SG_cosine=0.035 mean_log_Pi_g=0.294 | PC_activity_obj=685.8297 (per_unit 6.6976e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.3224 test_acc=0.9078
[Step    60] CE_loss=0.3292 | VFE_final=569.4091 (IL_path=0.0570) | VFE_per_dof=0.2780 Delta_VFE_per_dof=-0.0023 | VFE_pred_term=0.0927 VFE_hidden_term=714.6787 logdet_Pi_y_sum=4.06 logdet_Pi_x_sum=286.67 | lambda_gate=0.000 (raw=0.512) | SG_objective=0.1677 | SG_relMSE=0.9998 SG_cosine=0.024 mean_log_Pi_g=0.280 | PC_activity_obj=580.3086 (per_unit 5.6671e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=7.81e-05 tol=5.00e-04 r=1.000 slope=-2.162e-05) | TrainAcc=0.922 TrainLoss=0.2827 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.908 TestLoss=0.3035
[Step    60] CE_loss=0.3292 | VFE_final=569.4091 (IL_path=0.0570) | VFE_per_dof=0.2780 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0927 VFE_hidden_term=714.6787 logdet_Pi_y_sum=4.06 logdet_Pi_x_sum=286.67 | lambda_gate=0.000 | SG_objective=0.1677 | SG_relMSE=0.9998 SG_cosine=0.024 mean_log_Pi_g=0.280 | PC_activity_obj=580.3086 (per_unit 5.6671e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.3035 test_acc=0.9085
[Step    80] CE_loss=0.2263 | VFE_final=500.9227 (IL_path=0.0506) | VFE_per_dof=0.2446 Delta_VFE_per_dof=-0.0087 | VFE_pred_term=0.0672 VFE_hidden_term=642.4209 logdet_Pi_y_sum=4.52 logdet_Pi_x_sum=278.61 | lambda_gate=0.000 (raw=0.503) | SG_objective=0.1350 | SG_relMSE=1.0000 SG_cosine=0.007 mean_log_Pi_g=0.272 | PC_activity_obj=536.2144 (per_unit 5.2365e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=6.61e-05 tol=5.00e-04 r=1.000 slope=-2.289e-05) | TrainAcc=0.938 TrainLoss=0.1985 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.929 TestLoss=0.2429
[Step    80] CE_loss=0.2263 | VFE_final=500.9227 (IL_path=0.0506) | VFE_per_dof=0.2446 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0672 VFE_hidden_term=642.4209 logdet_Pi_y_sum=4.52 logdet_Pi_x_sum=278.61 | lambda_gate=0.000 | SG_objective=0.1350 | SG_relMSE=1.0000 SG_cosine=0.007 mean_log_Pi_g=0.272 | PC_activity_obj=536.2144 (per_unit 5.2365e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2429 test_acc=0.9293
[Step   100] CE_loss=0.2470 | VFE_final=376.3058 (IL_path=0.0404) | VFE_per_dof=0.1837 Delta_VFE_per_dof=-0.0306 | VFE_pred_term=0.0835 VFE_hidden_term=516.3331 logdet_Pi_y_sum=5.03 logdet_Pi_x_sum=275.19 | lambda_gate=0.000 (raw=0.483) | SG_objective=0.0888 | SG_relMSE=1.0002 SG_cosine=-0.035 mean_log_Pi_g=0.269 | PC_activity_obj=438.1128 (per_unit 4.2784e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=7.38e-05 tol=5.00e-04 r=1.000 slope=-5.341e-05) | TrainAcc=0.938 TrainLoss=0.2033 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.931 TestLoss=0.2375
[Step   100] CE_loss=0.2470 | VFE_final=376.3058 (IL_path=0.0404) | VFE_per_dof=0.1837 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0835 VFE_hidden_term=516.3331 logdet_Pi_y_sum=5.03 logdet_Pi_x_sum=275.19 | lambda_gate=0.000 | SG_objective=0.0888 | SG_relMSE=1.0002 SG_cosine=-0.035 mean_log_Pi_g=0.269 | PC_activity_obj=438.1128 (per_unit 4.2784e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2375 test_acc=0.9309
[Step   120] CE_loss=0.2657 | VFE_final=428.8236 (IL_path=0.0444) | VFE_per_dof=0.2094 Delta_VFE_per_dof=+0.0088 | VFE_pred_term=0.0837 VFE_hidden_term=569.8171 logdet_Pi_y_sum=5.60 logdet_Pi_x_sum=276.56 | lambda_gate=0.000 (raw=0.511) | SG_objective=0.0833 | SG_relMSE=0.9999 SG_cosine=0.021 mean_log_Pi_g=0.270 | PC_activity_obj=489.8310 (per_unit 4.7835e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=7.57e-05 tol=5.00e-04 r=1.000 slope=-2.543e-05) | TrainAcc=0.945 TrainLoss=0.2310 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.939 TestLoss=0.2077
