JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.8561 | VFE_final=-70.8790 (IL_path=0.0547) | VFE_per_dof=-0.0346 Delta_VFE_per_dof=-0.0004 | VFE_pred_term=0.2543 VFE_hidden_term=95.8259 logdet_Pi_y_sum=3.27 logdet_Pi_x_sum=330.65 | lambda_gate=0.325 (raw=0.325) | SG_objective=0.0192 | SG_relMSE=1.0045 SG_cosine=-0.351 mean_log_Pi_g=0.323 | PC_activity_obj=69.7934 (per_unit 6.8158e-02) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=2.53e-04 tol=1.00e-04 r=1.000 slope=-5.922e-05) | TrainAcc=0.836 TrainLoss=0.8393 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.857 TestLoss=0.7920
[Step    20] CE_loss=0.8561 | VFE_final=-70.8790 (IL_path=0.0547) | VFE_per_dof=-0.0346 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.2543 VFE_hidden_term=95.8259 logdet_Pi_y_sum=3.27 logdet_Pi_x_sum=330.65 | lambda_gate=0.325 | SG_objective=0.0192 | SG_relMSE=1.0045 SG_cosine=-0.351 mean_log_Pi_g=0.323 | PC_activity_obj=69.7934 (per_unit 6.8158e-02) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.7920 test_acc=0.8568
[Step    40] CE_loss=0.4329 | VFE_final=-89.2146 (IL_path=0.0579) | VFE_per_dof=-0.0436 Delta_VFE_per_dof=-0.0042 | VFE_pred_term=0.1329 VFE_hidden_term=100.9157 logdet_Pi_y_sum=3.80 logdet_Pi_x_sum=376.73 | lambda_gate=0.254 (raw=0.254) | SG_objective=0.0211 | SG_relMSE=1.0035 SG_cosine=-0.491 mean_log_Pi_g=0.368 | PC_activity_obj=72.8394 (per_unit 7.1132e-02) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=2.04e-04 tol=1.00e-04 r=1.000 slope=-6.213e-05) | TrainAcc=0.922 TrainLoss=0.4315 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.896 TestLoss=0.4776
[Step    40] CE_loss=0.4329 | VFE_final=-89.2146 (IL_path=0.0579) | VFE_per_dof=-0.0436 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1329 VFE_hidden_term=100.9157 logdet_Pi_y_sum=3.80 logdet_Pi_x_sum=376.73 | lambda_gate=0.254 | SG_objective=0.0211 | SG_relMSE=1.0035 SG_cosine=-0.491 mean_log_Pi_g=0.368 | PC_activity_obj=72.8394 (per_unit 7.1132e-02) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.4776 test_acc=0.8965
[Step    60] CE_loss=0.3805 | VFE_final=-114.5810 (IL_path=0.0569) | VFE_per_dof=-0.0559 Delta_VFE_per_dof=-0.0002 | VFE_pred_term=0.1166 VFE_hidden_term=98.3805 logdet_Pi_y_sum=4.32 logdet_Pi_x_sum=421.83 | lambda_gate=0.369 (raw=0.369) | SG_objective=0.0152 | SG_relMSE=1.0022 SG_cosine=-0.262 mean_log_Pi_g=0.412 | PC_activity_obj=69.9408 (per_unit 6.8302e-02) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=2.08e-04 tol=1.00e-04 r=1.000 slope=-6.176e-05) | TrainAcc=0.906 TrainLoss=0.3662 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.910 TestLoss=0.3784
[Step    60] CE_loss=0.3805 | VFE_final=-114.5810 (IL_path=0.0569) | VFE_per_dof=-0.0559 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1166 VFE_hidden_term=98.3805 logdet_Pi_y_sum=4.32 logdet_Pi_x_sum=421.83 | lambda_gate=0.369 | SG_objective=0.0152 | SG_relMSE=1.0022 SG_cosine=-0.262 mean_log_Pi_g=0.412 | PC_activity_obj=69.9408 (per_unit 6.8302e-02) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.3784 test_acc=0.9100
[Step    80] CE_loss=0.3417 | VFE_final=-153.8080 (IL_path=0.0478) | VFE_per_dof=-0.0751 Delta_VFE_per_dof=-0.0027 | VFE_pred_term=0.1023 VFE_hidden_term=82.0276 logdet_Pi_y_sum=4.83 logdet_Pi_x_sum=467.04 | lambda_gate=0.290 (raw=0.290) | SG_objective=0.0134 | SG_relMSE=1.0034 SG_cosine=-0.419 mean_log_Pi_g=0.456 | PC_activity_obj=57.2012 (per_unit 5.5861e-02) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=2.03e-04 tol=1.00e-04 r=1.000 slope=-6.612e-05) | TrainAcc=0.930 TrainLoss=0.3206 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.921 TestLoss=0.3165
[Step    80] CE_loss=0.3417 | VFE_final=-153.8080 (IL_path=0.0478) | VFE_per_dof=-0.0751 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1023 VFE_hidden_term=82.0276 logdet_Pi_y_sum=4.83 logdet_Pi_x_sum=467.04 | lambda_gate=0.290 | SG_objective=0.0134 | SG_relMSE=1.0034 SG_cosine=-0.419 mean_log_Pi_g=0.456 | PC_activity_obj=57.2012 (per_unit 5.5861e-02) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.3165 test_acc=0.9214
[Step   100] CE_loss=0.3404 | VFE_final=-184.2732 (IL_path=0.0440) | VFE_per_dof=-0.0900 Delta_VFE_per_dof=-0.0021 | VFE_pred_term=0.1221 VFE_hidden_term=74.5075 logdet_Pi_y_sum=5.33 logdet_Pi_x_sum=512.48 | lambda_gate=0.317 (raw=0.317) | SG_objective=0.0105 | SG_relMSE=1.0039 SG_cosine=-0.366 mean_log_Pi_g=0.500 | PC_activity_obj=50.5584 (per_unit 4.9373e-02) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=2.31e-04 tol=1.00e-04 r=1.000 slope=-7.266e-05) | TrainAcc=0.922 TrainLoss=0.3237 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.922 TestLoss=0.3172
[Step   100] CE_loss=0.3404 | VFE_final=-184.2732 (IL_path=0.0440) | VFE_per_dof=-0.0900 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1221 VFE_hidden_term=74.5075 logdet_Pi_y_sum=5.33 logdet_Pi_x_sum=512.48 | lambda_gate=0.317 | SG_objective=0.0105 | SG_relMSE=1.0039 SG_cosine=-0.366 mean_log_Pi_g=0.500 | PC_activity_obj=50.5584 (per_unit 4.9373e-02) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.3172 test_acc=0.9216
[Step   120] CE_loss=0.3117 | VFE_final=-205.1094 (IL_path=0.0456) | VFE_per_dof=-0.1002 Delta_VFE_per_dof=+0.0010 | VFE_pred_term=0.1052 VFE_hidden_term=76.4171 logdet_Pi_y_sum=5.80 logdet_Pi_x_sum=557.46 | lambda_gate=0.325 (raw=0.325) | SG_objective=0.0084 | SG_relMSE=1.0034 SG_cosine=-0.349 mean_log_Pi_g=0.544 | PC_activity_obj=50.4686 (per_unit 4.9286e-02) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=2.22e-04 tol=1.00e-04 r=1.000 slope=-6.612e-05) | TrainAcc=0.930 TrainLoss=0.2934 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.928 TestLoss=0.2828
