JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.5025 | VFE_final=774.4716 (IL_path=0.5290) | VFE_per_dof=0.3782 Delta_VFE_per_dof=+0.0304 | VFE_pred_term=0.1442 VFE_hidden_term=934.3423 logdet_Pi_y_sum=3.26 logdet_Pi_x_sum=316.77 | lambda_gate=0.000 (raw=0.501) | SG_objective=0.2047 | SG_relMSE=1.0000 SG_cosine=0.003 mean_log_Pi_g=0.309 | PC_activity_obj=694.6803 (per_unit 6.7840e-01) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.82e-04 tol=1.00e-04 r=1.000 slope=-6.866e-05) | TrainAcc=0.844 TrainLoss=0.4535 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.872 TestLoss=0.4215
[Step    20] CE_loss=0.5025 | VFE_final=774.4716 (IL_path=0.5290) | VFE_per_dof=0.3782 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1442 VFE_hidden_term=934.3423 logdet_Pi_y_sum=3.26 logdet_Pi_x_sum=316.77 | lambda_gate=0.000 | SG_objective=0.2047 | SG_relMSE=1.0000 SG_cosine=0.003 mean_log_Pi_g=0.309 | PC_activity_obj=694.6803 (per_unit 6.7840e-01) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.4215 test_acc=0.8716
[Step    40] CE_loss=0.2715 | VFE_final=729.2493 (IL_path=0.4924) | VFE_per_dof=0.3561 Delta_VFE_per_dof=-0.0007 | VFE_pred_term=0.0840 VFE_hidden_term=885.1438 logdet_Pi_y_sum=3.68 logdet_Pi_x_sum=308.27 | lambda_gate=0.000 (raw=0.511) | SG_objective=0.2299 | SG_relMSE=0.9999 SG_cosine=0.022 mean_log_Pi_g=0.301 | PC_activity_obj=683.0553 (per_unit 6.6705e-01) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.42e-04 tol=1.00e-04 r=1.000 slope=-6.467e-05) | TrainAcc=0.914 TrainLoss=0.2383 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.908 TestLoss=0.3203
[Step    40] CE_loss=0.2715 | VFE_final=729.2493 (IL_path=0.4924) | VFE_per_dof=0.3561 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0840 VFE_hidden_term=885.1438 logdet_Pi_y_sum=3.68 logdet_Pi_x_sum=308.27 | lambda_gate=0.000 | SG_objective=0.2299 | SG_relMSE=0.9999 SG_cosine=0.022 mean_log_Pi_g=0.301 | PC_activity_obj=683.0553 (per_unit 6.6705e-01) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.3203 test_acc=0.9084
[Step    60] CE_loss=0.3311 | VFE_final=572.1558 (IL_path=0.3932) | VFE_per_dof=0.2794 Delta_VFE_per_dof=-0.0029 | VFE_pred_term=0.0938 VFE_hidden_term=721.0676 logdet_Pi_y_sum=4.09 logdet_Pi_x_sum=293.92 | lambda_gate=0.000 (raw=0.514) | SG_objective=0.1690 | SG_relMSE=0.9998 SG_cosine=0.027 mean_log_Pi_g=0.287 | PC_activity_obj=580.1841 (per_unit 5.6659e-01) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.52e-04 tol=1.00e-04 r=1.000 slope=-7.084e-05) | TrainAcc=0.922 TrainLoss=0.2825 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.907 TestLoss=0.3043
[Step    60] CE_loss=0.3311 | VFE_final=572.1558 (IL_path=0.3932) | VFE_per_dof=0.2794 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0938 VFE_hidden_term=721.0676 logdet_Pi_y_sum=4.09 logdet_Pi_x_sum=293.92 | lambda_gate=0.000 | SG_objective=0.1690 | SG_relMSE=0.9998 SG_cosine=0.027 mean_log_Pi_g=0.287 | PC_activity_obj=580.1841 (per_unit 5.6659e-01) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.3043 test_acc=0.9075
[Step    80] CE_loss=0.2242 | VFE_final=509.8190 (IL_path=0.3527) | VFE_per_dof=0.2489 Delta_VFE_per_dof=-0.0086 | VFE_pred_term=0.0659 VFE_hidden_term=654.7709 logdet_Pi_y_sum=4.55 logdet_Pi_x_sum=285.49 | lambda_gate=0.000 (raw=0.504) | SG_objective=0.1678 | SG_relMSE=1.0000 SG_cosine=0.009 mean_log_Pi_g=0.279 | PC_activity_obj=540.9254 (per_unit 5.2825e-01) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.27e-04 tol=1.00e-04 r=1.000 slope=-6.104e-05) | TrainAcc=0.938 TrainLoss=0.1961 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.930 TestLoss=0.2417
[Step    80] CE_loss=0.2242 | VFE_final=509.8190 (IL_path=0.3527) | VFE_per_dof=0.2489 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0659 VFE_hidden_term=654.7709 logdet_Pi_y_sum=4.55 logdet_Pi_x_sum=285.49 | lambda_gate=0.000 | SG_objective=0.1678 | SG_relMSE=1.0000 SG_cosine=0.009 mean_log_Pi_g=0.279 | PC_activity_obj=540.9254 (per_unit 5.2825e-01) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.2417 test_acc=0.9302
[Step   100] CE_loss=0.2460 | VFE_final=380.5225 (IL_path=0.2793) | VFE_per_dof=0.1858 Delta_VFE_per_dof=-0.0311 | VFE_pred_term=0.0840 VFE_hidden_term=522.5839 logdet_Pi_y_sum=5.04 logdet_Pi_x_sum=279.25 | lambda_gate=0.000 (raw=0.488) | SG_objective=0.1110 | SG_relMSE=1.0001 SG_cosine=-0.025 mean_log_Pi_g=0.273 | PC_activity_obj=440.1047 (per_unit 4.2979e-01) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.44e-04 tol=1.00e-04 r=1.000 slope=-6.249e-05) | TrainAcc=0.938 TrainLoss=0.2032 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.931 TestLoss=0.2376
[Step   100] CE_loss=0.2460 | VFE_final=380.5225 (IL_path=0.2793) | VFE_per_dof=0.1858 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0840 VFE_hidden_term=522.5839 logdet_Pi_y_sum=5.04 logdet_Pi_x_sum=279.25 | lambda_gate=0.000 | SG_objective=0.1110 | SG_relMSE=1.0001 SG_cosine=-0.025 mean_log_Pi_g=0.273 | PC_activity_obj=440.1047 (per_unit 4.2979e-01) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.2376 test_acc=0.9315
[Step   120] CE_loss=0.2714 | VFE_final=427.9284 (IL_path=0.3031) | VFE_per_dof=0.2089 Delta_VFE_per_dof=+0.0076 | VFE_pred_term=0.0849 VFE_hidden_term=570.5098 logdet_Pi_y_sum=5.60 logdet_Pi_x_sum=279.73 | lambda_gate=0.000 (raw=0.513) | SG_objective=0.0862 | SG_relMSE=0.9999 SG_cosine=0.025 mean_log_Pi_g=0.273 | PC_activity_obj=488.6059 (per_unit 4.7715e-01) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.48e-04 tol=1.00e-04 r=1.000 slope=-6.757e-05) | TrainAcc=0.945 TrainLoss=0.2342 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.939 TestLoss=0.2087
[Step   120] CE_loss=0.2714 | VFE_final=427.9284 (IL_path=0.3031) | VFE_per_dof=0.2089 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0849 VFE_hidden_term=570.5098 logdet_Pi_y_sum=5.60 logdet_Pi_x_sum=279.73 | lambda_gate=0.000 | SG_objective=0.0862 | SG_relMSE=0.9999 SG_cosine=0.025 mean_log_Pi_g=0.273 | PC_activity_obj=488.6059 (per_unit 4.7715e-01) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.2087 test_acc=0.9392
[Step   140] CE_loss=0.1265 | VFE_final=450.0433 (IL_path=0.3141) | VFE_per_dof=0.2197 Delta_VFE_per_dof=+0.0020 | VFE_pred_term=0.0426 VFE_hidden_term=592.3221 logdet_Pi_y_sum=6.13 logdet_Pi_x_sum=278.51 | lambda_gate=0.000 (raw=0.512) | SG_objective=0.1102 | SG_relMSE=0.9999 SG_cosine=0.024 mean_log_Pi_g=0.272 | PC_activity_obj=511.2026 (per_unit 4.9922e-01) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.06e-04 tol=1.00e-04 r=1.000 slope=-6.031e-05) | TrainAcc=0.969 TrainLoss=0.1048 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.946 TestLoss=0.1940
[Step   140] CE_loss=0.1265 | VFE_final=450.0433 (IL_path=0.3141) | VFE_per_dof=0.2197 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0426 VFE_hidden_term=592.3221 logdet_Pi_y_sum=6.13 logdet_Pi_x_sum=278.51 | lambda_gate=0.000 | SG_objective=0.1102 | SG_relMSE=0.9999 SG_cosine=0.024 mean_log_Pi_g=0.272 | PC_activity_obj=511.2026 (per_unit 4.9922e-01) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.1940 test_acc=0.9456
[Step   160] CE_loss=0.2323 | VFE_final=411.2934 (IL_path=0.2902) | VFE_per_dof=0.2008 Delta_VFE_per_dof=-0.0073 | VFE_pred_term=0.0923 VFE_hidden_term=550.1039 logdet_Pi_y_sum=6.59 logdet_Pi_x_sum=271.22 | lambda_gate=0.000 (raw=0.493) | SG_objective=0.0909 | SG_relMSE=1.0001 SG_cosine=-0.014 mean_log_Pi_g=0.265 | PC_activity_obj=482.4680 (per_unit 4.7116e-01) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.56e-04 tol=1.00e-04 r=1.000 slope=-6.358e-05) | TrainAcc=0.938 TrainLoss=0.2087 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.946 TestLoss=0.1770
[Step   160] CE_loss=0.2323 | VFE_final=411.2934 (IL_path=0.2902) | VFE_per_dof=0.2008 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0923 VFE_hidden_term=550.1039 logdet_Pi_y_sum=6.59 logdet_Pi_x_sum=271.22 | lambda_gate=0.000 | SG_objective=0.0909 | SG_relMSE=1.0001 SG_cosine=-0.014 mean_log_Pi_g=0.265 | PC_activity_obj=482.4680 (per_unit 4.7116e-01) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.1770 test_acc=0.9464
[Step   180] CE_loss=0.1733 | VFE_final=400.0084 (IL_path=0.2794) | VFE_per_dof=0.1953 Delta_VFE_per_dof=-0.0050 | VFE_pred_term=0.0599 VFE_hidden_term=535.4943 logdet_Pi_y_sum=7.06 logdet_Pi_x_sum=264.04 | lambda_gate=0.000 (raw=0.500) | SG_objective=0.0789 | SG_relMSE=1.0000 SG_cosine=-0.001 mean_log_Pi_g=0.258 | PC_activity_obj=482.5889 (per_unit 4.7128e-01) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.26e-04 tol=1.00e-04 r=1.000 slope=-8.029e-05) | TrainAcc=0.969 TrainLoss=0.1497 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.955 TestLoss=0.1567
