JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.8550 | VFE_final=-71.9702 (IL_path=0.1231) | VFE_per_dof=-0.0351 Delta_VFE_per_dof=-0.0011 | VFE_pred_term=0.2544 VFE_hidden_term=94.7269 logdet_Pi_y_sum=3.27 logdet_Pi_x_sum=330.64 | lambda_gate=0.326 (raw=0.326) | SG_objective=0.0202 | SG_relMSE=1.0043 SG_cosine=-0.348 mean_log_Pi_g=0.323 | PC_activity_obj=69.0096 (per_unit 6.7392e-02) | PI_max_steps=32 | PI_est_total=32.0 PI_est_valid=1 (cap_hit=1 delta_last=1.30e-04 tol=1.00e-04 r=1.000 slope=-3.524e-05) | TrainAcc=0.828 TrainLoss=0.8403 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) | TestAcc=0.858 TestLoss=0.7955
[Step    20] CE_loss=0.8550 | VFE_final=-71.9702 (IL_path=0.1231) | VFE_per_dof=-0.0351 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.2544 VFE_hidden_term=94.7269 logdet_Pi_y_sum=3.27 logdet_Pi_x_sum=330.64 | lambda_gate=0.326 | SG_objective=0.0202 | SG_relMSE=1.0043 SG_cosine=-0.348 mean_log_Pi_g=0.323 | PC_activity_obj=69.0096 (per_unit 6.7392e-02) | PI_max_steps=32 | PC_steps=32 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) (total_proposals=32) | test_loss=0.7955 test_acc=0.8581
[Step    40] CE_loss=0.4386 | VFE_final=-91.0456 (IL_path=0.1295) | VFE_per_dof=-0.0445 Delta_VFE_per_dof=-0.0044 | VFE_pred_term=0.1351 VFE_hidden_term=99.1232 logdet_Pi_y_sum=3.80 logdet_Pi_x_sum=376.81 | lambda_gate=0.263 (raw=0.263) | SG_objective=0.0210 | SG_relMSE=1.0035 SG_cosine=-0.474 mean_log_Pi_g=0.368 | PC_activity_obj=71.4906 (per_unit 6.9815e-02) | PI_max_steps=32 | PI_est_total=32.0 PI_est_valid=1 (cap_hit=1 delta_last=1.06e-04 tol=1.00e-04 r=1.000 slope=-2.979e-05) | TrainAcc=0.914 TrainLoss=0.4389 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) | TestAcc=0.894 TestLoss=0.4843
[Step    40] CE_loss=0.4386 | VFE_final=-91.0456 (IL_path=0.1295) | VFE_per_dof=-0.0445 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1351 VFE_hidden_term=99.1232 logdet_Pi_y_sum=3.80 logdet_Pi_x_sum=376.81 | lambda_gate=0.263 | SG_objective=0.0210 | SG_relMSE=1.0035 SG_cosine=-0.474 mean_log_Pi_g=0.368 | PC_activity_obj=71.4906 (per_unit 6.9815e-02) | PI_max_steps=32 | PC_steps=32 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) (total_proposals=32) | test_loss=0.4843 test_acc=0.8936
[Step    60] CE_loss=0.3869 | VFE_final=-116.9635 (IL_path=0.1264) | VFE_per_dof=-0.0571 Delta_VFE_per_dof=-0.0007 | VFE_pred_term=0.1197 VFE_hidden_term=96.1232 logdet_Pi_y_sum=4.32 logdet_Pi_x_sum=422.09 | lambda_gate=0.376 (raw=0.376) | SG_objective=0.0157 | SG_relMSE=1.0021 SG_cosine=-0.249 mean_log_Pi_g=0.412 | PC_activity_obj=68.4539 (per_unit 6.6850e-02) | PI_max_steps=32 | PI_est_total=32.0 PI_est_valid=1 (cap_hit=1 delta_last=1.08e-04 tol=1.00e-04 r=1.000 slope=-3.706e-05) | TrainAcc=0.906 TrainLoss=0.3730 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) | TestAcc=0.912 TestLoss=0.3788
[Step    60] CE_loss=0.3869 | VFE_final=-116.9635 (IL_path=0.1264) | VFE_per_dof=-0.0571 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1197 VFE_hidden_term=96.1232 logdet_Pi_y_sum=4.32 logdet_Pi_x_sum=422.09 | lambda_gate=0.376 | SG_objective=0.0157 | SG_relMSE=1.0021 SG_cosine=-0.249 mean_log_Pi_g=0.412 | PC_activity_obj=68.4539 (per_unit 6.6850e-02) | PI_max_steps=32 | PC_steps=32 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) (total_proposals=32) | test_loss=0.3788 test_acc=0.9121
[Step    80] CE_loss=0.3408 | VFE_final=-153.5650 (IL_path=0.1095) | VFE_per_dof=-0.0750 Delta_VFE_per_dof=-0.0026 | VFE_pred_term=0.1018 VFE_hidden_term=82.3666 logdet_Pi_y_sum=4.83 logdet_Pi_x_sum=467.23 | lambda_gate=0.274 (raw=0.274) | SG_objective=0.0134 | SG_relMSE=1.0036 SG_cosine=-0.452 mean_log_Pi_g=0.456 | PC_activity_obj=57.2216 (per_unit 5.5880e-02) | PI_max_steps=32 | PI_est_total=32.0 PI_est_valid=1 (cap_hit=1 delta_last=1.04e-04 tol=1.00e-04 r=1.000 slope=-3.633e-05) | TrainAcc=0.930 TrainLoss=0.3193 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) | TestAcc=0.919 TestLoss=0.3177
[Step    80] CE_loss=0.3408 | VFE_final=-153.5650 (IL_path=0.1095) | VFE_per_dof=-0.0750 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1018 VFE_hidden_term=82.3666 logdet_Pi_y_sum=4.83 logdet_Pi_x_sum=467.23 | lambda_gate=0.274 | SG_objective=0.0134 | SG_relMSE=1.0036 SG_cosine=-0.452 mean_log_Pi_g=0.456 | PC_activity_obj=57.2216 (per_unit 5.5880e-02) | PI_max_steps=32 | PC_steps=32 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) (total_proposals=32) | test_loss=0.3177 test_acc=0.9191
[Step   100] CE_loss=0.3389 | VFE_final=-183.8548 (IL_path=0.1008) | VFE_per_dof=-0.0898 Delta_VFE_per_dof=-0.0022 | VFE_pred_term=0.1206 VFE_hidden_term=74.9768 logdet_Pi_y_sum=5.33 logdet_Pi_x_sum=512.58 | lambda_gate=0.315 (raw=0.315) | SG_objective=0.0102 | SG_relMSE=1.0039 SG_cosine=-0.369 mean_log_Pi_g=0.501 | PC_activity_obj=50.8666 (per_unit 4.9674e-02) | PI_max_steps=32 | PI_est_total=32.0 PI_est_valid=1 (cap_hit=1 delta_last=1.18e-04 tol=1.00e-04 r=1.000 slope=-3.233e-05) | TrainAcc=0.930 TrainLoss=0.3205 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) | TestAcc=0.923 TestLoss=0.3109
[Step   100] CE_loss=0.3389 | VFE_final=-183.8548 (IL_path=0.1008) | VFE_per_dof=-0.0898 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1206 VFE_hidden_term=74.9768 logdet_Pi_y_sum=5.33 logdet_Pi_x_sum=512.58 | lambda_gate=0.315 | SG_objective=0.0102 | SG_relMSE=1.0039 SG_cosine=-0.369 mean_log_Pi_g=0.501 | PC_activity_obj=50.8666 (per_unit 4.9674e-02) | PI_max_steps=32 | PC_steps=32 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) (total_proposals=32) | test_loss=0.3109 test_acc=0.9231
[Step   120] CE_loss=0.3085 | VFE_final=-201.7422 (IL_path=0.1087) | VFE_per_dof=-0.0985 Delta_VFE_per_dof=+0.0009 | VFE_pred_term=0.1040 VFE_hidden_term=79.8720 logdet_Pi_y_sum=5.80 logdet_Pi_x_sum=557.63 | lambda_gate=0.331 (raw=0.331) | SG_objective=0.0080 | SG_relMSE=1.0034 SG_cosine=-0.338 mean_log_Pi_g=0.545 | PC_activity_obj=52.6425 (per_unit 5.1409e-02) | PI_max_steps=32 | PI_est_total=32.0 PI_est_valid=1 (cap_hit=1 delta_last=1.14e-04 tol=1.00e-04 r=1.000 slope=-3.597e-05) | TrainAcc=0.930 TrainLoss=0.2907 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) | TestAcc=0.927 TestLoss=0.2780
