JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.5699 | VFE_final=-54.2966 (IL_path=0.0650) | VFE_per_dof=-0.0265 Delta_VFE_per_dof=-0.0036 | VFE_pred_term=0.1625 VFE_hidden_term=113.6478 logdet_Pi_y_sum=3.27 logdet_Pi_x_sum=332.94 | lambda_gate=0.323 (raw=0.323) | SG_objective=0.0195 | SG_relMSE=1.0034 SG_cosine=-0.354 mean_log_Pi_g=0.325 | PC_activity_obj=82.3980 (per_unit 8.0467e-02) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=2.08e-04 tol=2.00e-04 r=1.000 slope=-6.430e-05) | TrainAcc=0.906 TrainLoss=0.5334 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.851 TestLoss=0.5833
[Step    20] CE_loss=0.5699 | VFE_final=-54.2966 (IL_path=0.0650) | VFE_per_dof=-0.0265 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1625 VFE_hidden_term=113.6478 logdet_Pi_y_sum=3.27 logdet_Pi_x_sum=332.94 | lambda_gate=0.323 | SG_objective=0.0195 | SG_relMSE=1.0034 SG_cosine=-0.354 mean_log_Pi_g=0.325 | PC_activity_obj=82.3980 (per_unit 8.0467e-02) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.5833 test_acc=0.8512
[Step    40] CE_loss=0.4325 | VFE_final=-111.5982 (IL_path=0.0477) | VFE_per_dof=-0.0545 Delta_VFE_per_dof=-0.0096 | VFE_pred_term=0.1303 VFE_hidden_term=81.8717 logdet_Pi_y_sum=3.82 logdet_Pi_x_sum=383.38 | lambda_gate=0.317 (raw=0.317) | SG_objective=0.0110 | SG_relMSE=1.0045 SG_cosine=-0.366 mean_log_Pi_g=0.374 | PC_activity_obj=57.0717 (per_unit 5.5734e-02) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=2.16e-04 tol=2.00e-04 r=1.000 slope=-6.430e-05) | TrainAcc=0.930 TrainLoss=0.4184 (total_proposals=8, oracle_model=8/8, oracle_lp=8/8, metrics=8/8) | TestAcc=0.909 TestLoss=0.3880
[Step    40] CE_loss=0.4325 | VFE_final=-111.5982 (IL_path=0.0477) | VFE_per_dof=-0.0545 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1303 VFE_hidden_term=81.8717 logdet_Pi_y_sum=3.82 logdet_Pi_x_sum=383.38 | lambda_gate=0.317 | SG_objective=0.0110 | SG_relMSE=1.0045 SG_cosine=-0.366 mean_log_Pi_g=0.374 | PC_activity_obj=57.0717 (per_unit 5.5734e-02) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=8/8, oracle_lp=8/8, metrics=8/8) (total_proposals=8) | test_loss=0.3880 test_acc=0.9086
[Step    60] CE_loss=0.3983 | VFE_final=-146.0596 (IL_path=0.0435) | VFE_per_dof=-0.0713 Delta_VFE_per_dof=-0.0045 | VFE_pred_term=0.1197 VFE_hidden_term=73.1413 logdet_Pi_y_sum=4.35 logdet_Pi_x_sum=434.29 | lambda_gate=0.350 (raw=0.350) | SG_objective=0.0119 | SG_relMSE=1.0029 SG_cosine=-0.300 mean_log_Pi_g=0.424 | PC_activity_obj=48.5743 (per_unit 4.7436e-02) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=2.32e-04 tol=2.00e-04 r=1.000 slope=-7.012e-05) | TrainAcc=0.906 TrainLoss=0.3876 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.933 TestLoss=0.3318
[Step    60] CE_loss=0.3983 | VFE_final=-146.0596 (IL_path=0.0435) | VFE_per_dof=-0.0713 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1197 VFE_hidden_term=73.1413 logdet_Pi_y_sum=4.35 logdet_Pi_x_sum=434.29 | lambda_gate=0.350 | SG_objective=0.0119 | SG_relMSE=1.0029 SG_cosine=-0.300 mean_log_Pi_g=0.424 | PC_activity_obj=48.5743 (per_unit 4.7436e-02) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.3318 test_acc=0.9328
[Step    80] CE_loss=0.2611 | VFE_final=-166.9897 (IL_path=0.0135) | VFE_per_dof=-0.0815 Delta_VFE_per_dof=-0.0011 | VFE_pred_term=0.0724 VFE_hidden_term=77.8336 logdet_Pi_y_sum=4.85 logdet_Pi_x_sum=484.94 | lambda_gate=0.275 (raw=0.275) | SG_objective=0.0093 | SG_relMSE=1.0046 SG_cosine=-0.449 mean_log_Pi_g=0.474 | PC_activity_obj=49.3368 (per_unit 4.8180e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.90e-04 tol=2.00e-04 r=1.000 slope=-6.358e-05) | TrainAcc=0.977 TrainLoss=0.2362 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.938 TestLoss=0.2714
[Step    80] CE_loss=0.2611 | VFE_final=-166.9897 (IL_path=0.0135) | VFE_per_dof=-0.0815 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0724 VFE_hidden_term=77.8336 logdet_Pi_y_sum=4.85 logdet_Pi_x_sum=484.94 | lambda_gate=0.275 | SG_objective=0.0093 | SG_relMSE=1.0046 SG_cosine=-0.449 mean_log_Pi_g=0.474 | PC_activity_obj=49.3368 (per_unit 4.8180e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2714 test_acc=0.9383
[Step   100] CE_loss=0.2738 | VFE_final=-187.4532 (IL_path=0.0510) | VFE_per_dof=-0.0915 Delta_VFE_per_dof=+0.0008 | VFE_pred_term=0.0883 VFE_hidden_term=82.3130 logdet_Pi_y_sum=5.34 logdet_Pi_x_sum=534.37 | lambda_gate=0.303 (raw=0.303) | SG_objective=0.0101 | SG_relMSE=1.0038 SG_cosine=-0.394 mean_log_Pi_g=0.522 | PC_activity_obj=49.6831 (per_unit 4.8519e-02) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=2.20e-04 tol=2.00e-04 r=1.000 slope=-6.903e-05) | TrainAcc=0.930 TrainLoss=0.2484 (total_proposals=8, oracle_model=8/8, oracle_lp=8/8, metrics=8/8) | TestAcc=0.941 TestLoss=0.2385
[Step   100] CE_loss=0.2738 | VFE_final=-187.4532 (IL_path=0.0510) | VFE_per_dof=-0.0915 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0883 VFE_hidden_term=82.3130 logdet_Pi_y_sum=5.34 logdet_Pi_x_sum=534.37 | lambda_gate=0.303 | SG_objective=0.0101 | SG_relMSE=1.0038 SG_cosine=-0.394 mean_log_Pi_g=0.522 | PC_activity_obj=49.6831 (per_unit 4.8519e-02) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=8/8, oracle_lp=8/8, metrics=8/8) (total_proposals=8) | test_loss=0.2385 test_acc=0.9409
[Step   120] CE_loss=0.2113 | VFE_final=-222.7123 (IL_path=0.0129) | VFE_per_dof=-0.1087 Delta_VFE_per_dof=+0.0014 | VFE_pred_term=0.0635 VFE_hidden_term=71.3743 logdet_Pi_y_sum=5.81 logdet_Pi_x_sum=582.49 | lambda_gate=0.327 (raw=0.327) | SG_objective=0.0089 | SG_relMSE=1.0037 SG_cosine=-0.346 mean_log_Pi_g=0.569 | PC_activity_obj=40.9665 (per_unit 4.0006e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=2.00e-04 tol=2.00e-04 r=1.000 slope=-7.629e-05) | TrainAcc=0.977 TrainLoss=0.1831 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.945 TestLoss=0.2463
