JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.5290 | VFE_final=-64.8930 (IL_path=0.1869) | VFE_per_dof=-0.0317 Delta_VFE_per_dof=-0.0016 | VFE_pred_term=0.1443 VFE_hidden_term=103.2062 logdet_Pi_y_sum=3.28 logdet_Pi_x_sum=333.21 | lambda_gate=0.290 (raw=0.290) | SG_objective=0.0146 | SG_relMSE=1.0045 SG_cosine=-0.421 mean_log_Pi_g=0.325 | PC_activity_obj=74.7293 (per_unit 7.2978e-02) | PI_max_steps=32 | PI_est_total=32.0 PI_est_valid=1 (cap_hit=1 delta_last=1.43e-04 tol=1.00e-04 r=1.000 slope=-4.469e-05) | TrainAcc=0.914 TrainLoss=0.4862 (total_proposals=32, oracle_model=32/32, oracle_lp=32/32, metrics=32/32) | TestAcc=0.862 TestLoss=0.5446
[Step    20] CE_loss=0.5290 | VFE_final=-64.8930 (IL_path=0.1869) | VFE_per_dof=-0.0317 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1443 VFE_hidden_term=103.2062 logdet_Pi_y_sum=3.28 logdet_Pi_x_sum=333.21 | lambda_gate=0.290 | SG_objective=0.0146 | SG_relMSE=1.0045 SG_cosine=-0.421 mean_log_Pi_g=0.325 | PC_activity_obj=74.7293 (per_unit 7.2978e-02) | PI_max_steps=32 | PC_steps=32 (total_proposals=32, oracle_model=32/32, oracle_lp=32/32, metrics=32/32) (total_proposals=32) | test_loss=0.5446 test_acc=0.8617
[Step    40] CE_loss=0.3939 | VFE_final=-117.3141 (IL_path=0.1432) | VFE_per_dof=-0.0573 Delta_VFE_per_dof=-0.0093 | VFE_pred_term=0.1157 VFE_hidden_term=77.4111 logdet_Pi_y_sum=3.83 logdet_Pi_x_sum=385.85 | lambda_gate=0.304 (raw=0.304) | SG_objective=0.0098 | SG_relMSE=1.0049 SG_cosine=-0.391 mean_log_Pi_g=0.377 | PC_activity_obj=53.4854 (per_unit 5.2232e-02) | PI_max_steps=32 | PI_est_total=32.0 PI_est_valid=1 (cap_hit=1 delta_last=1.51e-04 tol=1.00e-04 r=1.000 slope=-4.360e-05) | TrainAcc=0.930 TrainLoss=0.3776 (total_proposals=32, oracle_model=32/32, oracle_lp=32/32, metrics=32/32) | TestAcc=0.914 TestLoss=0.3625
[Step    40] CE_loss=0.3939 | VFE_final=-117.3141 (IL_path=0.1432) | VFE_per_dof=-0.0573 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1157 VFE_hidden_term=77.4111 logdet_Pi_y_sum=3.83 logdet_Pi_x_sum=385.85 | lambda_gate=0.304 | SG_objective=0.0098 | SG_relMSE=1.0049 SG_cosine=-0.391 mean_log_Pi_g=0.377 | PC_activity_obj=53.4854 (per_unit 5.2232e-02) | PI_max_steps=32 | PC_steps=32 (total_proposals=32, oracle_model=32/32, oracle_lp=32/32, metrics=32/32) (total_proposals=32) | test_loss=0.3625 test_acc=0.9136
[Step    60] CE_loss=0.3559 | VFE_final=-148.9389 (IL_path=0.1367) | VFE_per_dof=-0.0727 Delta_VFE_per_dof=-0.0040 | VFE_pred_term=0.1076 VFE_hidden_term=72.2260 logdet_Pi_y_sum=4.35 logdet_Pi_x_sum=438.19 | lambda_gate=0.304 (raw=0.304) | SG_objective=0.0080 | SG_relMSE=1.0044 SG_cosine=-0.393 mean_log_Pi_g=0.428 | PC_activity_obj=47.3508 (per_unit 4.6241e-02) | PI_max_steps=32 | PI_est_total=32.0 PI_est_valid=1 (cap_hit=1 delta_last=1.63e-04 tol=1.00e-04 r=1.000 slope=-4.541e-05) | TrainAcc=0.914 TrainLoss=0.3430 (total_proposals=32, oracle_model=32/32, oracle_lp=32/32, metrics=32/32) | TestAcc=0.937 TestLoss=0.3046
[Step    60] CE_loss=0.3559 | VFE_final=-148.9389 (IL_path=0.1367) | VFE_per_dof=-0.0727 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1076 VFE_hidden_term=72.2260 logdet_Pi_y_sum=4.35 logdet_Pi_x_sum=438.19 | lambda_gate=0.304 | SG_objective=0.0080 | SG_relMSE=1.0044 SG_cosine=-0.393 mean_log_Pi_g=0.428 | PC_activity_obj=47.3508 (per_unit 4.6241e-02) | PI_max_steps=32 | PC_steps=32 (total_proposals=32, oracle_model=32/32, oracle_lp=32/32, metrics=32/32) (total_proposals=32) | test_loss=0.3046 test_acc=0.9373
[Step    80] CE_loss=0.2342 | VFE_final=-171.7511 (IL_path=0.1458) | VFE_per_dof=-0.0839 Delta_VFE_per_dof=-0.0006 | VFE_pred_term=0.0622 VFE_hidden_term=75.4274 logdet_Pi_y_sum=4.86 logdet_Pi_x_sum=489.63 | lambda_gate=0.297 (raw=0.297) | SG_objective=0.0088 | SG_relMSE=1.0040 SG_cosine=-0.406 mean_log_Pi_g=0.478 | PC_activity_obj=47.0226 (per_unit 4.5921e-02) | PI_max_steps=32 | PI_est_total=32.0 PI_est_valid=1 (cap_hit=1 delta_last=1.32e-04 tol=1.00e-04 r=1.000 slope=-5.086e-05) | TrainAcc=0.969 TrainLoss=0.2099 (total_proposals=32, oracle_model=32/32, oracle_lp=32/32, metrics=32/32) | TestAcc=0.941 TestLoss=0.2547
[Step    80] CE_loss=0.2342 | VFE_final=-171.7511 (IL_path=0.1458) | VFE_per_dof=-0.0839 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0622 VFE_hidden_term=75.4274 logdet_Pi_y_sum=4.86 logdet_Pi_x_sum=489.63 | lambda_gate=0.297 | SG_objective=0.0088 | SG_relMSE=1.0040 SG_cosine=-0.406 mean_log_Pi_g=0.478 | PC_activity_obj=47.0226 (per_unit 4.5921e-02) | PI_max_steps=32 | PC_steps=32 (total_proposals=32, oracle_model=32/32, oracle_lp=32/32, metrics=32/32) (total_proposals=32) | test_loss=0.2547 test_acc=0.9407
[Step   100] CE_loss=0.2587 | VFE_final=-192.5793 (IL_path=0.1574) | VFE_per_dof=-0.0940 Delta_VFE_per_dof=+0.0010 | VFE_pred_term=0.0818 VFE_hidden_term=79.8322 logdet_Pi_y_sum=5.34 logdet_Pi_x_sum=539.65 | lambda_gate=0.308 (raw=0.308) | SG_objective=0.0092 | SG_relMSE=1.0038 SG_cosine=-0.384 mean_log_Pi_g=0.527 | PC_activity_obj=47.3578 (per_unit 4.6248e-02) | PI_max_steps=32 | PI_est_total=32.0 PI_est_valid=1 (cap_hit=1 delta_last=1.60e-04 tol=1.00e-04 r=1.000 slope=-4.723e-05) | TrainAcc=0.938 TrainLoss=0.2310 (total_proposals=32, oracle_model=32/32, oracle_lp=32/32, metrics=32/32) | TestAcc=0.943 TestLoss=0.2237
[Step   100] CE_loss=0.2587 | VFE_final=-192.5793 (IL_path=0.1574) | VFE_per_dof=-0.0940 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0818 VFE_hidden_term=79.8322 logdet_Pi_y_sum=5.34 logdet_Pi_x_sum=539.65 | lambda_gate=0.308 | SG_objective=0.0092 | SG_relMSE=1.0038 SG_cosine=-0.384 mean_log_Pi_g=0.527 | PC_activity_obj=47.3578 (per_unit 4.6248e-02) | PI_max_steps=32 | PC_steps=32 (total_proposals=32, oracle_model=32/32, oracle_lp=32/32, metrics=32/32) (total_proposals=32) | test_loss=0.2237 test_acc=0.9432
[Step   120] CE_loss=0.1859 | VFE_final=-228.3743 (IL_path=0.1376) | VFE_per_dof=-0.1115 Delta_VFE_per_dof=+0.0010 | VFE_pred_term=0.0549 VFE_hidden_term=68.5410 logdet_Pi_y_sum=5.81 logdet_Pi_x_sum=588.13 | lambda_gate=0.310 (raw=0.310) | SG_objective=0.0074 | SG_relMSE=1.0041 SG_cosine=-0.380 mean_log_Pi_g=0.574 | PC_activity_obj=38.7382 (per_unit 3.7830e-02) | PI_max_steps=32 | PI_est_total=32.0 PI_est_valid=1 (cap_hit=1 delta_last=1.40e-04 tol=1.00e-04 r=1.000 slope=-5.413e-05) | TrainAcc=0.984 TrainLoss=0.1607 (total_proposals=32, oracle_model=32/32, oracle_lp=32/32, metrics=32/32) | TestAcc=0.951 TestLoss=0.2295
[Step   120] CE_loss=0.1859 | VFE_final=-228.3743 (IL_path=0.1376) | VFE_per_dof=-0.1115 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0549 VFE_hidden_term=68.5410 logdet_Pi_y_sum=5.81 logdet_Pi_x_sum=588.13 | lambda_gate=0.310 | SG_objective=0.0074 | SG_relMSE=1.0041 SG_cosine=-0.380 mean_log_Pi_g=0.574 | PC_activity_obj=38.7382 (per_unit 3.7830e-02) | PI_max_steps=32 | PC_steps=32 (total_proposals=32, oracle_model=32/32, oracle_lp=32/32, metrics=32/32) (total_proposals=32) | test_loss=0.2295 test_acc=0.9510
[Step   140] CE_loss=0.1964 | VFE_final=-250.0458 (IL_path=0.1440) | VFE_per_dof=-0.1221 Delta_VFE_per_dof=+0.0017 | VFE_pred_term=0.0670 VFE_hidden_term=70.6343 logdet_Pi_y_sum=6.26 logdet_Pi_x_sum=635.23 | lambda_gate=0.353 (raw=0.353) | SG_objective=0.0086 | SG_relMSE=1.0027 SG_cosine=-0.293 mean_log_Pi_g=0.620 | PC_activity_obj=38.2019 (per_unit 3.7307e-02) | PI_max_steps=32 | PI_est_total=32.0 PI_est_valid=1 (cap_hit=1 delta_last=1.60e-04 tol=1.00e-04 r=1.000 slope=-5.377e-05) | TrainAcc=0.977 TrainLoss=0.1749 (total_proposals=32, oracle_model=32/32, oracle_lp=32/32, metrics=32/32) | TestAcc=0.951 TestLoss=0.2083
[Step   140] CE_loss=0.1964 | VFE_final=-250.0458 (IL_path=0.1440) | VFE_per_dof=-0.1221 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0670 VFE_hidden_term=70.6343 logdet_Pi_y_sum=6.26 logdet_Pi_x_sum=635.23 | lambda_gate=0.353 | SG_objective=0.0086 | SG_relMSE=1.0027 SG_cosine=-0.293 mean_log_Pi_g=0.620 | PC_activity_obj=38.2019 (per_unit 3.7307e-02) | PI_max_steps=32 | PC_steps=32 (total_proposals=32, oracle_model=32/32, oracle_lp=32/32, metrics=32/32) (total_proposals=32) | test_loss=0.2083 test_acc=0.9508
[Step   160] CE_loss=0.2701 | VFE_final=-282.8505 (IL_path=0.1261) | VFE_per_dof=-0.1381 Delta_VFE_per_dof=-0.0035 | VFE_pred_term=0.0975 VFE_hidden_term=60.9001 logdet_Pi_y_sum=6.70 logdet_Pi_x_sum=680.99 | lambda_gate=0.365 (raw=0.365) | SG_objective=0.0080 | SG_relMSE=1.0031 SG_cosine=-0.270 mean_log_Pi_g=0.665 | PC_activity_obj=31.4923 (per_unit 3.0754e-02) | PI_max_steps=32 | PI_est_total=32.0 PI_est_valid=1 (cap_hit=1 delta_last=2.04e-04 tol=1.00e-04 r=1.000 slope=-5.704e-05) | TrainAcc=0.938 TrainLoss=0.2441 (total_proposals=32, oracle_model=32/32, oracle_lp=32/32, metrics=32/32) | TestAcc=0.949 TestLoss=0.2239
[Step   160] CE_loss=0.2701 | VFE_final=-282.8505 (IL_path=0.1261) | VFE_per_dof=-0.1381 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0975 VFE_hidden_term=60.9001 logdet_Pi_y_sum=6.70 logdet_Pi_x_sum=680.99 | lambda_gate=0.365 | SG_objective=0.0080 | SG_relMSE=1.0031 SG_cosine=-0.270 mean_log_Pi_g=0.665 | PC_activity_obj=31.4923 (per_unit 3.0754e-02) | PI_max_steps=32 | PC_steps=32 (total_proposals=32, oracle_model=32/32, oracle_lp=32/32, metrics=32/32) (total_proposals=32) | test_loss=0.2239 test_acc=0.9491
[Step   180] CE_loss=0.2545 | VFE_final=-311.3808 (IL_path=0.1148) | VFE_per_dof=-0.1520 Delta_VFE_per_dof=-0.0034 | VFE_pred_term=0.0982 VFE_hidden_term=54.7321 logdet_Pi_y_sum=7.13 logdet_Pi_x_sum=725.30 | lambda_gate=0.308 (raw=0.308) | SG_objective=0.0062 | SG_relMSE=1.0054 SG_cosine=-0.385 mean_log_Pi_g=0.708 | PC_activity_obj=27.0998 (per_unit 2.6465e-02) | PI_max_steps=32 | PI_est_total=32.0 PI_est_valid=1 (cap_hit=1 delta_last=2.04e-04 tol=1.00e-04 r=1.000 slope=-5.777e-05) | TrainAcc=0.961 TrainLoss=0.2331 (total_proposals=32, oracle_model=32/32, oracle_lp=32/32, metrics=32/32) | TestAcc=0.957 TestLoss=0.2083
[Step   180] CE_loss=0.2545 | VFE_final=-311.3808 (IL_path=0.1148) | VFE_per_dof=-0.1520 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0982 VFE_hidden_term=54.7321 logdet_Pi_y_sum=7.13 logdet_Pi_x_sum=725.30 | lambda_gate=0.308 | SG_objective=0.0062 | SG_relMSE=1.0054 SG_cosine=-0.385 mean_log_Pi_g=0.708 | PC_activity_obj=27.0998 (per_unit 2.6465e-02) | PI_max_steps=32 | PC_steps=32 (total_proposals=32, oracle_model=32/32, oracle_lp=32/32, metrics=32/32) (total_proposals=32) | test_loss=0.2083 test_acc=0.9572
[Step   200] CE_loss=0.2103 | VFE_final=-321.8144 (IL_path=0.1403) | VFE_per_dof=-0.1571 Delta_VFE_per_dof=-0.0028 | VFE_pred_term=0.0800 VFE_hidden_term=65.9953 logdet_Pi_y_sum=7.54 logdet_Pi_x_sum=768.24 | lambda_gate=0.377 (raw=0.377) | SG_objective=0.0092 | SG_relMSE=1.0025 SG_cosine=-0.246 mean_log_Pi_g=0.750 | PC_activity_obj=31.3638 (per_unit 3.0629e-02) | PI_max_steps=32 | PI_est_total=32.0 PI_est_valid=1 (cap_hit=1 delta_last=1.88e-04 tol=1.00e-04 r=1.000 slope=-6.975e-05) | TrainAcc=0.938 TrainLoss=0.1896 (total_proposals=32, oracle_model=32/32, oracle_lp=32/32, metrics=32/32) | TestAcc=0.959 TestLoss=0.1739
