JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.3943 | VFE_final=802.2421 (IL_path=0.5387) | VFE_per_dof=0.3917 Delta_VFE_per_dof=+0.0147 | VFE_pred_term=0.1160 VFE_hidden_term=958.0503 logdet_Pi_y_sum=3.25 logdet_Pi_x_sum=308.60 | lambda_gate=0.000 (raw=0.510) | SG_objective=0.2603 | SG_relMSE=0.9999 SG_cosine=0.019 mean_log_Pi_g=0.301 | PC_activity_obj=722.7974 (per_unit 7.0586e-01) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.65e-04 tol=1.00e-04 r=1.000 slope=-5.668e-05) | TrainAcc=0.875 TrainLoss=0.3470 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.848 TestLoss=0.4610
[Step    20] CE_loss=0.3943 | VFE_final=802.2421 (IL_path=0.5387) | VFE_per_dof=0.3917 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1160 VFE_hidden_term=958.0503 logdet_Pi_y_sum=3.25 logdet_Pi_x_sum=308.60 | lambda_gate=0.000 | SG_objective=0.2603 | SG_relMSE=0.9999 SG_cosine=0.019 mean_log_Pi_g=0.301 | PC_activity_obj=722.7974 (per_unit 7.0586e-01) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.4610 test_acc=0.8479
[Step    40] CE_loss=0.3797 | VFE_final=688.8071 (IL_path=0.4619) | VFE_per_dof=0.3363 Delta_VFE_per_dof=-0.0164 | VFE_pred_term=0.1162 VFE_hidden_term=838.5353 logdet_Pi_y_sum=3.64 logdet_Pi_x_sum=296.05 | lambda_gate=0.000 (raw=0.520) | SG_objective=0.2135 | SG_relMSE=0.9997 SG_cosine=0.040 mean_log_Pi_g=0.289 | PC_activity_obj=660.3900 (per_unit 6.4491e-01) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.66e-04 tol=1.00e-04 r=1.000 slope=-6.612e-05) | TrainAcc=0.898 TrainLoss=0.3222 (total_proposals=8, oracle_model=8/8, oracle_lp=8/8, metrics=8/8) | TestAcc=0.895 TestLoss=0.3469
[Step    40] CE_loss=0.3797 | VFE_final=688.8071 (IL_path=0.4619) | VFE_per_dof=0.3363 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1162 VFE_hidden_term=838.5353 logdet_Pi_y_sum=3.64 logdet_Pi_x_sum=296.05 | lambda_gate=0.000 | SG_objective=0.2135 | SG_relMSE=0.9997 SG_cosine=0.040 mean_log_Pi_g=0.289 | PC_activity_obj=660.3900 (per_unit 6.4491e-01) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=8/8, oracle_lp=8/8, metrics=8/8) (total_proposals=8) | test_loss=0.3469 test_acc=0.8947
[Step    60] CE_loss=0.3909 | VFE_final=572.2115 (IL_path=0.3867) | VFE_per_dof=0.2794 Delta_VFE_per_dof=-0.0137 | VFE_pred_term=0.1134 VFE_hidden_term=715.2058 logdet_Pi_y_sum=4.04 logdet_Pi_x_sum=282.18 | lambda_gate=0.000 (raw=0.520) | SG_objective=0.1880 | SG_relMSE=0.9997 SG_cosine=0.039 mean_log_Pi_g=0.276 | PC_activity_obj=585.3009 (per_unit 5.7158e-01) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.68e-04 tol=1.00e-04 r=1.000 slope=-5.341e-05) | TrainAcc=0.898 TrainLoss=0.3524 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.909 TestLoss=0.3048
[Step    60] CE_loss=0.3909 | VFE_final=572.2115 (IL_path=0.3867) | VFE_per_dof=0.2794 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1134 VFE_hidden_term=715.2058 logdet_Pi_y_sum=4.04 logdet_Pi_x_sum=282.18 | lambda_gate=0.000 | SG_objective=0.1880 | SG_relMSE=0.9997 SG_cosine=0.039 mean_log_Pi_g=0.276 | PC_activity_obj=585.3009 (per_unit 5.7158e-01) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.3048 test_acc=0.9094
[Step    80] CE_loss=0.2284 | VFE_final=470.3222 (IL_path=0.3251) | VFE_per_dof=0.2296 Delta_VFE_per_dof=+0.0091 | VFE_pred_term=0.0648 VFE_hidden_term=610.0721 logdet_Pi_y_sum=4.50 logdet_Pi_x_sum=275.12 | lambda_gate=0.000 (raw=0.500) | SG_objective=0.1178 | SG_relMSE=1.0000 SG_cosine=0.000 mean_log_Pi_g=0.269 | PC_activity_obj=515.0792 (per_unit 5.0301e-01) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.28e-04 tol=1.00e-04 r=1.000 slope=-6.685e-05) | TrainAcc=0.953 TrainLoss=0.1958 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.930 TestLoss=0.2368
[Step    80] CE_loss=0.2284 | VFE_final=470.3222 (IL_path=0.3251) | VFE_per_dof=0.2296 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0648 VFE_hidden_term=610.0721 logdet_Pi_y_sum=4.50 logdet_Pi_x_sum=275.12 | lambda_gate=0.000 | SG_objective=0.1178 | SG_relMSE=1.0000 SG_cosine=0.000 mean_log_Pi_g=0.269 | PC_activity_obj=515.0792 (per_unit 5.0301e-01) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.2368 test_acc=0.9305
[Step   100] CE_loss=0.2146 | VFE_final=486.4576 (IL_path=0.3316) | VFE_per_dof=0.2375 Delta_VFE_per_dof=+0.0114 | VFE_pred_term=0.0721 VFE_hidden_term=625.1484 logdet_Pi_y_sum=5.03 logdet_Pi_x_sum=272.50 | lambda_gate=0.000 (raw=0.502) | SG_objective=0.1200 | SG_relMSE=1.0000 SG_cosine=0.005 mean_log_Pi_g=0.266 | PC_activity_obj=534.8414 (per_unit 5.2231e-01) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.36e-04 tol=1.00e-04 r=1.000 slope=-6.067e-05) | TrainAcc=0.953 TrainLoss=0.1810 (total_proposals=8, oracle_model=8/8, oracle_lp=8/8, metrics=8/8) | TestAcc=0.935 TestLoss=0.2110
[Step   100] CE_loss=0.2146 | VFE_final=486.4576 (IL_path=0.3316) | VFE_per_dof=0.2375 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0721 VFE_hidden_term=625.1484 logdet_Pi_y_sum=5.03 logdet_Pi_x_sum=272.50 | lambda_gate=0.000 | SG_objective=0.1200 | SG_relMSE=1.0000 SG_cosine=0.005 mean_log_Pi_g=0.266 | PC_activity_obj=534.8414 (per_unit 5.2231e-01) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=8/8, oracle_lp=8/8, metrics=8/8) (total_proposals=8) | test_loss=0.2110 test_acc=0.9353
[Step   120] CE_loss=0.1672 | VFE_final=499.2306 (IL_path=0.3362) | VFE_per_dof=0.2438 Delta_VFE_per_dof=+0.0028 | VFE_pred_term=0.0511 VFE_hidden_term=634.6623 logdet_Pi_y_sum=5.54 logdet_Pi_x_sum=265.43 | lambda_gate=0.000 (raw=0.508) | SG_objective=0.1184 | SG_relMSE=0.9999 SG_cosine=0.017 mean_log_Pi_g=0.259 | PC_activity_obj=547.1986 (per_unit 5.3437e-01) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.20e-04 tol=1.00e-04 r=1.000 slope=-5.413e-05) | TrainAcc=0.969 TrainLoss=0.1318 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.936 TestLoss=0.2137
