JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.4996 | VFE_final=774.3314 (IL_path=0.1079) | VFE_per_dof=0.3781 Delta_VFE_per_dof=+0.0303 | VFE_pred_term=0.1433 VFE_hidden_term=934.2061 logdet_Pi_y_sum=3.26 logdet_Pi_x_sum=316.77 | lambda_gate=0.000 (raw=0.501) | SG_objective=0.2047 | SG_relMSE=1.0000 SG_cosine=0.002 mean_log_Pi_g=0.309 | PC_activity_obj=694.5952 (per_unit 6.7832e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.30e-04 tol=5.00e-04 r=1.000 slope=-4.450e-05) | TrainAcc=0.852 TrainLoss=0.4512 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.872 TestLoss=0.4209
[Step    20] CE_loss=0.4996 | VFE_final=774.3314 (IL_path=0.1079) | VFE_per_dof=0.3781 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1433 VFE_hidden_term=934.2061 logdet_Pi_y_sum=3.26 logdet_Pi_x_sum=316.77 | lambda_gate=0.000 | SG_objective=0.2047 | SG_relMSE=1.0000 SG_cosine=0.002 mean_log_Pi_g=0.309 | PC_activity_obj=694.5952 (per_unit 6.7832e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.4209 test_acc=0.8719
[Step    40] CE_loss=0.2748 | VFE_final=729.6136 (IL_path=0.1005) | VFE_per_dof=0.3563 Delta_VFE_per_dof=-0.0012 | VFE_pred_term=0.0852 VFE_hidden_term=885.5513 logdet_Pi_y_sum=3.68 logdet_Pi_x_sum=308.36 | lambda_gate=0.000 (raw=0.512) | SG_objective=0.2303 | SG_relMSE=0.9999 SG_cosine=0.025 mean_log_Pi_g=0.301 | PC_activity_obj=683.5927 (per_unit 6.6757e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.02e-04 tol=5.00e-04 r=1.000 slope=-7.121e-05) | TrainAcc=0.914 TrainLoss=0.2412 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.907 TestLoss=0.3206
[Step    40] CE_loss=0.2748 | VFE_final=729.6136 (IL_path=0.1005) | VFE_per_dof=0.3563 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0852 VFE_hidden_term=885.5513 logdet_Pi_y_sum=3.68 logdet_Pi_x_sum=308.36 | lambda_gate=0.000 | SG_objective=0.2303 | SG_relMSE=0.9999 SG_cosine=0.025 mean_log_Pi_g=0.301 | PC_activity_obj=683.5927 (per_unit 6.6757e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.3206 test_acc=0.9074
[Step    60] CE_loss=0.3297 | VFE_final=570.2037 (IL_path=0.0800) | VFE_per_dof=0.2784 Delta_VFE_per_dof=-0.0027 | VFE_pred_term=0.0938 VFE_hidden_term=719.2859 logdet_Pi_y_sum=4.09 logdet_Pi_x_sum=294.26 | lambda_gate=0.000 (raw=0.514) | SG_objective=0.1685 | SG_relMSE=0.9998 SG_cosine=0.027 mean_log_Pi_g=0.287 | PC_activity_obj=579.2520 (per_unit 5.6568e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.09e-04 tol=5.00e-04 r=1.000 slope=-4.705e-05) | TrainAcc=0.922 TrainLoss=0.2825 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.908 TestLoss=0.3017
[Step    60] CE_loss=0.3297 | VFE_final=570.2037 (IL_path=0.0800) | VFE_per_dof=0.2784 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0938 VFE_hidden_term=719.2859 logdet_Pi_y_sum=4.09 logdet_Pi_x_sum=294.26 | lambda_gate=0.000 | SG_objective=0.1685 | SG_relMSE=0.9998 SG_cosine=0.027 mean_log_Pi_g=0.287 | PC_activity_obj=579.2520 (per_unit 5.6568e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.3017 test_acc=0.9084
[Step    80] CE_loss=0.2260 | VFE_final=504.8149 (IL_path=0.0714) | VFE_per_dof=0.2465 Delta_VFE_per_dof=-0.0088 | VFE_pred_term=0.0668 VFE_hidden_term=650.2434 logdet_Pi_y_sum=4.55 logdet_Pi_x_sum=286.44 | lambda_gate=0.000 (raw=0.502) | SG_objective=0.1681 | SG_relMSE=1.0000 SG_cosine=0.004 mean_log_Pi_g=0.280 | PC_activity_obj=537.8781 (per_unit 5.2527e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=9.14e-05 tol=5.00e-04 r=1.000 slope=-3.179e-05) | TrainAcc=0.938 TrainLoss=0.1962 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.930 TestLoss=0.2420
[Step    80] CE_loss=0.2260 | VFE_final=504.8149 (IL_path=0.0714) | VFE_per_dof=0.2465 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0668 VFE_hidden_term=650.2434 logdet_Pi_y_sum=4.55 logdet_Pi_x_sum=286.44 | lambda_gate=0.000 | SG_objective=0.1681 | SG_relMSE=1.0000 SG_cosine=0.004 mean_log_Pi_g=0.280 | PC_activity_obj=537.8781 (per_unit 5.2527e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2420 test_acc=0.9297
[Step   100] CE_loss=0.2466 | VFE_final=377.9386 (IL_path=0.0568) | VFE_per_dof=0.1845 Delta_VFE_per_dof=-0.0323 | VFE_pred_term=0.0845 VFE_hidden_term=520.9059 logdet_Pi_y_sum=5.03 logdet_Pi_x_sum=281.07 | lambda_gate=0.000 (raw=0.488) | SG_objective=0.1110 | SG_relMSE=1.0001 SG_cosine=-0.023 mean_log_Pi_g=0.274 | PC_activity_obj=438.4879 (per_unit 4.2821e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.03e-04 tol=5.00e-04 r=1.000 slope=-5.341e-05) | TrainAcc=0.938 TrainLoss=0.2040 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.932 TestLoss=0.2375
[Step   100] CE_loss=0.2466 | VFE_final=377.9386 (IL_path=0.0568) | VFE_per_dof=0.1845 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0845 VFE_hidden_term=520.9059 logdet_Pi_y_sum=5.03 logdet_Pi_x_sum=281.07 | lambda_gate=0.000 | SG_objective=0.1110 | SG_relMSE=1.0001 SG_cosine=-0.023 mean_log_Pi_g=0.274 | PC_activity_obj=438.4879 (per_unit 4.2821e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2375 test_acc=0.9316
[Step   120] CE_loss=0.2608 | VFE_final=430.3112 (IL_path=0.0624) | VFE_per_dof=0.2101 Delta_VFE_per_dof=+0.0085 | VFE_pred_term=0.0820 VFE_hidden_term=574.1598 logdet_Pi_y_sum=5.60 logdet_Pi_x_sum=282.26 | lambda_gate=0.000 (raw=0.512) | SG_objective=0.0857 | SG_relMSE=0.9999 SG_cosine=0.024 mean_log_Pi_g=0.276 | PC_activity_obj=489.8401 (per_unit 4.7836e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.04e-04 tol=5.00e-04 r=1.000 slope=-4.450e-05) | TrainAcc=0.945 TrainLoss=0.2256 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.939 TestLoss=0.2079
