JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.8520 | VFE_final=-70.1304 (IL_path=0.0112) | VFE_per_dof=-0.0342 Delta_VFE_per_dof=-0.0004 | VFE_pred_term=0.2529 VFE_hidden_term=96.5672 logdet_Pi_y_sum=3.27 logdet_Pi_x_sum=330.63 | lambda_gate=0.320 (raw=0.320) | SG_objective=0.0193 | SG_relMSE=1.0046 SG_cosine=-0.360 mean_log_Pi_g=0.323 | PC_activity_obj=70.3416 (per_unit 6.8693e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.80e-04 tol=2.00e-04 r=1.000 slope=-4.323e-05) | TrainAcc=0.828 TrainLoss=0.8343 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.859 TestLoss=0.7884
[Step    20] CE_loss=0.8520 | VFE_final=-70.1304 (IL_path=0.0112) | VFE_per_dof=-0.0342 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.2529 VFE_hidden_term=96.5672 logdet_Pi_y_sum=3.27 logdet_Pi_x_sum=330.63 | lambda_gate=0.320 | SG_objective=0.0193 | SG_relMSE=1.0046 SG_cosine=-0.360 mean_log_Pi_g=0.323 | PC_activity_obj=70.3416 (per_unit 6.8693e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.7884 test_acc=0.8585
[Step    40] CE_loss=0.4359 | VFE_final=-90.0637 (IL_path=0.0117) | VFE_per_dof=-0.0440 Delta_VFE_per_dof=-0.0042 | VFE_pred_term=0.1337 VFE_hidden_term=100.0062 logdet_Pi_y_sum=3.80 logdet_Pi_x_sum=376.61 | lambda_gate=0.258 (raw=0.258) | SG_objective=0.0214 | SG_relMSE=1.0034 SG_cosine=-0.484 mean_log_Pi_g=0.368 | PC_activity_obj=72.1546 (per_unit 7.0464e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.46e-04 tol=2.00e-04 r=1.000 slope=-3.815e-05) | TrainAcc=0.922 TrainLoss=0.4337 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.897 TestLoss=0.4804
[Step    40] CE_loss=0.4359 | VFE_final=-90.0637 (IL_path=0.0117) | VFE_per_dof=-0.0440 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1337 VFE_hidden_term=100.0062 logdet_Pi_y_sum=3.80 logdet_Pi_x_sum=376.61 | lambda_gate=0.258 | SG_objective=0.0214 | SG_relMSE=1.0034 SG_cosine=-0.484 mean_log_Pi_g=0.368 | PC_activity_obj=72.1546 (per_unit 7.0464e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.4804 test_acc=0.8966
[Step    60] CE_loss=0.3807 | VFE_final=-115.7076 (IL_path=0.0114) | VFE_per_dof=-0.0565 Delta_VFE_per_dof=-0.0007 | VFE_pred_term=0.1172 VFE_hidden_term=97.1591 logdet_Pi_y_sum=4.32 logdet_Pi_x_sum=421.65 | lambda_gate=0.368 (raw=0.368) | SG_objective=0.0158 | SG_relMSE=1.0022 SG_cosine=-0.263 mean_log_Pi_g=0.412 | PC_activity_obj=69.2142 (per_unit 6.7592e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.49e-04 tol=2.00e-04 r=1.000 slope=-4.578e-05) | TrainAcc=0.906 TrainLoss=0.3666 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.911 TestLoss=0.3817
[Step    60] CE_loss=0.3807 | VFE_final=-115.7076 (IL_path=0.0114) | VFE_per_dof=-0.0565 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1172 VFE_hidden_term=97.1591 logdet_Pi_y_sum=4.32 logdet_Pi_x_sum=421.65 | lambda_gate=0.368 | SG_objective=0.0158 | SG_relMSE=1.0022 SG_cosine=-0.263 mean_log_Pi_g=0.412 | PC_activity_obj=69.2142 (per_unit 6.7592e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.3817 test_acc=0.9112
[Step    80] CE_loss=0.3374 | VFE_final=-154.1613 (IL_path=0.0097) | VFE_per_dof=-0.0753 Delta_VFE_per_dof=-0.0022 | VFE_pred_term=0.0996 VFE_hidden_term=81.4630 logdet_Pi_y_sum=4.83 logdet_Pi_x_sum=466.62 | lambda_gate=0.274 (raw=0.274) | SG_objective=0.0136 | SG_relMSE=1.0036 SG_cosine=-0.451 mean_log_Pi_g=0.456 | PC_activity_obj=56.8373 (per_unit 5.5505e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.43e-04 tol=2.00e-04 r=1.000 slope=-5.341e-05) | TrainAcc=0.930 TrainLoss=0.3154 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.920 TestLoss=0.3183
[Step    80] CE_loss=0.3374 | VFE_final=-154.1613 (IL_path=0.0097) | VFE_per_dof=-0.0753 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0996 VFE_hidden_term=81.4630 logdet_Pi_y_sum=4.83 logdet_Pi_x_sum=466.62 | lambda_gate=0.274 | SG_objective=0.0136 | SG_relMSE=1.0036 SG_cosine=-0.451 mean_log_Pi_g=0.456 | PC_activity_obj=56.8373 (per_unit 5.5505e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.3183 test_acc=0.9203
[Step   100] CE_loss=0.3358 | VFE_final=-183.0796 (IL_path=0.0091) | VFE_per_dof=-0.0894 Delta_VFE_per_dof=-0.0018 | VFE_pred_term=0.1211 VFE_hidden_term=75.4548 logdet_Pi_y_sum=5.33 logdet_Pi_x_sum=511.99 | lambda_gate=0.322 (raw=0.322) | SG_objective=0.0103 | SG_relMSE=1.0038 SG_cosine=-0.355 mean_log_Pi_g=0.500 | PC_activity_obj=51.3522 (per_unit 5.0149e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.64e-04 tol=2.00e-04 r=1.000 slope=-4.832e-05) | TrainAcc=0.922 TrainLoss=0.3175 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.921 TestLoss=0.3147
[Step   100] CE_loss=0.3358 | VFE_final=-183.0796 (IL_path=0.0091) | VFE_per_dof=-0.0894 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1211 VFE_hidden_term=75.4548 logdet_Pi_y_sum=5.33 logdet_Pi_x_sum=511.99 | lambda_gate=0.322 | SG_objective=0.0103 | SG_relMSE=1.0038 SG_cosine=-0.355 mean_log_Pi_g=0.500 | PC_activity_obj=51.3522 (per_unit 5.0149e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.3147 test_acc=0.9209
[Step   120] CE_loss=0.3030 | VFE_final=-202.5186 (IL_path=0.0096) | VFE_per_dof=-0.0989 Delta_VFE_per_dof=+0.0003 | VFE_pred_term=0.1027 VFE_hidden_term=78.8002 logdet_Pi_y_sum=5.80 logdet_Pi_x_sum=557.04 | lambda_gate=0.343 (raw=0.343) | SG_objective=0.0082 | SG_relMSE=1.0031 SG_cosine=-0.315 mean_log_Pi_g=0.544 | PC_activity_obj=52.2307 (per_unit 5.1007e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.57e-04 tol=2.00e-04 r=1.000 slope=-5.468e-05) | TrainAcc=0.930 TrainLoss=0.2861 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.928 TestLoss=0.2765
