JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.3938 | VFE_final=795.6109 (IL_path=0.1520) | VFE_per_dof=0.3885 Delta_VFE_per_dof=+0.0142 | VFE_pred_term=0.1156 VFE_hidden_term=949.2524 logdet_Pi_y_sum=3.24 logdet_Pi_x_sum=304.27 | lambda_gate=0.000 (raw=0.511) | SG_objective=0.2794 | SG_relMSE=0.9999 SG_cosine=0.022 mean_log_Pi_g=0.297 | PC_activity_obj=720.8554 (per_unit 7.0396e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.65e-04 tol=5.00e-04 r=1.000 slope=-5.849e-05) | TrainAcc=0.875 TrainLoss=0.3462 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.849 TestLoss=0.4598
[Step    20] CE_loss=0.3938 | VFE_final=795.6109 (IL_path=0.1520) | VFE_per_dof=0.3885 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1156 VFE_hidden_term=949.2524 logdet_Pi_y_sum=3.24 logdet_Pi_x_sum=304.27 | lambda_gate=0.000 | SG_objective=0.2794 | SG_relMSE=0.9999 SG_cosine=0.022 mean_log_Pi_g=0.297 | PC_activity_obj=720.8554 (per_unit 7.0396e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.4598 test_acc=0.8489
[Step    40] CE_loss=0.3780 | VFE_final=679.9440 (IL_path=0.1297) | VFE_per_dof=0.3320 Delta_VFE_per_dof=-0.0169 | VFE_pred_term=0.1156 VFE_hidden_term=827.1342 logdet_Pi_y_sum=3.63 logdet_Pi_x_sum=290.98 | lambda_gate=0.000 (raw=0.520) | SG_objective=0.2086 | SG_relMSE=0.9996 SG_cosine=0.040 mean_log_Pi_g=0.284 | PC_activity_obj=656.5053 (per_unit 6.4112e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.66e-04 tol=5.00e-04 r=1.000 slope=-6.485e-05) | TrainAcc=0.891 TrainLoss=0.3190 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.894 TestLoss=0.3461
[Step    40] CE_loss=0.3780 | VFE_final=679.9440 (IL_path=0.1297) | VFE_per_dof=0.3320 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1156 VFE_hidden_term=827.1342 logdet_Pi_y_sum=3.63 logdet_Pi_x_sum=290.98 | lambda_gate=0.000 | SG_objective=0.2086 | SG_relMSE=0.9996 SG_cosine=0.040 mean_log_Pi_g=0.284 | PC_activity_obj=656.5053 (per_unit 6.4112e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.3461 test_acc=0.8945
[Step    60] CE_loss=0.3942 | VFE_final=567.3455 (IL_path=0.1090) | VFE_per_dof=0.2770 Delta_VFE_per_dof=-0.0137 | VFE_pred_term=0.1142 VFE_hidden_term=708.1819 logdet_Pi_y_sum=4.04 logdet_Pi_x_sum=277.86 | lambda_gate=0.000 (raw=0.524) | SG_objective=0.1600 | SG_relMSE=0.9997 SG_cosine=0.049 mean_log_Pi_g=0.271 | PC_activity_obj=583.9947 (per_unit 5.7031e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.69e-04 tol=5.00e-04 r=1.000 slope=-5.595e-05) | TrainAcc=0.898 TrainLoss=0.3562 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.908 TestLoss=0.3065
[Step    60] CE_loss=0.3942 | VFE_final=567.3455 (IL_path=0.1090) | VFE_per_dof=0.2770 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1142 VFE_hidden_term=708.1819 logdet_Pi_y_sum=4.04 logdet_Pi_x_sum=277.86 | lambda_gate=0.000 | SG_objective=0.1600 | SG_relMSE=0.9997 SG_cosine=0.049 mean_log_Pi_g=0.271 | PC_activity_obj=583.9947 (per_unit 5.7031e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.3065 test_acc=0.9085
[Step    80] CE_loss=0.2316 | VFE_final=465.4888 (IL_path=0.0915) | VFE_per_dof=0.2273 Delta_VFE_per_dof=+0.0088 | VFE_pred_term=0.0653 VFE_hidden_term=603.4976 logdet_Pi_y_sum=4.53 logdet_Pi_x_sum=271.62 | lambda_gate=0.000 (raw=0.508) | SG_objective=0.1273 | SG_relMSE=0.9999 SG_cosine=0.016 mean_log_Pi_g=0.265 | PC_activity_obj=513.7519 (per_unit 5.0171e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.28e-04 tol=5.00e-04 r=1.000 slope=-8.011e-05) | TrainAcc=0.953 TrainLoss=0.1986 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.930 TestLoss=0.2376
[Step    80] CE_loss=0.2316 | VFE_final=465.4888 (IL_path=0.0915) | VFE_per_dof=0.2273 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0653 VFE_hidden_term=603.4976 logdet_Pi_y_sum=4.53 logdet_Pi_x_sum=271.62 | lambda_gate=0.000 | SG_objective=0.1273 | SG_relMSE=0.9999 SG_cosine=0.016 mean_log_Pi_g=0.265 | PC_activity_obj=513.7519 (per_unit 5.0171e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.2376 test_acc=0.9301
[Step   100] CE_loss=0.2109 | VFE_final=487.3228 (IL_path=0.0943) | VFE_per_dof=0.2380 Delta_VFE_per_dof=+0.0115 | VFE_pred_term=0.0701 VFE_hidden_term=624.4773 logdet_Pi_y_sum=5.06 logdet_Pi_x_sum=269.39 | lambda_gate=0.000 (raw=0.501) | SG_objective=0.1191 | SG_relMSE=1.0000 SG_cosine=0.001 mean_log_Pi_g=0.263 | PC_activity_obj=537.8730 (per_unit 5.2527e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.34e-04 tol=5.00e-04 r=1.000 slope=-5.722e-05) | TrainAcc=0.953 TrainLoss=0.1786 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.936 TestLoss=0.2100
[Step   100] CE_loss=0.2109 | VFE_final=487.3228 (IL_path=0.0943) | VFE_per_dof=0.2380 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0701 VFE_hidden_term=624.4773 logdet_Pi_y_sum=5.06 logdet_Pi_x_sum=269.39 | lambda_gate=0.000 | SG_objective=0.1191 | SG_relMSE=1.0000 SG_cosine=0.001 mean_log_Pi_g=0.263 | PC_activity_obj=537.8730 (per_unit 5.2527e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.2100 test_acc=0.9364
[Step   120] CE_loss=0.1586 | VFE_final=496.6085 (IL_path=0.0951) | VFE_per_dof=0.2425 Delta_VFE_per_dof=+0.0034 | VFE_pred_term=0.0485 VFE_hidden_term=630.5079 logdet_Pi_y_sum=5.57 logdet_Pi_x_sum=262.32 | lambda_gate=0.000 (raw=0.507) | SG_objective=0.1025 | SG_relMSE=0.9999 SG_cosine=0.014 mean_log_Pi_g=0.256 | PC_activity_obj=547.4396 (per_unit 5.3461e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.17e-04 tol=5.00e-04 r=1.000 slope=-8.647e-05) | TrainAcc=0.969 TrainLoss=0.1244 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.935 TestLoss=0.2135
[Step   120] CE_loss=0.1586 | VFE_final=496.6085 (IL_path=0.0951) | VFE_per_dof=0.2425 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0485 VFE_hidden_term=630.5079 logdet_Pi_y_sum=5.57 logdet_Pi_x_sum=262.32 | lambda_gate=0.000 | SG_objective=0.1025 | SG_relMSE=0.9999 SG_cosine=0.014 mean_log_Pi_g=0.256 | PC_activity_obj=547.4396 (per_unit 5.3461e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.2135 test_acc=0.9351
[Step   140] CE_loss=0.1873 | VFE_final=464.6819 (IL_path=0.0880) | VFE_per_dof=0.2269 Delta_VFE_per_dof=+0.0063 | VFE_pred_term=0.0586 VFE_hidden_term=594.1608 logdet_Pi_y_sum=6.07 logdet_Pi_x_sum=253.00 | lambda_gate=0.000 (raw=0.525) | SG_objective=0.1004 | SG_relMSE=0.9997 SG_cosine=0.050 mean_log_Pi_g=0.247 | PC_activity_obj=536.1681 (per_unit 5.2360e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.28e-04 tol=5.00e-04 r=1.000 slope=-8.011e-05) | TrainAcc=0.969 TrainLoss=0.1554 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.941 TestLoss=0.1909
[Step   140] CE_loss=0.1873 | VFE_final=464.6819 (IL_path=0.0880) | VFE_per_dof=0.2269 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0586 VFE_hidden_term=594.1608 logdet_Pi_y_sum=6.07 logdet_Pi_x_sum=253.00 | lambda_gate=0.000 | SG_objective=0.1004 | SG_relMSE=0.9997 SG_cosine=0.050 mean_log_Pi_g=0.247 | PC_activity_obj=536.1681 (per_unit 5.2360e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.1909 test_acc=0.9408
