JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.6626 | VFE_final=-54.2863 (IL_path=0.0095) | VFE_per_dof=-0.0265 Delta_VFE_per_dof=-0.0022 | VFE_pred_term=0.1911 VFE_hidden_term=113.3211 logdet_Pi_y_sum=3.27 logdet_Pi_x_sum=332.33 | lambda_gate=0.310 (raw=0.310) | SG_objective=0.0186 | SG_relMSE=1.0042 SG_cosine=-0.380 mean_log_Pi_g=0.325 | PC_activity_obj=82.3028 (per_unit 8.0374e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.14e-04 tol=2.00e-04 r=1.000 slope=-4.069e-05) | TrainAcc=0.891 TrainLoss=0.6222 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.839 TestLoss=0.6713
[Step    20] CE_loss=0.6626 | VFE_final=-54.2863 (IL_path=0.0095) | VFE_per_dof=-0.0265 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1911 VFE_hidden_term=113.3211 logdet_Pi_y_sum=3.27 logdet_Pi_x_sum=332.33 | lambda_gate=0.310 | SG_objective=0.0186 | SG_relMSE=1.0042 SG_cosine=-0.380 mean_log_Pi_g=0.325 | PC_activity_obj=82.3028 (per_unit 8.0374e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.6713 test_acc=0.8390
[Step    40] CE_loss=0.4562 | VFE_final=-102.5207 (IL_path=0.0076) | VFE_per_dof=-0.0501 Delta_VFE_per_dof=-0.0096 | VFE_pred_term=0.1388 VFE_hidden_term=89.3667 logdet_Pi_y_sum=3.81 logdet_Pi_x_sum=380.24 | lambda_gate=0.320 (raw=0.320) | SG_objective=0.0189 | SG_relMSE=1.0034 SG_cosine=-0.360 mean_log_Pi_g=0.371 | PC_activity_obj=63.2603 (per_unit 6.1778e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.10e-04 tol=2.00e-04 r=1.000 slope=-2.925e-05) | TrainAcc=0.898 TrainLoss=0.4382 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.902 TestLoss=0.4168
[Step    40] CE_loss=0.4562 | VFE_final=-102.5207 (IL_path=0.0076) | VFE_per_dof=-0.0501 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1388 VFE_hidden_term=89.3667 logdet_Pi_y_sum=3.81 logdet_Pi_x_sum=380.24 | lambda_gate=0.320 | SG_objective=0.0189 | SG_relMSE=1.0034 SG_cosine=-0.360 mean_log_Pi_g=0.371 | PC_activity_obj=63.2603 (per_unit 6.1778e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.4168 test_acc=0.9021
[Step    60] CE_loss=0.4215 | VFE_final=-131.4069 (IL_path=0.0073) | VFE_per_dof=-0.0642 Delta_VFE_per_dof=-0.0051 | VFE_pred_term=0.1305 VFE_hidden_term=84.5206 logdet_Pi_y_sum=4.34 logdet_Pi_x_sum=427.78 | lambda_gate=0.375 (raw=0.375) | SG_objective=0.0156 | SG_relMSE=1.0022 SG_cosine=-0.249 mean_log_Pi_g=0.418 | PC_activity_obj=57.7121 (per_unit 5.6359e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.19e-04 tol=2.00e-04 r=1.000 slope=-2.416e-05) | TrainAcc=0.898 TrainLoss=0.4147 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.923 TestLoss=0.3411
[Step    60] CE_loss=0.4215 | VFE_final=-131.4069 (IL_path=0.0073) | VFE_per_dof=-0.0642 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1305 VFE_hidden_term=84.5206 logdet_Pi_y_sum=4.34 logdet_Pi_x_sum=427.78 | lambda_gate=0.375 | SG_objective=0.0156 | SG_relMSE=1.0022 SG_cosine=-0.249 mean_log_Pi_g=0.418 | PC_activity_obj=57.7121 (per_unit 5.6359e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.3411 test_acc=0.9227
[Step    80] CE_loss=0.2763 | VFE_final=-159.4867 (IL_path=0.0071) | VFE_per_dof=-0.0779 Delta_VFE_per_dof=-0.0011 | VFE_pred_term=0.0829 VFE_hidden_term=80.8736 logdet_Pi_y_sum=4.85 logdet_Pi_x_sum=476.04 | lambda_gate=0.279 (raw=0.279) | SG_objective=0.0100 | SG_relMSE=1.0043 SG_cosine=-0.442 mean_log_Pi_g=0.465 | PC_activity_obj=53.4191 (per_unit 5.2167e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=9.88e-05 tol=2.00e-04 r=1.000 slope=-3.306e-05) | TrainAcc=0.945 TrainLoss=0.2580 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.932 TestLoss=0.2955
[Step    80] CE_loss=0.2763 | VFE_final=-159.4867 (IL_path=0.0071) | VFE_per_dof=-0.0779 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0829 VFE_hidden_term=80.8736 logdet_Pi_y_sum=4.85 logdet_Pi_x_sum=476.04 | lambda_gate=0.279 | SG_objective=0.0100 | SG_relMSE=1.0043 SG_cosine=-0.442 mean_log_Pi_g=0.465 | PC_activity_obj=53.4191 (per_unit 5.2167e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2955 test_acc=0.9317
[Step   100] CE_loss=0.2801 | VFE_final=-173.3619 (IL_path=0.0081) | VFE_per_dof=-0.0846 Delta_VFE_per_dof=+0.0025 | VFE_pred_term=0.0945 VFE_hidden_term=91.2510 logdet_Pi_y_sum=5.34 logdet_Pi_x_sum=524.07 | lambda_gate=0.322 (raw=0.322) | SG_objective=0.0093 | SG_relMSE=1.0036 SG_cosine=-0.357 mean_log_Pi_g=0.512 | PC_activity_obj=57.7398 (per_unit 5.6387e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.09e-04 tol=2.00e-04 r=1.000 slope=-5.595e-05) | TrainAcc=0.930 TrainLoss=0.2577 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.933 TestLoss=0.2557
[Step   100] CE_loss=0.2801 | VFE_final=-173.3619 (IL_path=0.0081) | VFE_per_dof=-0.0846 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0945 VFE_hidden_term=91.2510 logdet_Pi_y_sum=5.34 logdet_Pi_x_sum=524.07 | lambda_gate=0.322 | SG_objective=0.0093 | SG_relMSE=1.0036 SG_cosine=-0.357 mean_log_Pi_g=0.512 | PC_activity_obj=57.7398 (per_unit 5.6387e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2557 test_acc=0.9335
[Step   120] CE_loss=0.2327 | VFE_final=-211.7412 (IL_path=0.0070) | VFE_per_dof=-0.1034 Delta_VFE_per_dof=+0.0004 | VFE_pred_term=0.0724 VFE_hidden_term=76.4908 logdet_Pi_y_sum=5.82 logdet_Pi_x_sum=570.79 | lambda_gate=0.371 (raw=0.371) | SG_objective=0.0099 | SG_relMSE=1.0028 SG_cosine=-0.258 mean_log_Pi_g=0.557 | PC_activity_obj=46.0564 (per_unit 4.4977e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.02e-04 tol=2.00e-04 r=1.000 slope=-2.925e-05) | TrainAcc=0.953 TrainLoss=0.2040 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.940 TestLoss=0.2589
[Step   120] CE_loss=0.2327 | VFE_final=-211.7412 (IL_path=0.0070) | VFE_per_dof=-0.1034 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0724 VFE_hidden_term=76.4908 logdet_Pi_y_sum=5.82 logdet_Pi_x_sum=570.79 | lambda_gate=0.371 | SG_objective=0.0099 | SG_relMSE=1.0028 SG_cosine=-0.258 mean_log_Pi_g=0.557 | PC_activity_obj=46.0564 (per_unit 4.4977e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2589 test_acc=0.9396
[Step   140] CE_loss=0.2319 | VFE_final=-237.3656 (IL_path=0.0068) | VFE_per_dof=-0.1159 Delta_VFE_per_dof=+0.0014 | VFE_pred_term=0.0813 VFE_hidden_term=73.9462 logdet_Pi_y_sum=6.28 logdet_Pi_x_sum=616.51 | lambda_gate=0.319 (raw=0.319) | SG_objective=0.0085 | SG_relMSE=1.0032 SG_cosine=-0.362 mean_log_Pi_g=0.602 | PC_activity_obj=43.4119 (per_unit 4.2394e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.11e-04 tol=2.00e-04 r=1.000 slope=-3.815e-05) | TrainAcc=0.969 TrainLoss=0.2192 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.943 TestLoss=0.2514
[Step   140] CE_loss=0.2319 | VFE_final=-237.3656 (IL_path=0.0068) | VFE_per_dof=-0.1159 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0813 VFE_hidden_term=73.9462 logdet_Pi_y_sum=6.28 logdet_Pi_x_sum=616.51 | lambda_gate=0.319 | SG_objective=0.0085 | SG_relMSE=1.0032 SG_cosine=-0.362 mean_log_Pi_g=0.602 | PC_activity_obj=43.4119 (per_unit 4.2394e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2514 test_acc=0.9426
[Step   160] CE_loss=0.2992 | VFE_final=-266.6497 (IL_path=0.0063) | VFE_per_dof=-0.1302 Delta_VFE_per_dof=-0.0031 | VFE_pred_term=0.1164 VFE_hidden_term=67.4537 logdet_Pi_y_sum=6.72 logdet_Pi_x_sum=661.72 | lambda_gate=0.340 (raw=0.340) | SG_objective=0.0073 | SG_relMSE=1.0038 SG_cosine=-0.321 mean_log_Pi_g=0.646 | PC_activity_obj=37.9704 (per_unit 3.7080e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.39e-04 tol=2.00e-04 r=1.000 slope=-3.560e-05) | TrainAcc=0.938 TrainLoss=0.2860 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.933 TestLoss=0.2714
[Step   160] CE_loss=0.2992 | VFE_final=-266.6497 (IL_path=0.0063) | VFE_per_dof=-0.1302 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1164 VFE_hidden_term=67.4537 logdet_Pi_y_sum=6.72 logdet_Pi_x_sum=661.72 | lambda_gate=0.340 | SG_objective=0.0073 | SG_relMSE=1.0038 SG_cosine=-0.321 mean_log_Pi_g=0.646 | PC_activity_obj=37.9704 (per_unit 3.7080e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2714 test_acc=0.9327
[Step   180] CE_loss=0.3023 | VFE_final=-297.3193 (IL_path=0.0056) | VFE_per_dof=-0.1452 Delta_VFE_per_dof=-0.0046 | VFE_pred_term=0.1261 VFE_hidden_term=58.7750 logdet_Pi_y_sum=7.14 logdet_Pi_x_sum=705.30 | lambda_gate=0.346 (raw=0.346) | SG_objective=0.0125 | SG_relMSE=1.0032 SG_cosine=-0.308 mean_log_Pi_g=0.689 | PC_activity_obj=31.5581 (per_unit 3.0818e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.42e-04 tol=2.00e-04 r=1.000 slope=-3.433e-05) | TrainAcc=0.930 TrainLoss=0.2886 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.949 TestLoss=0.2450
[Step   180] CE_loss=0.3023 | VFE_final=-297.3193 (IL_path=0.0056) | VFE_per_dof=-0.1452 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1261 VFE_hidden_term=58.7750 logdet_Pi_y_sum=7.14 logdet_Pi_x_sum=705.30 | lambda_gate=0.346 | SG_objective=0.0125 | SG_relMSE=1.0032 SG_cosine=-0.308 mean_log_Pi_g=0.689 | PC_activity_obj=31.5581 (per_unit 3.0818e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2450 test_acc=0.9493
[Step   200] CE_loss=0.2787 | VFE_final=-313.6012 (IL_path=0.0061) | VFE_per_dof=-0.1531 Delta_VFE_per_dof=-0.0021 | VFE_pred_term=0.1119 VFE_hidden_term=63.6622 logdet_Pi_y_sum=7.56 logdet_Pi_x_sum=747.19 | lambda_gate=0.320 (raw=0.320) | SG_objective=0.0109 | SG_relMSE=1.0037 SG_cosine=-0.359 mean_log_Pi_g=0.730 | PC_activity_obj=33.1127 (per_unit 3.2337e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.38e-04 tol=2.00e-04 r=1.000 slope=-3.179e-05) | TrainAcc=0.938 TrainLoss=0.2699 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.949 TestLoss=0.2382
[Step   200] CE_loss=0.2787 | VFE_final=-313.6012 (IL_path=0.0061) | VFE_per_dof=-0.1531 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1119 VFE_hidden_term=63.6622 logdet_Pi_y_sum=7.56 logdet_Pi_x_sum=747.19 | lambda_gate=0.320 | SG_objective=0.0109 | SG_relMSE=1.0037 SG_cosine=-0.359 mean_log_Pi_g=0.730 | PC_activity_obj=33.1127 (per_unit 3.2337e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2382 test_acc=0.9488
[Step   220] CE_loss=0.2738 | VFE_final=-336.7763 (IL_path=0.0059) | VFE_per_dof=-0.1644 Delta_VFE_per_dof=-0.0008 | VFE_pred_term=0.1209 VFE_hidden_term=60.8233 logdet_Pi_y_sum=7.96 logdet_Pi_x_sum=787.49 | lambda_gate=0.330 (raw=0.330) | SG_objective=0.0101 | SG_relMSE=1.0034 SG_cosine=-0.341 mean_log_Pi_g=0.769 | PC_activity_obj=31.1894 (per_unit 3.0458e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.50e-04 tol=2.00e-04 r=1.000 slope=-3.942e-05) | TrainAcc=0.914 TrainLoss=0.2625 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.949 TestLoss=0.2489
[Step   220] CE_loss=0.2738 | VFE_final=-336.7763 (IL_path=0.0059) | VFE_per_dof=-0.1644 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1209 VFE_hidden_term=60.8233 logdet_Pi_y_sum=7.96 logdet_Pi_x_sum=787.49 | lambda_gate=0.330 | SG_objective=0.0101 | SG_relMSE=1.0034 SG_cosine=-0.341 mean_log_Pi_g=0.769 | PC_activity_obj=31.1894 (per_unit 3.0458e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2489 test_acc=0.9488
[Step   240] CE_loss=0.1893 | VFE_final=-347.8221 (IL_path=0.0068) | VFE_per_dof=-0.1698 Delta_VFE_per_dof=+0.0035 | VFE_pred_term=0.0677 VFE_hidden_term=69.7461 logdet_Pi_y_sum=8.34 logdet_Pi_x_sum=826.93 | lambda_gate=0.285 (raw=0.285) | SG_objective=0.0064 | SG_relMSE=1.0047 SG_cosine=-0.430 mean_log_Pi_g=0.808 | PC_activity_obj=34.1919 (per_unit 3.3391e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.13e-04 tol=2.00e-04 r=1.000 slope=-4.069e-05) | TrainAcc=0.977 TrainLoss=0.1599 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.956 TestLoss=0.2021
[Step   240] CE_loss=0.1893 | VFE_final=-347.8221 (IL_path=0.0068) | VFE_per_dof=-0.1698 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0677 VFE_hidden_term=69.7461 logdet_Pi_y_sum=8.34 logdet_Pi_x_sum=826.93 | lambda_gate=0.285 | SG_objective=0.0064 | SG_relMSE=1.0047 SG_cosine=-0.430 mean_log_Pi_g=0.808 | PC_activity_obj=34.1919 (per_unit 3.3391e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2021 test_acc=0.9557
[Step   260] CE_loss=0.2298 | VFE_final=-369.2030 (IL_path=0.0067) | VFE_per_dof=-0.1803 Delta_VFE_per_dof=-0.0019 | VFE_pred_term=0.1016 VFE_hidden_term=67.6071 logdet_Pi_y_sum=8.72 logdet_Pi_x_sum=865.10 | lambda_gate=0.338 (raw=0.338) | SG_objective=0.0085 | SG_relMSE=1.0037 SG_cosine=-0.325 mean_log_Pi_g=0.845 | PC_activity_obj=31.8886 (per_unit 3.1141e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.40e-04 tol=2.00e-04 r=1.000 slope=-4.323e-05) | TrainAcc=0.945 TrainLoss=0.2043 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.955 TestLoss=0.2053
[Step   260] CE_loss=0.2298 | VFE_final=-369.2030 (IL_path=0.0067) | VFE_per_dof=-0.1803 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1016 VFE_hidden_term=67.6071 logdet_Pi_y_sum=8.72 logdet_Pi_x_sum=865.10 | lambda_gate=0.338 | SG_objective=0.0085 | SG_relMSE=1.0037 SG_cosine=-0.325 mean_log_Pi_g=0.845 | PC_activity_obj=31.8886 (per_unit 3.1141e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2053 test_acc=0.9547
[Step   280] CE_loss=0.2406 | VFE_final=-392.0993 (IL_path=0.0063) | VFE_per_dof=-0.1915 Delta_VFE_per_dof=+0.0005 | VFE_pred_term=0.1136 VFE_hidden_term=63.3341 logdet_Pi_y_sum=9.09 logdet_Pi_x_sum=902.01 | lambda_gate=0.340 (raw=0.340) | SG_objective=0.0099 | SG_relMSE=1.0040 SG_cosine=-0.319 mean_log_Pi_g=0.881 | PC_activity_obj=28.8711 (per_unit 2.8194e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.53e-04 tol=2.00e-04 r=1.000 slope=-4.323e-05) | TrainAcc=0.953 TrainLoss=0.2208 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.952 TestLoss=0.2417
[Step   280] CE_loss=0.2406 | VFE_final=-392.0993 (IL_path=0.0063) | VFE_per_dof=-0.1915 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1136 VFE_hidden_term=63.3341 logdet_Pi_y_sum=9.09 logdet_Pi_x_sum=902.01 | lambda_gate=0.340 | SG_objective=0.0099 | SG_relMSE=1.0040 SG_cosine=-0.319 mean_log_Pi_g=0.881 | PC_activity_obj=28.8711 (per_unit 2.8194e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2417 test_acc=0.9515
[Step   300] CE_loss=0.2106 | VFE_final=-409.6306 (IL_path=0.0064) | VFE_per_dof=-0.2000 Delta_VFE_per_dof=-0.0006 | VFE_pred_term=0.0930 VFE_hidden_term=63.9687 logdet_Pi_y_sum=9.44 logdet_Pi_x_sum=937.95 | lambda_gate=0.322 (raw=0.322) | SG_objective=0.0109 | SG_relMSE=1.0031 SG_cosine=-0.356 mean_log_Pi_g=0.916 | PC_activity_obj=29.7704 (per_unit 2.9073e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.38e-04 tol=2.00e-04 r=1.000 slope=-4.578e-05) | TrainAcc=0.977 TrainLoss=0.2002 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.958 TestLoss=0.2081
[Step   300] CE_loss=0.2106 | VFE_final=-409.6306 (IL_path=0.0064) | VFE_per_dof=-0.2000 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0930 VFE_hidden_term=63.9687 logdet_Pi_y_sum=9.44 logdet_Pi_x_sum=937.95 | lambda_gate=0.322 | SG_objective=0.0109 | SG_relMSE=1.0031 SG_cosine=-0.356 mean_log_Pi_g=0.916 | PC_activity_obj=29.7704 (per_unit 2.9073e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2081 test_acc=0.9579
[Step   320] CE_loss=0.1813 | VFE_final=-426.7661 (IL_path=0.0065) | VFE_per_dof=-0.2084 Delta_VFE_per_dof=-0.0004 | VFE_pred_term=0.0832 VFE_hidden_term=64.2446 logdet_Pi_y_sum=9.78 logdet_Pi_x_sum=972.40 | lambda_gate=0.309 (raw=0.309) | SG_objective=0.0072 | SG_relMSE=1.0040 SG_cosine=-0.382 mean_log_Pi_g=0.950 | PC_activity_obj=28.5226 (per_unit 2.7854e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.32e-04 tol=2.00e-04 r=1.000 slope=-3.433e-05) | TrainAcc=0.977 TrainLoss=0.1713 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.955 TestLoss=0.1942
[Step   320] CE_loss=0.1813 | VFE_final=-426.7661 (IL_path=0.0065) | VFE_per_dof=-0.2084 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0832 VFE_hidden_term=64.2446 logdet_Pi_y_sum=9.78 logdet_Pi_x_sum=972.40 | lambda_gate=0.309 | SG_objective=0.0072 | SG_relMSE=1.0040 SG_cosine=-0.382 mean_log_Pi_g=0.950 | PC_activity_obj=28.5226 (per_unit 2.7854e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.1942 test_acc=0.9545
[Step   340] CE_loss=0.1701 | VFE_final=-436.0697 (IL_path=0.0072) | VFE_per_dof=-0.2129 Delta_VFE_per_dof=-0.0015 | VFE_pred_term=0.0949 VFE_hidden_term=71.8930 logdet_Pi_y_sum=10.12 logdet_Pi_x_sum=1006.00 | lambda_gate=0.430 (raw=0.430) | SG_objective=0.0094 | SG_relMSE=1.0015 SG_cosine=-0.141 mean_log_Pi_g=0.982 | PC_activity_obj=32.4179 (per_unit 3.1658e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.45e-04 tol=2.00e-04 r=1.000 slope=-4.705e-05) | TrainAcc=0.969 TrainLoss=0.1572 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.958 TestLoss=0.1790
[Step   340] CE_loss=0.1701 | VFE_final=-436.0697 (IL_path=0.0072) | VFE_per_dof=-0.2129 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0949 VFE_hidden_term=71.8930 logdet_Pi_y_sum=10.12 logdet_Pi_x_sum=1006.00 | lambda_gate=0.430 | SG_objective=0.0094 | SG_relMSE=1.0015 SG_cosine=-0.141 mean_log_Pi_g=0.982 | PC_activity_obj=32.4179 (per_unit 3.1658e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.1790 test_acc=0.9581
