JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.5047 | VFE_final=777.4460 (IL_path=0.1083) | VFE_per_dof=0.3796 Delta_VFE_per_dof=+0.0304 | VFE_pred_term=0.1449 VFE_hidden_term=937.3121 logdet_Pi_y_sum=3.26 logdet_Pi_x_sum=316.76 | lambda_gate=0.000 (raw=0.501) | SG_objective=0.2055 | SG_relMSE=1.0000 SG_cosine=0.002 mean_log_Pi_g=0.309 | PC_activity_obj=696.8726 (per_unit 6.8054e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.30e-04 tol=2.00e-04 r=1.000 slope=-5.849e-05) | TrainAcc=0.836 TrainLoss=0.4563 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.871 TestLoss=0.4229
[Step    20] CE_loss=0.5047 | VFE_final=777.4460 (IL_path=0.1083) | VFE_per_dof=0.3796 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1449 VFE_hidden_term=937.3121 logdet_Pi_y_sum=3.26 logdet_Pi_x_sum=316.76 | lambda_gate=0.000 | SG_objective=0.2055 | SG_relMSE=1.0000 SG_cosine=0.002 mean_log_Pi_g=0.309 | PC_activity_obj=696.8726 (per_unit 6.8054e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.4229 test_acc=0.8705
[Step    40] CE_loss=0.2729 | VFE_final=732.5293 (IL_path=0.1008) | VFE_per_dof=0.3577 Delta_VFE_per_dof=-0.0013 | VFE_pred_term=0.0844 VFE_hidden_term=888.3573 logdet_Pi_y_sum=3.68 logdet_Pi_x_sum=308.14 | lambda_gate=0.000 (raw=0.512) | SG_objective=0.2313 | SG_relMSE=0.9999 SG_cosine=0.024 mean_log_Pi_g=0.301 | PC_activity_obj=685.7407 (per_unit 6.6967e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.02e-04 tol=2.00e-04 r=1.000 slope=-2.670e-05) | TrainAcc=0.914 TrainLoss=0.2399 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.908 TestLoss=0.3212
[Step    40] CE_loss=0.2729 | VFE_final=732.5293 (IL_path=0.1008) | VFE_per_dof=0.3577 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0844 VFE_hidden_term=888.3573 logdet_Pi_y_sum=3.68 logdet_Pi_x_sum=308.14 | lambda_gate=0.000 | SG_objective=0.2313 | SG_relMSE=0.9999 SG_cosine=0.024 mean_log_Pi_g=0.301 | PC_activity_obj=685.7407 (per_unit 6.6967e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.3212 test_acc=0.9082
[Step    60] CE_loss=0.3298 | VFE_final=575.3979 (IL_path=0.0806) | VFE_per_dof=0.2810 Delta_VFE_per_dof=-0.0027 | VFE_pred_term=0.0941 VFE_hidden_term=724.1821 logdet_Pi_y_sum=4.09 logdet_Pi_x_sum=293.67 | lambda_gate=0.000 (raw=0.514) | SG_objective=0.1700 | SG_relMSE=0.9998 SG_cosine=0.028 mean_log_Pi_g=0.287 | PC_activity_obj=583.0543 (per_unit 5.6939e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.09e-04 tol=2.00e-04 r=1.000 slope=-6.104e-05) | TrainAcc=0.930 TrainLoss=0.2816 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.908 TestLoss=0.3023
[Step    60] CE_loss=0.3298 | VFE_final=575.3979 (IL_path=0.0806) | VFE_per_dof=0.2810 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0941 VFE_hidden_term=724.1821 logdet_Pi_y_sum=4.09 logdet_Pi_x_sum=293.67 | lambda_gate=0.000 | SG_objective=0.1700 | SG_relMSE=0.9998 SG_cosine=0.028 mean_log_Pi_g=0.287 | PC_activity_obj=583.0543 (per_unit 5.6939e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.3023 test_acc=0.9081
[Step    80] CE_loss=0.2263 | VFE_final=502.4716 (IL_path=0.0711) | VFE_per_dof=0.2453 Delta_VFE_per_dof=-0.0089 | VFE_pred_term=0.0669 VFE_hidden_term=647.4049 logdet_Pi_y_sum=4.54 logdet_Pi_x_sum=285.46 | lambda_gate=0.000 (raw=0.502) | SG_objective=0.1677 | SG_relMSE=1.0000 SG_cosine=0.004 mean_log_Pi_g=0.279 | PC_activity_obj=535.7316 (per_unit 5.2318e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=9.14e-05 tol=2.00e-04 r=1.000 slope=-6.612e-05) | TrainAcc=0.945 TrainLoss=0.1982 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.929 TestLoss=0.2417
[Step    80] CE_loss=0.2263 | VFE_final=502.4716 (IL_path=0.0711) | VFE_per_dof=0.2453 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0669 VFE_hidden_term=647.4049 logdet_Pi_y_sum=4.54 logdet_Pi_x_sum=285.46 | lambda_gate=0.000 | SG_objective=0.1677 | SG_relMSE=1.0000 SG_cosine=0.004 mean_log_Pi_g=0.279 | PC_activity_obj=535.7316 (per_unit 5.2318e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2417 test_acc=0.9295
[Step   100] CE_loss=0.2467 | VFE_final=380.0645 (IL_path=0.0570) | VFE_per_dof=0.1856 Delta_VFE_per_dof=-0.0315 | VFE_pred_term=0.0838 VFE_hidden_term=522.6511 logdet_Pi_y_sum=5.03 logdet_Pi_x_sum=280.31 | lambda_gate=0.000 (raw=0.489) | SG_objective=0.1116 | SG_relMSE=1.0001 SG_cosine=-0.022 mean_log_Pi_g=0.274 | PC_activity_obj=440.2052 (per_unit 4.2989e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.03e-04 tol=2.00e-04 r=1.000 slope=-3.433e-05) | TrainAcc=0.938 TrainLoss=0.2039 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.932 TestLoss=0.2357
[Step   100] CE_loss=0.2467 | VFE_final=380.0645 (IL_path=0.0570) | VFE_per_dof=0.1856 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0838 VFE_hidden_term=522.6511 logdet_Pi_y_sum=5.03 logdet_Pi_x_sum=280.31 | lambda_gate=0.000 | SG_objective=0.1116 | SG_relMSE=1.0001 SG_cosine=-0.022 mean_log_Pi_g=0.274 | PC_activity_obj=440.2052 (per_unit 4.2989e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2357 test_acc=0.9323
[Step   120] CE_loss=0.2630 | VFE_final=429.6814 (IL_path=0.0622) | VFE_per_dof=0.2098 Delta_VFE_per_dof=+0.0085 | VFE_pred_term=0.0829 VFE_hidden_term=573.0677 logdet_Pi_y_sum=5.60 logdet_Pi_x_sum=281.34 | lambda_gate=0.000 (raw=0.512) | SG_objective=0.0868 | SG_relMSE=0.9999 SG_cosine=0.023 mean_log_Pi_g=0.275 | PC_activity_obj=490.1436 (per_unit 4.7866e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.05e-04 tol=2.00e-04 r=1.000 slope=-3.688e-05) | TrainAcc=0.945 TrainLoss=0.2267 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.939 TestLoss=0.2082
