JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.6910 | VFE_final=-75.9471 (IL_path=0.0107) | VFE_per_dof=-0.0371 Delta_VFE_per_dof=+0.0001 | VFE_pred_term=0.2015 VFE_hidden_term=91.7453 logdet_Pi_y_sum=3.27 logdet_Pi_x_sum=332.51 | lambda_gate=0.315 (raw=0.315) | SG_objective=0.0143 | SG_relMSE=1.0048 SG_cosine=-0.370 mean_log_Pi_g=0.325 | PC_activity_obj=66.5838 (per_unit 6.5023e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.64e-04 tol=5.00e-04 r=1.000 slope=-3.688e-05) | TrainAcc=0.844 TrainLoss=0.6664 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.878 TestLoss=0.6407
[Step    20] CE_loss=0.6910 | VFE_final=-75.9471 (IL_path=0.0107) | VFE_per_dof=-0.0371 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.2015 VFE_hidden_term=91.7453 logdet_Pi_y_sum=3.27 logdet_Pi_x_sum=332.51 | lambda_gate=0.315 | SG_objective=0.0143 | SG_relMSE=1.0048 SG_cosine=-0.370 mean_log_Pi_g=0.325 | PC_activity_obj=66.5838 (per_unit 6.5023e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.6407 test_acc=0.8780
[Step    40] CE_loss=0.4039 | VFE_final=-114.5982 (IL_path=0.0093) | VFE_per_dof=-0.0560 Delta_VFE_per_dof=-0.0032 | VFE_pred_term=0.1198 VFE_hidden_term=78.6035 logdet_Pi_y_sum=3.82 logdet_Pi_x_sum=382.82 | lambda_gate=0.214 (raw=0.214) | SG_objective=0.0106 | SG_relMSE=1.0057 SG_cosine=-0.572 mean_log_Pi_g=0.374 | PC_activity_obj=54.9471 (per_unit 5.3659e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.46e-04 tol=5.00e-04 r=1.000 slope=-3.942e-05) | TrainAcc=0.914 TrainLoss=0.3927 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.912 TestLoss=0.4286
[Step    40] CE_loss=0.4039 | VFE_final=-114.5982 (IL_path=0.0093) | VFE_per_dof=-0.0560 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1198 VFE_hidden_term=78.6035 logdet_Pi_y_sum=3.82 logdet_Pi_x_sum=382.82 | lambda_gate=0.214 | SG_objective=0.0106 | SG_relMSE=1.0057 SG_cosine=-0.572 mean_log_Pi_g=0.374 | PC_activity_obj=54.9471 (per_unit 5.3659e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.4286 test_acc=0.9119
[Step    60] CE_loss=0.3251 | VFE_final=-125.0031 (IL_path=0.0114) | VFE_per_dof=-0.0610 Delta_VFE_per_dof=-0.0000 | VFE_pred_term=0.0973 VFE_hidden_term=93.8535 logdet_Pi_y_sum=4.35 logdet_Pi_x_sum=433.56 | lambda_gate=0.386 (raw=0.386) | SG_objective=0.0106 | SG_relMSE=1.0021 SG_cosine=-0.228 mean_log_Pi_g=0.423 | PC_activity_obj=62.7215 (per_unit 6.1251e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.47e-04 tol=5.00e-04 r=1.000 slope=-4.832e-05) | TrainAcc=0.922 TrainLoss=0.3038 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.922 TestLoss=0.3124
[Step    60] CE_loss=0.3251 | VFE_final=-125.0031 (IL_path=0.0114) | VFE_per_dof=-0.0610 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0973 VFE_hidden_term=93.8535 logdet_Pi_y_sum=4.35 logdet_Pi_x_sum=433.56 | lambda_gate=0.386 | SG_objective=0.0106 | SG_relMSE=1.0021 SG_cosine=-0.228 mean_log_Pi_g=0.423 | PC_activity_obj=62.7215 (per_unit 6.1251e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.3124 test_acc=0.9225
[Step    80] CE_loss=0.2612 | VFE_final=-157.9928 (IL_path=0.0107) | VFE_per_dof=-0.0771 Delta_VFE_per_dof=-0.0011 | VFE_pred_term=0.0776 VFE_hidden_term=86.3308 logdet_Pi_y_sum=4.86 logdet_Pi_x_sum=483.95 | lambda_gate=0.311 (raw=0.311) | SG_objective=0.0103 | SG_relMSE=1.0031 SG_cosine=-0.378 mean_log_Pi_g=0.473 | PC_activity_obj=54.9437 (per_unit 5.3656e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.38e-04 tol=5.00e-04 r=1.000 slope=-4.069e-05) | TrainAcc=0.938 TrainLoss=0.2398 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.933 TestLoss=0.2638
[Step    80] CE_loss=0.2612 | VFE_final=-157.9928 (IL_path=0.0107) | VFE_per_dof=-0.0771 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0776 VFE_hidden_term=86.3308 logdet_Pi_y_sum=4.86 logdet_Pi_x_sum=483.95 | lambda_gate=0.311 | SG_objective=0.0103 | SG_relMSE=1.0031 SG_cosine=-0.378 mean_log_Pi_g=0.473 | PC_activity_obj=54.9437 (per_unit 5.3656e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2638 test_acc=0.9333
[Step   100] CE_loss=0.2989 | VFE_final=-204.2658 (IL_path=0.0082) | VFE_per_dof=-0.0997 Delta_VFE_per_dof=-0.0041 | VFE_pred_term=0.0991 VFE_hidden_term=64.9966 logdet_Pi_y_sum=5.34 logdet_Pi_x_sum=533.38 | lambda_gate=0.302 (raw=0.302) | SG_objective=0.0082 | SG_relMSE=1.0047 SG_cosine=-0.396 mean_log_Pi_g=0.521 | PC_activity_obj=39.4224 (per_unit 3.8498e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.66e-04 tol=5.00e-04 r=1.000 slope=-4.323e-05) | TrainAcc=0.945 TrainLoss=0.2756 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.938 TestLoss=0.2721
[Step   100] CE_loss=0.2989 | VFE_final=-204.2658 (IL_path=0.0082) | VFE_per_dof=-0.0997 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0991 VFE_hidden_term=64.9966 logdet_Pi_y_sum=5.34 logdet_Pi_x_sum=533.38 | lambda_gate=0.302 | SG_objective=0.0082 | SG_relMSE=1.0047 SG_cosine=-0.396 mean_log_Pi_g=0.521 | PC_activity_obj=39.4224 (per_unit 3.8498e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.2721 test_acc=0.9381
[Step   120] CE_loss=0.2727 | VFE_final=-214.2660 (IL_path=0.0102) | VFE_per_dof=-0.1046 Delta_VFE_per_dof=+0.0001 | VFE_pred_term=0.0894 VFE_hidden_term=79.2821 logdet_Pi_y_sum=5.82 logdet_Pi_x_sum=581.46 | lambda_gate=0.354 (raw=0.354) | SG_objective=0.0103 | SG_relMSE=1.0025 SG_cosine=-0.292 mean_log_Pi_g=0.568 | PC_activity_obj=45.9701 (per_unit 4.4893e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.66e-04 tol=5.00e-04 r=1.000 slope=-5.341e-05) | TrainAcc=0.938 TrainLoss=0.2538 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.940 TestLoss=0.2295
