JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.3954 | VFE_final=794.5099 (IL_path=0.8136) | VFE_per_dof=0.3879 Delta_VFE_per_dof=+0.0143 | VFE_pred_term=0.1163 VFE_hidden_term=948.1870 logdet_Pi_y_sum=3.24 logdet_Pi_x_sum=304.34 | lambda_gate=0.000 (raw=0.511) | SG_objective=0.2785 | SG_relMSE=0.9999 SG_cosine=0.022 mean_log_Pi_g=0.297 | PC_activity_obj=719.8271 (per_unit 7.0296e-01) | PI_max_steps=16 | PI_est_total=16.0 PI_est_valid=1 (cap_hit=1 delta_last=1.18e-04 tol=1.00e-04 r=1.000 slope=-5.450e-05) | TrainAcc=0.875 TrainLoss=0.3472 (total_proposals=16, oracle_model=16/16, oracle_lp=16/16, metrics=16/16) | TestAcc=0.849 TestLoss=0.4613
[Step    20] CE_loss=0.3954 | VFE_final=794.5099 (IL_path=0.8136) | VFE_per_dof=0.3879 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1163 VFE_hidden_term=948.1870 logdet_Pi_y_sum=3.24 logdet_Pi_x_sum=304.34 | lambda_gate=0.000 | SG_objective=0.2785 | SG_relMSE=0.9999 SG_cosine=0.022 mean_log_Pi_g=0.297 | PC_activity_obj=719.8271 (per_unit 7.0296e-01) | PI_max_steps=16 | PC_steps=16 (total_proposals=16, oracle_model=16/16, oracle_lp=16/16, metrics=16/16) (total_proposals=16) | test_loss=0.4613 test_acc=0.8492
[Step    40] CE_loss=0.3780 | VFE_final=675.9724 (IL_path=0.6913) | VFE_per_dof=0.3301 Delta_VFE_per_dof=-0.0168 | VFE_pred_term=0.1156 VFE_hidden_term=823.1152 logdet_Pi_y_sum=3.63 logdet_Pi_x_sum=290.88 | lambda_gate=0.000 (raw=0.520) | SG_objective=0.2068 | SG_relMSE=0.9996 SG_cosine=0.040 mean_log_Pi_g=0.284 | PC_activity_obj=653.1859 (per_unit 6.3788e-01) | PI_max_steps=16 | PI_est_total=16.0 PI_est_valid=1 (cap_hit=1 delta_last=1.19e-04 tol=1.00e-04 r=1.000 slope=-3.306e-05) | TrainAcc=0.891 TrainLoss=0.3188 (total_proposals=16, oracle_model=16/16, oracle_lp=16/16, metrics=16/16) | TestAcc=0.895 TestLoss=0.3445
[Step    40] CE_loss=0.3780 | VFE_final=675.9724 (IL_path=0.6913) | VFE_per_dof=0.3301 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1156 VFE_hidden_term=823.1152 logdet_Pi_y_sum=3.63 logdet_Pi_x_sum=290.88 | lambda_gate=0.000 | SG_objective=0.2068 | SG_relMSE=0.9996 SG_cosine=0.040 mean_log_Pi_g=0.284 | PC_activity_obj=653.1859 (per_unit 6.3788e-01) | PI_max_steps=16 | PC_steps=16 (total_proposals=16, oracle_model=16/16, oracle_lp=16/16, metrics=16/16) (total_proposals=16) | test_loss=0.3445 test_acc=0.8955
[Step    60] CE_loss=0.3963 | VFE_final=559.6956 (IL_path=0.5777) | VFE_per_dof=0.2733 Delta_VFE_per_dof=-0.0132 | VFE_pred_term=0.1154 VFE_hidden_term=700.4871 logdet_Pi_y_sum=4.05 logdet_Pi_x_sum=277.77 | lambda_gate=0.000 (raw=0.523) | SG_objective=0.1575 | SG_relMSE=0.9997 SG_cosine=0.046 mean_log_Pi_g=0.271 | PC_activity_obj=577.3502 (per_unit 5.6382e-01) | PI_max_steps=16 | PI_est_total=16.0 PI_est_valid=1 (cap_hit=1 delta_last=1.21e-04 tol=1.00e-04 r=1.000 slope=-4.796e-05) | TrainAcc=0.898 TrainLoss=0.3573 (total_proposals=16, oracle_model=16/16, oracle_lp=16/16, metrics=16/16) | TestAcc=0.909 TestLoss=0.3057
[Step    60] CE_loss=0.3963 | VFE_final=559.6956 (IL_path=0.5777) | VFE_per_dof=0.2733 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1154 VFE_hidden_term=700.4871 logdet_Pi_y_sum=4.05 logdet_Pi_x_sum=277.77 | lambda_gate=0.000 | SG_objective=0.1575 | SG_relMSE=0.9997 SG_cosine=0.046 mean_log_Pi_g=0.271 | PC_activity_obj=577.3502 (per_unit 5.6382e-01) | PI_max_steps=16 | PC_steps=16 (total_proposals=16, oracle_model=16/16, oracle_lp=16/16, metrics=16/16) (total_proposals=16) | test_loss=0.3057 test_acc=0.9087
[Step    80] CE_loss=0.2285 | VFE_final=466.0520 (IL_path=0.0655) | VFE_per_dof=0.2276 Delta_VFE_per_dof=+0.0092 | VFE_pred_term=0.0638 VFE_hidden_term=604.1753 logdet_Pi_y_sum=4.53 logdet_Pi_x_sum=271.84 | lambda_gate=0.000 (raw=0.510) | SG_objective=0.1275 | SG_relMSE=0.9999 SG_cosine=0.019 mean_log_Pi_g=0.265 | PC_activity_obj=513.2367 (per_unit 5.0121e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=9.07e-05 tol=1.00e-04 r=1.000 slope=-2.543e-05) | TrainAcc=0.953 TrainLoss=0.1953 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.930 TestLoss=0.2365
[Step    80] CE_loss=0.2285 | VFE_final=466.0520 (IL_path=0.0655) | VFE_per_dof=0.2276 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0638 VFE_hidden_term=604.1753 logdet_Pi_y_sum=4.53 logdet_Pi_x_sum=271.84 | lambda_gate=0.000 | SG_objective=0.1275 | SG_relMSE=0.9999 SG_cosine=0.019 mean_log_Pi_g=0.265 | PC_activity_obj=513.2367 (per_unit 5.0121e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.2365 test_acc=0.9305
[Step   100] CE_loss=0.2202 | VFE_final=491.9079 (IL_path=0.0680) | VFE_per_dof=0.2402 Delta_VFE_per_dof=+0.0115 | VFE_pred_term=0.0742 VFE_hidden_term=629.1094 logdet_Pi_y_sum=5.06 logdet_Pi_x_sum=269.49 | lambda_gate=0.000 (raw=0.501) | SG_objective=0.1202 | SG_relMSE=1.0000 SG_cosine=0.001 mean_log_Pi_g=0.263 | PC_activity_obj=540.5969 (per_unit 5.2793e-01) | PI_max_steps=16 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=9.88e-05 tol=1.00e-04 r=1.000 slope=-3.815e-05) | TrainAcc=0.938 TrainLoss=0.1868 (total_proposals=16, oracle_model=16/16, oracle_lp=16/16, metrics=3/3) | TestAcc=0.935 TestLoss=0.2135
[Step   100] CE_loss=0.2202 | VFE_final=491.9079 (IL_path=0.0680) | VFE_per_dof=0.2402 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0742 VFE_hidden_term=629.1094 logdet_Pi_y_sum=5.06 logdet_Pi_x_sum=269.49 | lambda_gate=0.000 | SG_objective=0.1202 | SG_relMSE=1.0000 SG_cosine=0.001 mean_log_Pi_g=0.263 | PC_activity_obj=540.5969 (per_unit 5.2793e-01) | PI_max_steps=16 | PC_steps=3 (total_proposals=16, oracle_model=16/16, oracle_lp=16/16, metrics=3/3) (total_proposals=16) | test_loss=0.2135 test_acc=0.9350
[Step   120] CE_loss=0.1679 | VFE_final=507.5766 (IL_path=0.0692) | VFE_per_dof=0.2478 Delta_VFE_per_dof=+0.0034 | VFE_pred_term=0.0525 VFE_hidden_term=641.1585 logdet_Pi_y_sum=5.57 logdet_Pi_x_sum=261.70 | lambda_gate=0.000 (raw=0.509) | SG_objective=0.1048 | SG_relMSE=0.9999 SG_cosine=0.018 mean_log_Pi_g=0.256 | PC_activity_obj=554.9633 (per_unit 5.4196e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=8.66e-05 tol=1.00e-04 r=1.000 slope=-4.323e-05) | TrainAcc=0.969 TrainLoss=0.1348 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.934 TestLoss=0.2177
