JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.6664 | VFE_final=-55.4698 (IL_path=0.2838) | VFE_per_dof=-0.0271 Delta_VFE_per_dof=-0.0025 | VFE_pred_term=0.1919 VFE_hidden_term=112.1230 logdet_Pi_y_sum=3.27 logdet_Pi_x_sum=332.30 | lambda_gate=0.311 (raw=0.311) | SG_objective=0.0191 | SG_relMSE=1.0042 SG_cosine=-0.377 mean_log_Pi_g=0.325 | PC_activity_obj=81.4550 (per_unit 7.9546e-02) | PI_max_steps=32 | PI_est_total=32.0 PI_est_valid=1 (cap_hit=1 delta_last=2.22e-04 tol=2.00e-04 r=1.000 slope=-6.467e-05) | TrainAcc=0.875 TrainLoss=0.6259 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) | TestAcc=0.838 TestLoss=0.6778
[Step    20] CE_loss=0.6664 | VFE_final=-55.4698 (IL_path=0.2838) | VFE_per_dof=-0.0271 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1919 VFE_hidden_term=112.1230 logdet_Pi_y_sum=3.27 logdet_Pi_x_sum=332.30 | lambda_gate=0.311 | SG_objective=0.0191 | SG_relMSE=1.0042 SG_cosine=-0.377 mean_log_Pi_g=0.325 | PC_activity_obj=81.4550 (per_unit 7.9546e-02) | PI_max_steps=32 | PC_steps=32 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) (total_proposals=32) | test_loss=0.6778 test_acc=0.8378
[Step    40] CE_loss=0.4646 | VFE_final=-104.9265 (IL_path=0.2226) | VFE_per_dof=-0.0512 Delta_VFE_per_dof=-0.0094 | VFE_pred_term=0.1413 VFE_hidden_term=86.9188 logdet_Pi_y_sum=3.81 logdet_Pi_x_sum=380.16 | lambda_gate=0.319 (raw=0.319) | SG_objective=0.0185 | SG_relMSE=1.0035 SG_cosine=-0.361 mean_log_Pi_g=0.371 | PC_activity_obj=61.5336 (per_unit 6.0091e-02) | PI_max_steps=32 | PI_est_total=32.0 PI_est_valid=1 (cap_hit=1 delta_last=2.16e-04 tol=2.00e-04 r=1.000 slope=-6.576e-05) | TrainAcc=0.914 TrainLoss=0.4460 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) | TestAcc=0.903 TestLoss=0.4217
[Step    40] CE_loss=0.4646 | VFE_final=-104.9265 (IL_path=0.2226) | VFE_per_dof=-0.0512 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1413 VFE_hidden_term=86.9188 logdet_Pi_y_sum=3.81 logdet_Pi_x_sum=380.16 | lambda_gate=0.319 | SG_objective=0.0185 | SG_relMSE=1.0035 SG_cosine=-0.361 mean_log_Pi_g=0.371 | PC_activity_obj=61.5336 (per_unit 6.0091e-02) | PI_max_steps=32 | PC_steps=32 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) (total_proposals=32) | test_loss=0.4217 test_acc=0.9031
[Step    60] CE_loss=0.4225 | VFE_final=-131.4706 (IL_path=0.2199) | VFE_per_dof=-0.0642 Delta_VFE_per_dof=-0.0055 | VFE_pred_term=0.1305 VFE_hidden_term=84.4550 logdet_Pi_y_sum=4.34 logdet_Pi_x_sum=427.77 | lambda_gate=0.388 (raw=0.388) | SG_objective=0.0160 | SG_relMSE=1.0020 SG_cosine=-0.224 mean_log_Pi_g=0.418 | PC_activity_obj=57.7332 (per_unit 5.6380e-02) | PI_max_steps=32 | PI_est_total=32.0 PI_est_valid=1 (cap_hit=1 delta_last=2.30e-04 tol=2.00e-04 r=1.000 slope=-6.576e-05) | TrainAcc=0.898 TrainLoss=0.4153 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) | TestAcc=0.923 TestLoss=0.3439
[Step    60] CE_loss=0.4225 | VFE_final=-131.4706 (IL_path=0.2199) | VFE_per_dof=-0.0642 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1305 VFE_hidden_term=84.4550 logdet_Pi_y_sum=4.34 logdet_Pi_x_sum=427.77 | lambda_gate=0.388 | SG_objective=0.0160 | SG_relMSE=1.0020 SG_cosine=-0.224 mean_log_Pi_g=0.418 | PC_activity_obj=57.7332 (per_unit 5.6380e-02) | PI_max_steps=32 | PC_steps=32 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) (total_proposals=32) | test_loss=0.3439 test_acc=0.9231
[Step    80] CE_loss=0.2740 | VFE_final=-159.8349 (IL_path=0.0137) | VFE_per_dof=-0.0780 Delta_VFE_per_dof=-0.0010 | VFE_pred_term=0.0810 VFE_hidden_term=80.5030 logdet_Pi_y_sum=4.85 logdet_Pi_x_sum=475.99 | lambda_gate=0.265 (raw=0.265) | SG_objective=0.0101 | SG_relMSE=1.0045 SG_cosine=-0.471 mean_log_Pi_g=0.465 | PC_activity_obj=53.2474 (per_unit 5.1999e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.89e-04 tol=2.00e-04 r=1.000 slope=-5.976e-05) | TrainAcc=0.961 TrainLoss=0.2553 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.932 TestLoss=0.2972
[Step    80] CE_loss=0.2740 | VFE_final=-159.8349 (IL_path=0.0137) | VFE_per_dof=-0.0780 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0810 VFE_hidden_term=80.5030 logdet_Pi_y_sum=4.85 logdet_Pi_x_sum=475.99 | lambda_gate=0.265 | SG_objective=0.0101 | SG_relMSE=1.0045 SG_cosine=-0.471 mean_log_Pi_g=0.465 | PC_activity_obj=53.2474 (per_unit 5.1999e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2972 test_acc=0.9321
[Step   100] CE_loss=0.2796 | VFE_final=-174.2224 (IL_path=0.2431) | VFE_per_dof=-0.0851 Delta_VFE_per_dof=+0.0023 | VFE_pred_term=0.0937 VFE_hidden_term=90.3591 logdet_Pi_y_sum=5.34 logdet_Pi_x_sum=524.01 | lambda_gate=0.325 (raw=0.325) | SG_objective=0.0092 | SG_relMSE=1.0037 SG_cosine=-0.350 mean_log_Pi_g=0.512 | PC_activity_obj=57.2147 (per_unit 5.5874e-02) | PI_max_steps=32 | PI_est_total=32.0 PI_est_valid=1 (cap_hit=1 delta_last=2.11e-04 tol=2.00e-04 r=1.000 slope=-6.975e-05) | TrainAcc=0.938 TrainLoss=0.2572 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) | TestAcc=0.933 TestLoss=0.2579
[Step   100] CE_loss=0.2796 | VFE_final=-174.2224 (IL_path=0.2431) | VFE_per_dof=-0.0851 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0937 VFE_hidden_term=90.3591 logdet_Pi_y_sum=5.34 logdet_Pi_x_sum=524.01 | lambda_gate=0.325 | SG_objective=0.0092 | SG_relMSE=1.0037 SG_cosine=-0.350 mean_log_Pi_g=0.512 | PC_activity_obj=57.2147 (per_unit 5.5874e-02) | PI_max_steps=32 | PC_steps=32 (total_proposals=32, oracle_model=0/0, oracle_lp=0/0, metrics=32/32) (total_proposals=32) | test_loss=0.2579 test_acc=0.9334
[Step   120] CE_loss=0.2278 | VFE_final=-210.5469 (IL_path=0.0138) | VFE_per_dof=-0.1028 Delta_VFE_per_dof=+0.0007 | VFE_pred_term=0.0711 VFE_hidden_term=77.7100 logdet_Pi_y_sum=5.82 logdet_Pi_x_sum=570.84 | lambda_gate=0.368 (raw=0.368) | SG_objective=0.0095 | SG_relMSE=1.0029 SG_cosine=-0.265 mean_log_Pi_g=0.557 | PC_activity_obj=46.7113 (per_unit 4.5616e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.96e-04 tol=2.00e-04 r=1.000 slope=-6.866e-05) | TrainAcc=0.953 TrainLoss=0.1982 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.940 TestLoss=0.2566
