JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.6868 | VFE_final=-75.3169 (IL_path=0.0108) | VFE_per_dof=-0.0368 Delta_VFE_per_dof=+0.0001 | VFE_pred_term=0.2000 VFE_hidden_term=92.3670 logdet_Pi_y_sum=3.27 logdet_Pi_x_sum=332.49 | lambda_gate=0.314 (raw=0.314) | SG_objective=0.0145 | SG_relMSE=1.0047 SG_cosine=-0.372 mean_log_Pi_g=0.325 | PC_activity_obj=67.0408 (per_unit 6.5469e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.64e-04 tol=5.00e-04 r=1.000 slope=-4.069e-05) | TrainAcc=0.836 TrainLoss=0.6626 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.878 TestLoss=0.6385
[Step    20] CE_loss=0.6868 | VFE_final=-75.3169 (IL_path=0.0108) | VFE_per_dof=-0.0368 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.2000 VFE_hidden_term=92.3670 logdet_Pi_y_sum=3.27 logdet_Pi_x_sum=332.49 | lambda_gate=0.314 | SG_objective=0.0145 | SG_relMSE=1.0047 SG_cosine=-0.372 mean_log_Pi_g=0.325 | PC_activity_obj=67.0408 (per_unit 6.5469e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.6385 test_acc=0.8776
[Step    40] CE_loss=0.3995 | VFE_final=-113.9684 (IL_path=0.0094) | VFE_per_dof=-0.0556 Delta_VFE_per_dof=-0.0032 | VFE_pred_term=0.1185 VFE_hidden_term=79.2368 logdet_Pi_y_sum=3.82 logdet_Pi_x_sum=382.83 | lambda_gate=0.210 (raw=0.210) | SG_objective=0.0107 | SG_relMSE=1.0057 SG_cosine=-0.581 mean_log_Pi_g=0.374 | PC_activity_obj=55.3824 (per_unit 5.4084e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.45e-04 tol=5.00e-04 r=1.000 slope=-4.196e-05) | TrainAcc=0.922 TrainLoss=0.3878 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.912 TestLoss=0.4242
[Step    40] CE_loss=0.3995 | VFE_final=-113.9684 (IL_path=0.0094) | VFE_per_dof=-0.0556 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1185 VFE_hidden_term=79.2368 logdet_Pi_y_sum=3.82 logdet_Pi_x_sum=382.83 | lambda_gate=0.210 | SG_objective=0.0107 | SG_relMSE=1.0057 SG_cosine=-0.581 mean_log_Pi_g=0.374 | PC_activity_obj=55.3824 (per_unit 5.4084e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.4242 test_acc=0.9119
[Step    60] CE_loss=0.3254 | VFE_final=-124.9183 (IL_path=0.0114) | VFE_per_dof=-0.0610 Delta_VFE_per_dof=+0.0001 | VFE_pred_term=0.0975 VFE_hidden_term=93.9574 logdet_Pi_y_sum=4.35 logdet_Pi_x_sum=433.60 | lambda_gate=0.387 (raw=0.387) | SG_objective=0.0108 | SG_relMSE=1.0021 SG_cosine=-0.227 mean_log_Pi_g=0.423 | PC_activity_obj=62.7674 (per_unit 6.1296e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.47e-04 tol=5.00e-04 r=1.000 slope=-4.578e-05) | TrainAcc=0.922 TrainLoss=0.3040 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.923 TestLoss=0.3120
[Step    60] CE_loss=0.3254 | VFE_final=-124.9183 (IL_path=0.0114) | VFE_per_dof=-0.0610 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0975 VFE_hidden_term=93.9574 logdet_Pi_y_sum=4.35 logdet_Pi_x_sum=433.60 | lambda_gate=0.387 | SG_objective=0.0108 | SG_relMSE=1.0021 SG_cosine=-0.227 mean_log_Pi_g=0.423 | PC_activity_obj=62.7674 (per_unit 6.1296e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.3120 test_acc=0.9226
[Step    80] CE_loss=0.2564 | VFE_final=-156.4113 (IL_path=0.0109) | VFE_per_dof=-0.0764 Delta_VFE_per_dof=-0.0013 | VFE_pred_term=0.0766 VFE_hidden_term=87.9193 logdet_Pi_y_sum=4.86 logdet_Pi_x_sum=483.96 | lambda_gate=0.319 (raw=0.319) | SG_objective=0.0105 | SG_relMSE=1.0029 SG_cosine=-0.363 mean_log_Pi_g=0.473 | PC_activity_obj=55.9250 (per_unit 5.4614e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.37e-04 tol=5.00e-04 r=1.000 slope=-5.086e-05) | TrainAcc=0.945 TrainLoss=0.2344 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.933 TestLoss=0.2604
[Step    80] CE_loss=0.2564 | VFE_final=-156.4113 (IL_path=0.0109) | VFE_per_dof=-0.0764 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0766 VFE_hidden_term=87.9193 logdet_Pi_y_sum=4.86 logdet_Pi_x_sum=483.96 | lambda_gate=0.319 | SG_objective=0.0105 | SG_relMSE=1.0029 SG_cosine=-0.363 mean_log_Pi_g=0.473 | PC_activity_obj=55.9250 (per_unit 5.4614e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2604 test_acc=0.9332
[Step   100] CE_loss=0.2976 | VFE_final=-203.1288 (IL_path=0.0083) | VFE_per_dof=-0.0992 Delta_VFE_per_dof=-0.0040 | VFE_pred_term=0.0995 VFE_hidden_term=66.1285 logdet_Pi_y_sum=5.34 logdet_Pi_x_sum=533.37 | lambda_gate=0.303 (raw=0.303) | SG_objective=0.0084 | SG_relMSE=1.0047 SG_cosine=-0.394 mean_log_Pi_g=0.521 | PC_activity_obj=40.1165 (per_unit 3.9176e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.67e-04 tol=5.00e-04 r=1.000 slope=-5.341e-05) | TrainAcc=0.953 TrainLoss=0.2752 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.939 TestLoss=0.2709
[Step   100] CE_loss=0.2976 | VFE_final=-203.1288 (IL_path=0.0083) | VFE_per_dof=-0.0992 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0995 VFE_hidden_term=66.1285 logdet_Pi_y_sum=5.34 logdet_Pi_x_sum=533.37 | lambda_gate=0.303 | SG_objective=0.0084 | SG_relMSE=1.0047 SG_cosine=-0.394 mean_log_Pi_g=0.521 | PC_activity_obj=40.1165 (per_unit 3.9176e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.2709 test_acc=0.9391
[Step   120] CE_loss=0.2731 | VFE_final=-214.4057 (IL_path=0.0102) | VFE_per_dof=-0.1047 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0897 VFE_hidden_term=79.1353 logdet_Pi_y_sum=5.82 logdet_Pi_x_sum=581.44 | lambda_gate=0.354 (raw=0.354) | SG_objective=0.0102 | SG_relMSE=1.0025 SG_cosine=-0.292 mean_log_Pi_g=0.568 | PC_activity_obj=45.8902 (per_unit 4.4815e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.66e-04 tol=5.00e-04 r=1.000 slope=-5.341e-05) | TrainAcc=0.930 TrainLoss=0.2554 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.941 TestLoss=0.2277
