JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.3962 | VFE_final=798.5477 (IL_path=0.1525) | VFE_per_dof=0.3899 Delta_VFE_per_dof=+0.0147 | VFE_pred_term=0.1166 VFE_hidden_term=952.1697 logdet_Pi_y_sum=3.24 logdet_Pi_x_sum=304.24 | lambda_gate=0.000 (raw=0.511) | SG_objective=0.2805 | SG_relMSE=0.9998 SG_cosine=0.023 mean_log_Pi_g=0.297 | PC_activity_obj=722.9260 (per_unit 7.0598e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.66e-04 tol=5.00e-04 r=1.000 slope=-7.121e-05) | TrainAcc=0.875 TrainLoss=0.3481 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.850 TestLoss=0.4594
[Step    20] CE_loss=0.3962 | VFE_final=798.5477 (IL_path=0.1525) | VFE_per_dof=0.3899 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1166 VFE_hidden_term=952.1697 logdet_Pi_y_sum=3.24 logdet_Pi_x_sum=304.24 | lambda_gate=0.000 | SG_objective=0.2805 | SG_relMSE=0.9998 SG_cosine=0.023 mean_log_Pi_g=0.297 | PC_activity_obj=722.9260 (per_unit 7.0598e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.4594 test_acc=0.8499
[Step    40] CE_loss=0.3813 | VFE_final=679.3342 (IL_path=0.1296) | VFE_per_dof=0.3317 Delta_VFE_per_dof=-0.0164 | VFE_pred_term=0.1171 VFE_hidden_term=826.3911 logdet_Pi_y_sum=3.63 logdet_Pi_x_sum=290.72 | lambda_gate=0.000 (raw=0.520) | SG_objective=0.2084 | SG_relMSE=0.9997 SG_cosine=0.040 mean_log_Pi_g=0.284 | PC_activity_obj=655.8584 (per_unit 6.4049e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.67e-04 tol=5.00e-04 r=1.000 slope=-4.959e-05) | TrainAcc=0.891 TrainLoss=0.3237 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.894 TestLoss=0.3451
[Step    40] CE_loss=0.3813 | VFE_final=679.3342 (IL_path=0.1296) | VFE_per_dof=0.3317 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1171 VFE_hidden_term=826.3911 logdet_Pi_y_sum=3.63 logdet_Pi_x_sum=290.72 | lambda_gate=0.000 | SG_objective=0.2084 | SG_relMSE=0.9997 SG_cosine=0.040 mean_log_Pi_g=0.284 | PC_activity_obj=655.8584 (per_unit 6.4049e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.3451 test_acc=0.8945
[Step    60] CE_loss=0.3915 | VFE_final=564.8390 (IL_path=0.1086) | VFE_per_dof=0.2758 Delta_VFE_per_dof=-0.0135 | VFE_pred_term=0.1143 VFE_hidden_term=705.5748 logdet_Pi_y_sum=4.04 logdet_Pi_x_sum=277.66 | lambda_gate=0.000 (raw=0.523) | SG_objective=0.1593 | SG_relMSE=0.9997 SG_cosine=0.046 mean_log_Pi_g=0.271 | PC_activity_obj=581.6843 (per_unit 5.6805e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.69e-04 tol=5.00e-04 r=1.000 slope=-5.341e-05) | TrainAcc=0.898 TrainLoss=0.3534 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.909 TestLoss=0.3038
[Step    60] CE_loss=0.3915 | VFE_final=564.8390 (IL_path=0.1086) | VFE_per_dof=0.2758 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1143 VFE_hidden_term=705.5748 logdet_Pi_y_sum=4.04 logdet_Pi_x_sum=277.66 | lambda_gate=0.000 | SG_objective=0.1593 | SG_relMSE=0.9997 SG_cosine=0.046 mean_log_Pi_g=0.271 | PC_activity_obj=581.6843 (per_unit 5.6805e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.3038 test_acc=0.9094
[Step    80] CE_loss=0.2252 | VFE_final=468.6741 (IL_path=0.0921) | VFE_per_dof=0.2288 Delta_VFE_per_dof=+0.0087 | VFE_pred_term=0.0635 VFE_hidden_term=606.6115 logdet_Pi_y_sum=4.52 logdet_Pi_x_sum=271.48 | lambda_gate=0.000 (raw=0.509) | SG_objective=0.1281 | SG_relMSE=0.9999 SG_cosine=0.017 mean_log_Pi_g=0.265 | PC_activity_obj=515.2980 (per_unit 5.0322e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.27e-04 tol=5.00e-04 r=1.000 slope=-5.341e-05) | TrainAcc=0.953 TrainLoss=0.1930 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.930 TestLoss=0.2374
[Step    80] CE_loss=0.2252 | VFE_final=468.6741 (IL_path=0.0921) | VFE_per_dof=0.2288 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0635 VFE_hidden_term=606.6115 logdet_Pi_y_sum=4.52 logdet_Pi_x_sum=271.48 | lambda_gate=0.000 | SG_objective=0.1281 | SG_relMSE=0.9999 SG_cosine=0.017 mean_log_Pi_g=0.265 | PC_activity_obj=515.2980 (per_unit 5.0322e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.2374 test_acc=0.9305
[Step   100] CE_loss=0.2162 | VFE_final=486.9292 (IL_path=0.0943) | VFE_per_dof=0.2378 Delta_VFE_per_dof=+0.0117 | VFE_pred_term=0.0722 VFE_hidden_term=623.9628 logdet_Pi_y_sum=5.06 logdet_Pi_x_sum=269.16 | lambda_gate=0.000 (raw=0.501) | SG_objective=0.1197 | SG_relMSE=1.0000 SG_cosine=0.003 mean_log_Pi_g=0.263 | PC_activity_obj=536.9849 (per_unit 5.2440e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.36e-04 tol=5.00e-04 r=1.000 slope=-5.341e-05) | TrainAcc=0.945 TrainLoss=0.1829 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.935 TestLoss=0.2121
[Step   100] CE_loss=0.2162 | VFE_final=486.9292 (IL_path=0.0943) | VFE_per_dof=0.2378 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0722 VFE_hidden_term=623.9628 logdet_Pi_y_sum=5.06 logdet_Pi_x_sum=269.16 | lambda_gate=0.000 | SG_objective=0.1197 | SG_relMSE=1.0000 SG_cosine=0.003 mean_log_Pi_g=0.263 | PC_activity_obj=536.9849 (per_unit 5.2440e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.2121 test_acc=0.9350
[Step   120] CE_loss=0.1683 | VFE_final=498.9816 (IL_path=0.0955) | VFE_per_dof=0.2436 Delta_VFE_per_dof=+0.0020 | VFE_pred_term=0.0524 VFE_hidden_term=632.8298 logdet_Pi_y_sum=5.57 logdet_Pi_x_sum=262.23 | lambda_gate=0.000 (raw=0.510) | SG_objective=0.1031 | SG_relMSE=0.9999 SG_cosine=0.019 mean_log_Pi_g=0.256 | PC_activity_obj=549.3090 (per_unit 5.3643e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.21e-04 tol=5.00e-04 r=1.000 slope=-5.595e-05) | TrainAcc=0.969 TrainLoss=0.1331 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.936 TestLoss=0.2129
