JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.5009 | VFE_final=766.6885 (IL_path=0.0763) | VFE_per_dof=0.3744 Delta_VFE_per_dof=+0.0297 | VFE_pred_term=0.1434 VFE_hidden_term=922.7695 logdet_Pi_y_sum=3.25 logdet_Pi_x_sum=309.20 | lambda_gate=0.000 (raw=0.506) | SG_objective=0.2277 | SG_relMSE=0.9999 SG_cosine=0.012 mean_log_Pi_g=0.302 | PC_activity_obj=694.0762 (per_unit 6.7781e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=9.36e-05 tol=2.00e-04 r=1.000 slope=-2.416e-05) | TrainAcc=0.852 TrainLoss=0.4524 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.872 TestLoss=0.4210
[Step    20] CE_loss=0.5009 | VFE_final=766.6885 (IL_path=0.0763) | VFE_per_dof=0.3744 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1434 VFE_hidden_term=922.7695 logdet_Pi_y_sum=3.25 logdet_Pi_x_sum=309.20 | lambda_gate=0.000 | SG_objective=0.2277 | SG_relMSE=0.9999 SG_cosine=0.012 mean_log_Pi_g=0.302 | PC_activity_obj=694.0762 (per_unit 6.7781e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.4210 test_acc=0.8716
[Step    40] CE_loss=0.2751 | VFE_final=725.3049 (IL_path=0.0710) | VFE_per_dof=0.3542 Delta_VFE_per_dof=-0.0010 | VFE_pred_term=0.0846 VFE_hidden_term=875.3666 logdet_Pi_y_sum=3.65 logdet_Pi_x_sum=296.64 | lambda_gate=0.000 (raw=0.526) | SG_objective=0.2426 | SG_relMSE=0.9998 SG_cosine=0.051 mean_log_Pi_g=0.290 | PC_activity_obj=685.8308 (per_unit 6.6976e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=7.36e-05 tol=2.00e-04 r=1.000 slope=-2.925e-05) | TrainAcc=0.906 TrainLoss=0.2412 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.908 TestLoss=0.3204
[Step    40] CE_loss=0.2751 | VFE_final=725.3049 (IL_path=0.0710) | VFE_per_dof=0.3542 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0846 VFE_hidden_term=875.3666 logdet_Pi_y_sum=3.65 logdet_Pi_x_sum=296.64 | lambda_gate=0.000 | SG_objective=0.2426 | SG_relMSE=0.9998 SG_cosine=0.051 mean_log_Pi_g=0.290 | PC_activity_obj=685.8308 (per_unit 6.6976e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.3204 test_acc=0.9082
[Step    60] CE_loss=0.3287 | VFE_final=566.3106 (IL_path=0.0564) | VFE_per_dof=0.2765 Delta_VFE_per_dof=-0.0021 | VFE_pred_term=0.0933 VFE_hidden_term=709.7974 logdet_Pi_y_sum=4.06 logdet_Pi_x_sum=283.10 | lambda_gate=0.000 (raw=0.522) | SG_objective=0.1698 | SG_relMSE=0.9997 SG_cosine=0.045 mean_log_Pi_g=0.276 | PC_activity_obj=579.7720 (per_unit 5.6618e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=7.84e-05 tol=2.00e-04 r=1.000 slope=-3.306e-05) | TrainAcc=0.922 TrainLoss=0.2820 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.910 TestLoss=0.3014
[Step    60] CE_loss=0.3287 | VFE_final=566.3106 (IL_path=0.0564) | VFE_per_dof=0.2765 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0933 VFE_hidden_term=709.7974 logdet_Pi_y_sum=4.06 logdet_Pi_x_sum=283.10 | lambda_gate=0.000 | SG_objective=0.1698 | SG_relMSE=0.9997 SG_cosine=0.045 mean_log_Pi_g=0.276 | PC_activity_obj=579.7720 (per_unit 5.6618e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.3014 test_acc=0.9096
[Step    80] CE_loss=0.2251 | VFE_final=504.5255 (IL_path=0.0507) | VFE_per_dof=0.2464 Delta_VFE_per_dof=-0.0079 | VFE_pred_term=0.0663 VFE_hidden_term=644.7260 logdet_Pi_y_sum=4.54 logdet_Pi_x_sum=275.99 | lambda_gate=0.000 (raw=0.506) | SG_objective=0.1323 | SG_relMSE=1.0000 SG_cosine=0.011 mean_log_Pi_g=0.270 | PC_activity_obj=540.1122 (per_unit 5.2745e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=6.56e-05 tol=2.00e-04 r=1.000 slope=-1.907e-05) | TrainAcc=0.938 TrainLoss=0.1976 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.931 TestLoss=0.2422
[Step    80] CE_loss=0.2251 | VFE_final=504.5255 (IL_path=0.0507) | VFE_per_dof=0.2464 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0663 VFE_hidden_term=644.7260 logdet_Pi_y_sum=4.54 logdet_Pi_x_sum=275.99 | lambda_gate=0.000 | SG_objective=0.1323 | SG_relMSE=1.0000 SG_cosine=0.011 mean_log_Pi_g=0.270 | PC_activity_obj=540.1122 (per_unit 5.2745e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2422 test_acc=0.9308
[Step   100] CE_loss=0.2482 | VFE_final=379.2189 (IL_path=0.0404) | VFE_per_dof=0.1852 Delta_VFE_per_dof=-0.0317 | VFE_pred_term=0.0854 VFE_hidden_term=517.2244 logdet_Pi_y_sum=5.06 logdet_Pi_x_sum=271.12 | lambda_gate=0.000 (raw=0.500) | SG_objective=0.0895 | SG_relMSE=1.0000 SG_cosine=0.001 mean_log_Pi_g=0.265 | PC_activity_obj=441.3669 (per_unit 4.3102e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=7.45e-05 tol=2.00e-04 r=1.000 slope=-2.670e-05) | TrainAcc=0.938 TrainLoss=0.2057 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.931 TestLoss=0.2384
[Step   100] CE_loss=0.2482 | VFE_final=379.2189 (IL_path=0.0404) | VFE_per_dof=0.1852 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0854 VFE_hidden_term=517.2244 logdet_Pi_y_sum=5.06 logdet_Pi_x_sum=271.12 | lambda_gate=0.000 | SG_objective=0.0895 | SG_relMSE=1.0000 SG_cosine=0.001 mean_log_Pi_g=0.265 | PC_activity_obj=441.3669 (per_unit 4.3102e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.2384 test_acc=0.9306
[Step   120] CE_loss=0.2654 | VFE_final=430.9016 (IL_path=0.0443) | VFE_per_dof=0.2104 Delta_VFE_per_dof=+0.0086 | VFE_pred_term=0.0839 VFE_hidden_term=569.8143 logdet_Pi_y_sum=5.62 logdet_Pi_x_sum=272.37 | lambda_gate=0.000 (raw=0.525) | SG_objective=0.1023 | SG_relMSE=0.9997 SG_cosine=0.051 mean_log_Pi_g=0.266 | PC_activity_obj=491.7545 (per_unit 4.8023e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=7.55e-05 tol=2.00e-04 r=1.000 slope=-2.416e-05) | TrainAcc=0.945 TrainLoss=0.2291 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.939 TestLoss=0.2070
