JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.3933 | VFE_final=796.0966 (IL_path=0.1086) | VFE_per_dof=0.3887 Delta_VFE_per_dof=+0.0145 | VFE_pred_term=0.1152 VFE_hidden_term=949.7440 logdet_Pi_y_sum=3.24 logdet_Pi_x_sum=304.28 | lambda_gate=0.000 (raw=0.511) | SG_objective=0.2795 | SG_relMSE=0.9999 SG_cosine=0.021 mean_log_Pi_g=0.297 | PC_activity_obj=721.1588 (per_unit 7.0426e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.18e-04 tol=5.00e-04 r=1.000 slope=-6.485e-05) | TrainAcc=0.875 TrainLoss=0.3449 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.849 TestLoss=0.4582
[Step    20] CE_loss=0.3933 | VFE_final=796.0966 (IL_path=0.1086) | VFE_per_dof=0.3887 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1152 VFE_hidden_term=949.7440 logdet_Pi_y_sum=3.24 logdet_Pi_x_sum=304.28 | lambda_gate=0.000 | SG_objective=0.2795 | SG_relMSE=0.9999 SG_cosine=0.021 mean_log_Pi_g=0.297 | PC_activity_obj=721.1588 (per_unit 7.0426e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.4582 test_acc=0.8491
[Step    40] CE_loss=0.3777 | VFE_final=682.8937 (IL_path=0.0929) | VFE_per_dof=0.3334 Delta_VFE_per_dof=-0.0166 | VFE_pred_term=0.1156 VFE_hidden_term=829.9972 logdet_Pi_y_sum=3.63 logdet_Pi_x_sum=290.81 | lambda_gate=0.000 (raw=0.520) | SG_objective=0.2095 | SG_relMSE=0.9997 SG_cosine=0.040 mean_log_Pi_g=0.284 | PC_activity_obj=658.6195 (per_unit 6.4318e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.19e-04 tol=5.00e-04 r=1.000 slope=-3.560e-05) | TrainAcc=0.891 TrainLoss=0.3197 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.895 TestLoss=0.3455
[Step    40] CE_loss=0.3777 | VFE_final=682.8937 (IL_path=0.0929) | VFE_per_dof=0.3334 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1156 VFE_hidden_term=829.9972 logdet_Pi_y_sum=3.63 logdet_Pi_x_sum=290.81 | lambda_gate=0.000 | SG_objective=0.2095 | SG_relMSE=0.9997 SG_cosine=0.040 mean_log_Pi_g=0.284 | PC_activity_obj=658.6195 (per_unit 6.4318e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.3455 test_acc=0.8949
[Step    60] CE_loss=0.3953 | VFE_final=565.9672 (IL_path=0.0777) | VFE_per_dof=0.2764 Delta_VFE_per_dof=-0.0136 | VFE_pred_term=0.1144 VFE_hidden_term=706.5616 logdet_Pi_y_sum=4.04 logdet_Pi_x_sum=277.37 | lambda_gate=0.000 (raw=0.524) | SG_objective=0.1596 | SG_relMSE=0.9997 SG_cosine=0.047 mean_log_Pi_g=0.271 | PC_activity_obj=582.6583 (per_unit 5.6900e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.21e-04 tol=5.00e-04 r=1.000 slope=-3.815e-05) | TrainAcc=0.898 TrainLoss=0.3559 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.911 TestLoss=0.3035
[Step    60] CE_loss=0.3953 | VFE_final=565.9672 (IL_path=0.0777) | VFE_per_dof=0.2764 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1144 VFE_hidden_term=706.5616 logdet_Pi_y_sum=4.04 logdet_Pi_x_sum=277.37 | lambda_gate=0.000 | SG_objective=0.1596 | SG_relMSE=0.9997 SG_cosine=0.047 mean_log_Pi_g=0.271 | PC_activity_obj=582.6583 (per_unit 5.6900e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.3035 test_acc=0.9106
[Step    80] CE_loss=0.2297 | VFE_final=465.2661 (IL_path=0.0653) | VFE_per_dof=0.2272 Delta_VFE_per_dof=+0.0089 | VFE_pred_term=0.0660 VFE_hidden_term=603.0457 logdet_Pi_y_sum=4.53 logdet_Pi_x_sum=271.16 | lambda_gate=0.000 (raw=0.508) | SG_objective=0.1272 | SG_relMSE=0.9999 SG_cosine=0.017 mean_log_Pi_g=0.265 | PC_activity_obj=512.8135 (per_unit 5.0079e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=9.23e-05 tol=5.00e-04 r=1.000 slope=-4.578e-05) | TrainAcc=0.953 TrainLoss=0.1978 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.929 TestLoss=0.2388
[Step    80] CE_loss=0.2297 | VFE_final=465.2661 (IL_path=0.0653) | VFE_per_dof=0.2272 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0660 VFE_hidden_term=603.0457 logdet_Pi_y_sum=4.53 logdet_Pi_x_sum=271.16 | lambda_gate=0.000 | SG_objective=0.1272 | SG_relMSE=0.9999 SG_cosine=0.017 mean_log_Pi_g=0.265 | PC_activity_obj=512.8135 (per_unit 5.0079e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.2388 test_acc=0.9289
[Step   100] CE_loss=0.2190 | VFE_final=482.6735 (IL_path=0.0669) | VFE_per_dof=0.2357 Delta_VFE_per_dof=+0.0106 | VFE_pred_term=0.0729 VFE_hidden_term=619.7048 logdet_Pi_y_sum=5.06 logdet_Pi_x_sum=269.15 | lambda_gate=0.000 (raw=0.503) | SG_objective=0.1183 | SG_relMSE=1.0000 SG_cosine=0.005 mean_log_Pi_g=0.263 | PC_activity_obj=533.8656 (per_unit 5.2135e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=9.78e-05 tol=5.00e-04 r=1.000 slope=-4.323e-05) | TrainAcc=0.961 TrainLoss=0.1849 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.936 TestLoss=0.2126
[Step   100] CE_loss=0.2190 | VFE_final=482.6735 (IL_path=0.0669) | VFE_per_dof=0.2357 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0729 VFE_hidden_term=619.7048 logdet_Pi_y_sum=5.06 logdet_Pi_x_sum=269.15 | lambda_gate=0.000 | SG_objective=0.1183 | SG_relMSE=1.0000 SG_cosine=0.005 mean_log_Pi_g=0.263 | PC_activity_obj=533.8656 (per_unit 5.2135e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.2126 test_acc=0.9360
[Step   120] CE_loss=0.1673 | VFE_final=491.3203 (IL_path=0.0673) | VFE_per_dof=0.2399 Delta_VFE_per_dof=+0.0024 | VFE_pred_term=0.0516 VFE_hidden_term=625.0757 logdet_Pi_y_sum=5.58 logdet_Pi_x_sum=262.04 | lambda_gate=0.000 (raw=0.508) | SG_objective=0.1008 | SG_relMSE=0.9999 SG_cosine=0.017 mean_log_Pi_g=0.256 | PC_activity_obj=543.5989 (per_unit 5.3086e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=8.59e-05 tol=5.00e-04 r=1.000 slope=-4.578e-05) | TrainAcc=0.969 TrainLoss=0.1313 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.936 TestLoss=0.2142
